order,word,phonetic,example,note,definition_en
1,Fahrenheit,,,,
2,celsius,,,,
3,centigrade,,,,
4,dozen,,,,
5,ounce,,,,
6,gallon,,,,
7,inch,,,,
8,scale,,,,
9,piece,,,,
10,slice,,,,
11,loaf,,,,
12,bar,,,,
13,roll,,,,
14,number,,,,
15,bunch,,,,
16,pile,,,,
17,row,,,,
18,edge,,,,
19,container,,,,
20,carton,,,,
21,case,,,,
22,pack,,,,
23,packet,,,noun,
24,package,,,,
25,mug,,,,
26,jug,,,,
27,jar,,,,
28,tube,,,,
29,tray,,,,
30,can,,,,
31,basket,,,,
32,bucket,,,,
33,extra,,,,
34,maximum,,,,
35,minimum,,,,
36,limited,,,,
37,double,,,,
38,half,,,,
39,enough,,,,
40,packet,,,noun,
41,bit,,,,
42,pitcher,,,noun,
43,pitcher,,,"What is a ""pitcher""?","A pitcher is a type of container used for holding and pouring liquids. It typically features a wide mouth, a handle, and a spout for easy pouring. Pitchers come in various sizes, shapes, and materials, including glass, ceramic, plastic, or metal. They are commonly used for serving beverages such as water, juice, iced tea, lemonade, or cocktails, and they are often found in households, restaurants, bars, and other dining establishments."
