order,word,phonetic,example,note,definition_en
1,Fahrenheit,/ˈfærənˌhaɪt/,,,
2,celsius,/ˈsɛlsiəs/,,,
3,centigrade,/ˈsɛntɪˌɡreɪd/,,,
4,dozen,/ˈdʌzən/,She bought a dozen roses to surprise her partner on their anniversary.,,
5,ounce,/aʊns/,,,
6,gallon,/ˈɡælən/,,,
7,inch,/ɪnʧ/,"The nail was just an inch long, but it was enough to puncture the tire.",,
8,scale,/skeɪl/,The scale of the earthquake was so immense that it caused widespread damage across the region.,,
9,piece,/piːs/,Each piece of the puzzle was crucial in completing the picture.,,
10,slice,/slaɪs/,She took a slice of bread and spread some butter on it.,,
11,loaf,/loʊf/,The loaf was sliced into even pieces for breakfast.,,
12,bar,/bɑr/,She washed her hands with a bar of lavender soap.,,
13,roll,/roʊl/,something that is wrapped around a tube or shaped into one,,
14,number,/ˈnʌmbɚ/,The number of attendees at the event far exceeded our expectations.,,
15,bunch,/bʌnʧ/,She picked a bunch of flowers from the garden for the centerpiece.,,
16,pile,/paɪl/,The team had a pile of work to finish before the deadline.,,
17,row,/roʊ/,"The students sat in a row during the assembly, listening attentively to the guest speaker.",,
18,edge,/ɛʤ/,"He stood on the edge of the cliff, admiring the breathtaking view below.",,
19,container,/kənˈteɪnɚ/,She placed the leftover food in a container and put it in the fridge.,,
20,carton,/ˈkɑrtən/,She poured milk from the carton into a glass.,,
21,case,/keɪs/,She packed her clothes into a large case for the trip.,,
22,pack,/pæk/,He bought a pack of cigarettes at the store.,,
23,packet,/ˈpækɪt/,I used a packet of sauce to flavor the pasta.,noun,
24,package,/ˈpækɪdʒ/,She received a package in the mail containing her new shoes.,,
25,mug,/mʌɡ/,She sipped her morning coffee from a favorite ceramic mug adorned with colorful flowers.,,
26,jug,/dʒʌɡ/,"With a smile, the bartender filled our jug with frothy beer, signaling the start of a festive evening.",,
27,jar,/dʒɑr/,"She carefully filled the jar with homemade strawberry jam, sealing it tightly with a lid.",,
28,tube,/tuːb/,He squeezed the toothpaste from the tube.,,
29,tray,/treɪ/,She served the tea on a silver tray.,,
30,can,/kæn/,The party guests enjoyed sipping on soda cans while socializing.,,
31,basket,/ˈbæskɪt/,She filled the basket with fresh fruits and vegetables from the local farmers' market.,,
32,bucket,/ˈbʌkɪt/,The painter dipped his brush into the bucket of paint to start working on the walls.,,
33,extra,/ˈɛkstrə/,She packed extra clothes in case of unexpected weather changes.,,
34,maximum,/ˈmæksəməm/,The hotel offers a maximum of two complimentary meals per day.,,
35,minimum,/ˈmɪnəməm/,We need to keep disruptions to a minimum during the construction process.,,
36,limited,/ˈlɪmɪtɪd/,"Our budget for the project is limited, so we need to be mindful of our expenses.",,
37,double,/ˈdʌbəl/,She scored double the number of goals compared to last season.,,
38,half,/hæf/,We spent half the day cleaning.,,
39,enough,/ɪˈnʌf/,"as much or as many of something as required. ""you need to get enough of the right things to eat""",,
40,packet,/ˈpækɪt/,"The kids ate a packet of candies, to satisfy their sweet tooth.",noun,
41,bit,/bɪt/,She added a bit of sugar to her tea to sweeten it.,,
42,pitcher,/ˈpɪʧɚ/,The campers filled their canteens from a pitcher of fresh spring water.,noun,
43,pitcher,/ˈpɪʧɚ/,"The pitcher was filled to the brim with ice-cold lemonade, perfect for a hot summer day.","What is a ""pitcher""?","A pitcher is a type of container used for holding and pouring liquids. It typically features a wide mouth, a handle, and a spout for easy pouring. Pitchers come in various sizes, shapes, and materials, including glass, ceramic, plastic, or metal. They are commonly used for serving beverages such as water, juice, iced tea, lemonade, or cocktails, and they are often found in households, restaurants, bars, and other dining establishments."
