order,word,phonetic,example,note,definition_en
1,linguistic,/lɪŋˈɡwɪstɪk/,"Linguistic research explores the intricacies of language acquisition, syntax, and phonetics.",,
2,infinitive,/ɪnˈfɪnɪtɪv/,"In English grammar, the infinitive is the base form of a verb, typically preceded by ""to.""",,
3,gerund,/ˈʤɛrənd/,"A gerund is a verb form that functions as a noun, ending in ""-ing.""",,
4,transitive verb,/ˈtrænsɪtɪv vɝːb/,A transitive verb is a verb that requires a direct object to complete its meaning.,,
5,intransitive verb,/ɪnˈtrænsɪtɪv vɝːb/,An intransitive verb is a verb that does not require a direct object to complete its meaning.,,
6,number,/ˈnʌmbɚ/,"In English grammar, the number of a noun or pronoun indicates whether it is singular or plural, affecting the form of verbs and pronouns in a sentence.",,
7,person,/ˈpɝsən/,"In English grammar, the concept of person refers to the perspective from which a speaker or writer refers to themselves, the person they are addressing, or others not present in the conversation.",,
8,voice,/vɔɪs/,"Active voice, on the other hand, is used when the subject of a sentence performs the action expressed by the verb.",,
9,gender,/ˈʤɛndɚ/,"In many languages, such as Spanish and French, nouns are assigned a gender—either masculine or feminine—regardless of the actual gender of the object they represent.",,
10,feminine,/ˈfɛmɪnɪn/,"In languages with grammatical gender, such as Spanish or French, nouns like 'la casa' (the house) or 'la table' (the table) are classified as feminine.",,
11,masculine,/ˈmæskjəlɪn/,"In languages with grammatical gender, such as Spanish or French, nouns like 'el libro' (the book) or 'le garçon' (the boy) are classified as masculine.",,
12,subjunctive,/səbˈʤʌŋktɪv/,"The subjunctive mood often appears in clauses introduced by certain conjunctions, such as 'if,' 'whether,' 'lest,' or 'that.",,
13,phonetics,/fəˈnɛtɪks/,"Phonetics is the branch of linguistics that studies the sounds of human speech, including their production, transmission, and reception.",,
14,intonation,/ˌɪntəˈneɪʃən/,"In phonetics, intonation refers to the pattern of rising and falling pitch in speech, which conveys meaning, emotion, and emphasis.",,
15,dialect,/ˈdaɪəˌlɛkt/,"A dialect is a variety of a language spoken by a particular group of people, characterized by unique vocabulary, grammar, and pronunciation.",,
16,proverb,/ˈprɑvɝb/,"A well-known proverb states, 'Actions speak louder than words,' emphasizing the importance of deeds over promises.",,
17,idiom,/ˈɪdiəm/,"The idiom 'kick the bucket' means to die, and its meaning is quite different from the literal interpretation of kicking a bucket.",,
18,jargon,/ˈʤɑrɡən/,"Medical professionals often use jargon such as 'stat,' 'BP,' and 'code blue,' which can be confusing to those outside the healthcare field.",,
19,slang,/slæŋ/,"Teenagers often use slang like 'lit' to describe something that is exciting or excellent, which may not be easily understood by older generations.",,
20,euphemism,/ˈjuːfəˌmɪzəm/,"""Between jobs"" is a euphemism for being unemployed.",,
21,to punctuate,/ˈpʌŋktʃuˌeɪt/,"When you write an essay, it is important to punctuate your sentences correctly to ensure that your ideas are clearly communicated.",,
22,colon,/ˈkoʊlən/,"In English grammar, a colon is used to introduce a list of items: apples, oranges, bananas, and grapes.",,
23,semicolon,/ˈsɛmiˌkoʊlən/,"To connect closely related independent clauses, you can use a semicolon; it's a great way to show the relationship between the two sentences.",,
24,parenthesis,/pəˈrɛnθəsɪs/,"In mathematics, a parenthesis is used to group numbers or operations together, as in (3 + 5) × 2.",,
25,hyphen,/ˈhaɪfən/,"In compound words like 'mother-in-law' and 'self-esteem,' a hyphen is used to connect the different parts of the word.",,
26,slash,/slæʃ/,"In the sentence, ""Please bring a pencil/pen to the exam,"" the slash indicates a choice between two items.",,
27,interjection,/ˌɪntɚˈʤɛkʃən/,The teacher explained the concept of interjection during grammar class.,,
28,particle,/ˈpɑrtɪkəl/,"In the phrasal verb 'look up,' 'up' is a particle that changes the meaning of the verb 'look.'",,
29,e.g.,/ˌiːˈʤiː/,"I have many hobbies, e.g., hiking, painting, and cooking.",,
30,ungrammatical,/ˌʌnɡrəˈmætɪkəl/,The sentence 'He don't likes broccoli' is ungrammatical because 'don't' is not used with 'likes' in standard English.,,
