order,word,phonetic,example,note,definition_en
1,pivotal,/ˈpɪvətəɫ/,The research findings were pivotal in shaping the scientific community's understanding of the newly discovered phenomenon.,,
2,weighty,"/ˈweɪˌti/, /ˈweɪti/",The weighty decision to invest in renewable energy reflects the company's commitment to sustainability.,,
3,grave,/ɡreɪv/,"The government issued a grave warning about the impending natural disaster, urging residents to evacuate.",,
4,focal,/ˈfoʊkəɫ/,The focal event of the conference was the keynote speech by the renowned expert.,,
5,ascendant,/əˈsɛndənt/,"His ideas were ascendant, shaping the direction of the entire project.",,
6,momentous,/moʊˈmɛntəs/,"As the world stood witness to the historic event, the momentous peace agreement was signed, signaling a new era of cooperation and stability in the region.",,
7,preeminent,/pɹiˈɛmənənt/,"As a preeminent scholar in the field, Professor Smith has made groundbreaking contributions to quantum physics.",,
8,seminal,/ˈsɛmənəɫ/,Darwin's seminal work on the Origin of Species established the theory of evolution by natural selection.,,
9,cardinal,"/ˈkɑɹdənəɫ/, /ˈkɑɹdɪnəɫ/","Honesty is a cardinal principle in their code of ethics, essential for maintaining trust.",,
10,petty,/ˈpɛˌti/,The argument stemmed from a petty disagreement over office supplies.,,
11,piffling,/pˈɪflɪŋ/,The argument over the color of the office walls seemed piffling compared to the larger issues facing the company.,,
12,piddling,"/ˈpɪdəɫɪŋ/, /ˈpɪdɫɪŋ/",The piddling amount of loose change in his pocket was not enough to cover the cost of the coffee.,,
13,peripheral,"/pɝˈɪfɝəɫ/, /pɝˈɪfɹəɫ/",The details mentioned in the peripheral sections of the report are supplementary and not critical to the main findings.,,
14,superfluous,/ˈsupɝfɫˌwəs/,"The lengthy introduction was filled with superfluous details, delaying the main point of the presentation.",,
15,subordinate,"/səˈbɔɹdəˌneɪt/, /səˈbɔɹdənət/","The subordinate tasks were delegated to junior team members, while the senior staff focused on the critical aspects of the project.",,
16,picayune,/ˌpɪkiˈjun/,He wasted time arguing over picayune details instead of focusing on the main issue.,,
17,extraneous,/ɛkˈstɹeɪniəs/,The detective urged the witness to provide only relevant information and avoid including extraneous details that could confuse the investigation.,,
18,dire,"/ˈdaɪɝ/, /ˈdaɪɹ/","The humanitarian crisis in the region has reached dire proportions, requiring immediate international intervention.",,
19,immaterial,/ˌɪməˈtɪɹiəɫ/,"In the grand scheme of the project, the temporary setback was deemed immaterial to the overall timeline.",,
20,expendable,/ɪkˈspɛndəbəɫ/,"In times of crisis, some argue that certain positions in the company are expendable.",,
21,frivolous,/ˈfɹɪvəɫəs/,The company's frivolous policies regarding employee benefits led to dissatisfaction among the staff.,,
