order,word,phonetic,example,note,definition_en
1,caste,/ˈkæst/,"The caste system in India historically divided society into hierarchical groups based on birth, occupation, and social status.",,
2,anomie,/ˈænəmi/,"After losing his job, he experienced a deep sense of anomie and purposelessness.",,
3,civics,/ˈsɪvɪks/,Civics education is essential for fostering informed and engaged citizens who can participate effectively in democratic society.,,
4,denizen,/ˈdɛnəzən/,"As a longtime denizen of the small coastal town, he knew everyone by name and their life stories",,
5,global village,/ɡlˈoʊbəl vˈɪlɪdʒ/,"The internet has transformed the world into a global village, allowing people from different continents to communicate instantaneously.",,
6,grass roots,/ɡɹˈæs ɹˈuːts/,Grassroots support from ordinary people is essential for the success of political campaigns.,,
7,intersectionality,/ˌɪntɚsˌɛkʃənˈælɪɾi/,"Intersectionality acknowledges that individuals experience discrimination or privilege based on the intersection of multiple social identities, not just one.",,
8,othering,/ˈʌðɚɹɪŋ/,Othering often leads to the marginalization and dehumanization of individuals or groups who are perceived as different or inferior.,,
9,commoner,/ˈkɑmənɝ/,"In feudal societies, commoners made up the majority of the population and typically worked as farmers, artisans, or laborers.",,
10,inferior,/ˌɪnˈfɪɹiɝ/,"In hierarchical societies, those considered inferiors often have limited opportunities for advancement and face discrimination based on their social status.",,
11,fundraiser,/ˈfənˌdɹeɪzɝ/,The nonprofit organization organized a successful fundraiser to raise funds for humanitarian aid in disaster-affected areas.,,
12,public spirit,/pˈʌblɪk spˈɪɹɪt/,"Civic-minded individuals who volunteer their time and resources demonstrate a strong public spirit, contributing to the betterment of their communities.",,
13,social capital,/sˈoʊʃəl kˈæpɪɾəl/,"Communities with high levels of social capital tend to have stronger bonds among residents, leading to greater resilience and support during times of adversity.",,
14,marginalization,/ˌmɑɹdʒənəɫəˈzeɪʃən/,Economic policies led to the marginalization of rural communities.,,
15,subjugation,/sˌʌbdʒuːɡˈeɪʃən/,The villagers lived under the subjugation of a tyrannical ruler.,,
16,meritocracy,/mɛɹɪˈtɔkɹəsi/,Meritocracy rewards hard work over family connections.,,
17,matriarchy,/ˈmeɪtɹiˌɑɹki/,"In matriarchy, women lead families and communities.",,
18,pluralism,/ˈpɫʊɹəˌɫɪzəm/,Modern democracies often embrace pluralism to protect minority rights.,,
19,patriarchy,/ˈpeɪtɹiˌɑɹki/,"In traditional patriarchies, the eldest male inherits the family estate.",,
20,stratification,/ˌstɹætəfɪˈkeɪʃən/,Industrialization led to the stratification of urban society.,,
21,socioeconomic,/soʊˌsiˌoʊˌɛkəˈnɑmɪk/,The study examined the socioeconomic disparities in access to healthcare.,,
22,hegemony,/hiˈdʒɛməni/,"The colonial powers established hegemony over various regions, exerting control over both political and economic aspects of local societies.",,
23,egalitarianism,/iˌɡæɫəˈtɛɹiəˌnɪzəm/,"Egalitarianism strives for a society where all citizens have equal access to education, healthcare, and employment opportunities.",,
24,ethnocentrism,/ˌɛθnoʊˈsɛntɹɪzəm/,Ethnocentrism can manifest in individuals who believe that their cultural practices are superior to those of other groups.,,
25,diaspora,/daɪˈæspɝə/,"The African diaspora encompasses the global dispersion of people of African descent, resulting from historical events such as the transatlantic slave trade.",,
26,xenophobia,/ˌzɛnəˈfoʊbiə/,The community's xenophobia was evident when they attacked a local business owned by an immigrant family.,,
27,utopia,/juˈtoʊpiə/,They dreamed of creating a utopia where everyone lived in harmony.,,
28,millenarianism,/mɪlɪnˈɛɹiənˌɪzəm/,"The sect practiced millenarianism, expecting the imminent reign of Christ.",,
