order,word,phonetic,example,note,definition_en
1,artichoke,/ˈɑrtɪˌʧoʊk/,He dipped a leaf of the artichoke into the tangy sauce.,,
2,asparagus,/əˈspærəɡəs/,I always look forward to spring when asparagus is in season.,,
3,basil,/ˈbeɪzəl/,"Among all herbs, basil is my favorite.",,
4,bell pepper,/bɛl ˈpɛpɚ/,She added chopped bell pepper to the salad for extra crunch.,,
5,cauliflower,/ˈkɑliˌflaʊɚ/,We added cauliflower to our vegetable soup for an extra dose of nutrients.,,
6,fennel,/ˈfɛnəl/,He discovered that fennel tea helped soothe his upset stomach.,,
7,ginger,/ˈʤɪndʒɚ/,He brewed a cup of ginger tea to soothe his upset stomach.,,
8,leek,/liːk/,"It was a challenge to find leeks at the grocery store, but she finally got her hands on them.",,
9,okra,/ˈoʊkrə/,She added okra to the gumbo for thickness.,,
10,parsley,/ˈpɑrsli/,She sprinkled parsley over the pasta.,,
11,turnip,/ˈtɝːnɪp/,He used turnip leaves as natural wrapping for steamed dumplings.,,
12,thyme,/taɪm/,She sprinkled thyme over the roasted chicken.,,
13,lentil,/ˈlɛntɪl/,"She carefully arranged a colorful lentil salad, featuring a variety of fresh vegetables and a tangy dressing.",,
14,baked goods,/beɪkt ɡʊdz/,The bakery displayed an array of freshly baked goods in the storefront window.,,
15,breadcrumbs,/ˈbrɛdˌkrʌmz/,Coat fish fillets with breadcrumbs and pan-fry them until they are golden and crispy.,,
16,bun,/bʌn/,"She enjoyed a warm cinnamon bun with her morning coffee, savoring the sweet and gooey treat.",,
17,barbecue sauce,/ˈbɑrbɪˌkjuː sɑs/,"The food truck offered a unique twist on classic barbecue, featuring a spicy and tangy barbecue sauce with a hint of citrus.",,
18,fish stick,/ˈfɪʃ stɪk/,She served crispy fish sticks with tartar sauce for a quick and satisfying weeknight dinner.,,
19,tofu,/ˈtoʊfuː/,Tofu can be blended with spices and herbs to create a creamy vegan salad dressing.,,
20,currant,/ˈkɝːənt/,"She added a handful of currants to the muffin batter, infusing the breakfast treats with bursts of sweet flavor.",,
21,gooseberry,/ˈɡuːsbɛri/,Gooseberry pie is a classic summer dessert that is both sweet and tangy.,,
22,guava,/ˈɡwɑvə/,I enjoyed a ripe guava as a quick and healthy snack.,,
23,persimmon,/pɚˈsɪmən/,"I sat beneath the persimmon tree, finding solace in its comforting shade.",,
24,quince,/kwɪns/,Quince jam is a sweet and tangy spread that pairs well with toast.,,
25,passion fruit,/ˈpæʃən fruːt/,I couldn't resist trying the passion fruit sorbet at the ice cream shop.,,
26,kumquat,/ˈkʌmkwɑt/,My father tried a kumquat for the first time and was pleasantly surprised by its sweet and tangy flavor.,,
27,lasagna,/ləˈzɑnjə/,"She baked a delicious lasagna layered with rich marinara sauce, creamy ricotta cheese, and savory ground beef.",,
28,poultry,/ˈpoʊltri/,I bought a whole chicken from the grocery store to make a delicious poultry dish for dinner.,,
29,stew,/stuː/,"She simmered a hearty beef stew on the stove, filling the kitchen with mouthwatering aromas.",,
30,marmalade,/ˈmɑrməˌleɪd/,I spread some marmalade on my toast this morning.,,
31,mousse,/muːs/,"She indulged in a decadent chocolate mousse, savoring each spoonful of its rich and velvety texture.",,
32,tart,/tɑrt/,"She baked a delicious apple tart, filling the buttery crust with thinly sliced apples and a sprinkle of cinnamon.",,
33,syrup,/ˈsɪrəp/,"He drizzled syrup over his waffles, creating a delicious breakfast.",,
34,vanilla,/vəˈnɪlə/,"As a dessert enthusiast, I couldn't resist trying the rich and velvety vanilla pudding at the new restaurant.",,
