order,word,phonetic,example,note,definition_en
1,world,/wɝld/,His dream is to sail around the world.,,
2,environment,/ɪnˈvaɪrənmənt/,Conserving water is beneficial for the environment.,,
3,plant,/plænt/,The gardener watered the plant every morning.,,
4,ground,/ɡraʊnd/,"After the rain, the ground became muddy and slippery.",,
5,field,/fild/,Sheep were grazing peacefully in the green field.,,
6,landscape,/ˈlændˌskeɪp/,The hikers admired the mountain landscape at sunrise.,,
7,view,/vju/,"From the airplane window, they had an incredible view of the islands below.",,
8,grass,/ɡræs/,"After a long winter, the grass in our garden has started to turn green again.",,
9,coast,/koʊst/,The coast was full of seashells and small pebbles.,,
10,hill,/hɪl/,"From the top of the hill, you can see the whole city.",,
11,rock,/rɑk/,She collected interesting rocks during her trip to the beach.,,
12,valley,/ˈvæli/,"The sun set behind the hills, casting long shadows over the valley.",,
13,lake,/leɪk/,A small island in the middle of the lake was home to a variety of birds.,,
14,the ocean,/ˈoʊʃən/,She enjoyed the stunning view of the ocean from her balcony.,,
15,rainforest,/ˈreɪnˌfɔrɪst/,He spent his vacation hiking through the beautiful rainforest.,,
16,wood,/wʊd/,He chopped the wood into small pieces to use as firewood.,,
17,area,/ˈɛriə/,The area around the lake is a popular picnic spot.,,
18,path,/pæθ/,Cyclists and walkers shared the path through the park.,,
19,natural,/ˈnætʃərəl/,She prefers using natural ingredients in her skincare products to avoid harsh chemicals.,,
20,disaster,/dɪˈzæstɚ/,"After the disaster, the community came together to support each other.",,
21,flood,/flʌd/,"After the flood, many people were left homeless.",,
22,earthquake,/ˈɝθˌkweɪk/,People ran out of their homes when the earthquake started.,,
23,hurricane,/ˈhɝɪˌkeɪn/,Emergency shelters were set up before the hurricane struck.,,
24,tornado,/tɔrˈneɪdoʊ/,Many trees were uprooted by the powerful tornado.,,
25,avalanche,/ˈævəˌlæntʃ/,Rescue teams were dispatched to the area after the avalanche.,,
26,drought,/draʊt/,The city imposed water restrictions because of the drought.,,
27,climate change,/ˈklaɪmət ˌʧeɪndʒ/,Climate change is a major concern for future generations.,,
28,to happen,/ˈhæpən/,An unexpected storm can happen at any time of year.,,
29,terrible,/ˈtɛrəbəl/,The avalanche caused terrible damage to the mountain village.,,
30,northeast,/nɔrˈθist/,The storm is moving in from the northeast.,,
31,northwest,/nɔrˈθwɛst/,"If you look to the northwest, you can see the mountain range.",,
32,southeast,/saʊθˈist/,"The storm is moving toward the southeast, bringing heavy rain.",,
33,southwest,/saʊθˈwɛst/,The wind blew from the southwest.,,
34,desert,/ˈdɛzɚt/,"At night, the desert can become very cold.",,
35,wave,/weɪv/,"The children ran towards the shoreline, excited to play in the waves crashing on the beach.",,
