order,word,phonetic,example,note,definition_en
1,kuiper belt,/kjˈuːɪpɚ bˈɛlt/,Pluto was once considered the ninth planet before its reclassification as a dwarf planet within the Kuiper Belt.,,
2,quasar,/ˈkweɪzɑɹ/,"Astronomers observed a distant quasar, providing insights into the early universe.",,
3,oort cloud,/ˈuːət klˈaʊd/,The Oort Cloud is a theorized reservoir of comets and icy bodies that extends far beyond the solar system.,,
4,corona,/kɝˈoʊnə/,"During a total solar eclipse, the corona of the Sun becomes visible as a radiant halo around the moon.",,
5,ecliptic,/ɪˈkɫɪptɪk/,The ecliptic is the path along which the Sun appears to move through the sky over the course of a year.,,
6,parallax,/ˈpɛɹəˌɫæks/,Astronomers use stellar parallax to measure the distances to nearby stars by observing their apparent shift against more distant background stars.,,
7,pulsar,/ˈpʊɫsɝ/,Pulsars were first discovered in 1967 by astronomers Jocelyn Bell Burnell and Antony Hewish.,,
8,astronomical unit,/ɐstɹənˈɑːmɪkəl jˈuːnɪt/,An astronomical unit measures distances within our solar system.,,
9,parsec,/ˈpɑɹˌsɛk/,Astronomers use parsec to measure distances to stars and galaxies.,,
10,cosmic ray,/kˈɑːzmɪk ɹˈeɪ/,Cosmic rays play a role in shaping the Earth's atmosphere and climate.,,
11,cosmic microwave background,/kˈɑːzmɪk mˈaɪkɹoʊwˌeɪv bˈækɡɹaʊnd/,The cosmic microwave background is remarkably uniform across the sky.,,
12,nebular hypothesis,/nˈɛbjʊlɚ haɪpˈɑːθəsˌɪs/,The nebular hypothesis suggests how our solar system formed.,,
13,Hubble constant,/hˈʌbəl kˈɑːnstənt/,The Hubble constant tells us how quickly the universe is expanding.,,
14,interstellar medium,/ˌɪntɚstˈɛlɚ mˈiːdiəm/,"The interstellar medium is made up of gas, dust, and cosmic rays.",,
15,heliosphere,/hˈɛlɪˌɑːsfɪɹ/,Solar wind particles create the heliosphere's boundary.,,
16,cosmic dust,/kˈɑːzmɪk dˈʌst/,"Cosmic dust consists of tiny particles of matter floating in space, primarily composed of elements such as carbon, silicon, and iron.",,
17,meteoroid,/mˈiːɾɪˌoːɹɔɪd/,A meteoroid is a small rocky or metallic object in outer space that is significantly smaller than an asteroid and larger than a micrometeoroid.,,
18,inflation,/ˌɪnˈfɫeɪʃən/,Inflation is a theory explaining the universe's rapid expansion.,,
19,magnetic storm,/mæɡnˈɛɾɪk stˈoːɹm/,"A magnetic storm, also known as a geomagnetic storm, is a disturbance in Earth's magnetosphere caused by solar wind interactions.",,
20,aurora australis,/ɐɹˈoːɹə ɔːstɹˈɑːliz/,"The aurora australis, also known as the Southern Lights, is a natural light display that occurs in the high-latitude regions of the Southern Hemisphere.",,
21,aurora borealis,/ɐɹˈoːɹə bˌoːɹɪˈælɪs/,"The aurora borealis, also known as the Northern Lights, is a natural light display that occurs in the high-latitude regions of the Northern Hemisphere.",,
22,cosmogonic,/kˌɑːzməɡˈɑːnɪk/,Cosmogonic theories explore how the universe began and evolved.,,
23,extragalactic astronomy,/ˌɛkstɹəɡɐlˈæktɪk ɐstɹˈɑːnəmi/,Extragalactic astronomy explores objects beyond our Milky Way.,,
24,nebular,/nˈɛbjʊlɚ/,Nebular theory posits that stars and planetary systems form from the gravitational collapse of nebulae.,,
25,sidereal,/saɪdˈiəɹɪəl/,Sidereal time is based on the Earth's rotation relative to distant stars rather than the sun.,,
