order,word,phonetic,example,note,definition_en
1,daddy,/ˈdædi/,"Every morning, her daddy helps her brush her teeth.",,
2,mommy,/ˈmɑːmi/,His mommy picked him up and comforted him when he fell.,,
3,grandparent,/ˈɡrændˌpɛrənt/,"Every Sunday, we have dinner at our grandparents' house.",,
4,grandpa,"/ˈɡrændpɑː/ , /ˈɡrænpɑː/",His grandpa gives him a silver coin every time he visits.,,
5,grandma,"/ˈɡrændmɑː/ , /ˈɡrænmɑː/",He enjoys playing cards with his grandma.,,
6,granddaughter,/ˈɡrændˌdɔːtɚ/,His granddaughter comes to visit him every Sunday.,,
7,grandson,/ˈɡrændˌsʌn/,His grandson always brings him a book when he visits.,,
8,group,/ɡruːp/,A group of children were playing in the park.,,
9,guest,/ɡɛst/,"As a guest, it's important to respect the rules of your host.",,
10,dude,"/duːd/ , /djuːd/","Dude, we have to leave now or we'll miss the movie.",,
11,guy,/ɡaɪ/,I met a guy at the library who loves the same books as I do.,,
12,neighbor,/ˈneɪbɚ/,"I noticed my neighbor's mailbox was overflowing, so I let them know.",,
13,surname,/ˈsɝːˌneɪm/,He decided to change his surname after he got married.,,
14,family name,/ˈfæməli ˌneɪm/,"In some cultures, the family name comes first, followed by the given name.",,
15,background,/ˈbækˌɡraʊnd/,"During the interview, they asked about my educational background.",,
16,couple,/ˈkʌpəl/,A couple was looking at the menu outside the restaurant.,,
17,partner,/ˈpɑːrtnɚ/,Emily and her partner are planning a romantic getaway for their anniversary.,,
18,twin,/twɪn/,"Even though they are twins, they have very different personalities.",,
19,kid,/kɪd/,All her kids have graduated from college.,,
20,member,/ˈmɛmbɚ/,All members are invited to the annual general meeting.,,
21,to date,/deɪt/,He asked her to date him on Valentine's day,,
22,to care,/kɛr/,"Despite his rough exterior, he cares a lot about his friends.",,
23,to marry,/ˈmæri/,"She didn't expect to marry so soon, but she fell in love.",,
24,to break up,/breɪk ʌp/,He decided to break up after she moved away for college.,,
25,to grow,/ɡroʊ/,Our puppy will grow into a big dog one day.,,
26,wedding,/ˈwɛdɪŋ/,The wedding was held in a beautiful garden.,,
27,to raise,/reɪz/,I raise my children with love and discipline.,,
28,middle name,/ˈmɪdl ˌneɪm/,"Her middle name is Rose, which is also her mother's favorite flower.",,
