order,word,phonetic,example,note,definition_en
1,to act on,/ækt ɑn/,He chose to act on the financial advisor's recommendations to save for retirement.,,
2,to hand out,/hænd aʊt/,The judge handed out a harsh punishment to the defendant for their involvement in the crime.,,
3,to nominate,/ˈnɑməˌneɪt/,The committee decided to nominate a candidate for the prestigious award.,,
4,to offer,/ˈɑfɚ/,"She offered her assistance to anyone in need, always willing to lend a helping hand.",,
5,to preach,/priːʧ/,"He tended to preach about the importance of healthy eating and exercise, often lecturing his friends and family during gatherings.",,
6,to prompt,/prɑmpt/,The teacher used thought-provoking questions to prompt students to participate actively in class discussions.,,
7,to propose,/prəˈpoʊz/,"He proposed a new strategy for increasing productivity during the team meeting, outlining specific steps for implementation.",,
8,to put forward,/pʊt ˈfɔrwɚd/,She put forward a new plan to increase sales.,,
9,to put to,/pʊt tuː/,I'll put the idea to the board at our next meeting.,,
10,consultant,/kənˈsʌltənt/,"The financial consultant put forward a comprehensive investment plan for her clients, outlining various strategies to achieve their financial goals.",,
11,counselor,/ˈkaʊnsəlɚ/,She sought guidance from a counselor to help her navigate through the challenges of her divorce.,,
12,mentor,/ˈmɛnˌtɔr/,The aspiring artist found a mentor who provided valuable feedback and encouragement to help him develop his artistic skills.,,
13,nominee,/ˌnɑməˈniː/,The political party announced its presidential nominee for the upcoming election.,,
14,caution,/ˈkɑʃən/,She ignored the caution from her doctor about overexerting herself after surgery and ended up prolonging her recovery.,,
15,connotation,/ˌkɑnəˈteɪʃən/,"""Home"" has connotations of warmth and security.",,
16,counseling,/ˈkaʊnsəlɪŋ/,She sought counseling to help her cope with the loss of a loved one and navigate through the grieving process.,,
17,guidance,/ˈɡaɪdəns/,"The mentor provided invaluable guidance to the new employee, helping them navigate the intricacies of the job.",,
18,hint,/ˈhɪnt/,"She gave him a subtle hint about where to find the missing key, hoping he would pick up on it.",,
19,indication,/ˌɪndɪˈkeɪʃən/,The dark clouds are an indication of approaching rain.,,
20,tip,/tɪp/,She gave him a useful tip for improving his golf swing.,,
21,sure thing,/ˈʃʊr ˈθɪŋ/,"I assured my team that the success of the project was a sure thing, and they enthusiastically committed to the endeavor.",,
22,advisory,/ədˈvaɪzəri/,The government issued a travel advisory warning citizens about potential risks in certain regions.,,
23,encouraging,/ɪnˈkɜrɪʤɪŋ/,The coach's encouraging words helped the team stay focused after their loss.,,
24,guiding,/ˈɡaɪdɪŋ/,Her guiding hand shaped the outcome of the project.,,
25,implicit,/ɪmˈplɪsɪt/,His implicit approval was evident from the nod of his head.,,
26,how-to,/ˈhaʊ tuː/,"She followed a how-to guide to assemble the furniture, which provided thorough instructions and illustrations.",,
27,misleading,/ˌmɪsˈliːdɪŋ/,The advertisement contained misleading information about the effectiveness of the weight loss product.,,
28,straight,/streɪt/,She gave a straight answer to the question.,,
29,receptive,/rɪˈsɛptɪv/,The committee members were receptive to new ideas and eager to explore innovative solutions.,,
30,supportive,/səˈpɔrtɪv/,"Her family was incredibly supportive during her recovery from surgery, providing assistance and encouragement every step of the way.",,
31,(at|on) {one's} suggestion,/æt wʌnz səˈʤɛstʃən/,"On his suggestion, I applied for the job.",,
32,if I were you,/ɪf aɪ wɝː juː/,"If I were you, I would double-check the directions before heading out to avoid getting lost.",,
33,now then,/ˈnaʊ ðɛn/,"Now then, let's focus on the task at hand and try to solve this problem together.",,
