order,word,phonetic,example,note,definition_en
1,car,/kɑːr/,I drive my car to work every day.,,
2,motorcycle,/ˈmoʊtɚˌsaɪkl/,He rides his motorcycle to work every day.,,
3,bus,/bʌs/,I prefer sitting near the window when I'm on the bus.,,
4,truck,/trʌk/,The truck carried a load of construction materials to the building site.,,
5,train,/treɪn/,I always enjoy listening to music while traveling on the train.,,
6,taxi,/ˈtæksi/,I called a taxi to pick me up from my hotel.,,
7,subway,/ˈsʌbˌweɪ/,I like reading a book during my subway ride.,,
8,airplane,/ˈɛrˌpleɪn/,I always feel excited when the airplane takes off.,,
9,helicopter,/ˈhɛlɪˌkɑːptɚ/,The helicopter blades spun rapidly as it prepared for takeoff.,,
10,ship,/ʃɪp/,The captain navigated the ship through rough waters with skill and expertise.,,
11,boat,/boʊt/,The boat captain guided us through the narrow canals of the city.,,
12,ticket,/ˈtɪkɪt/,He lost his ticket and had to get a new one at the ticket counter.,,
13,van,/væn/,The family loaded their camping gear into the van and set off on their weekend adventure.,,
14,station,/ˈsteɪʃən/,I arrived early at the station to make sure I didn't miss my train.,,
15,airport,/ˈɛrˌpɔːrt/,I always feel a mix of emotions when saying goodbye to loved ones at the airport.,,
16,train station,/ˈtreɪn ˈsteɪʃən/,I arrived at the train station early to ensure I didn't miss my train.,,
