order,word,phonetic,example,note,definition_en
1,to surmise,/sɝˈmaɪz/,"Unable to find the missing document, he could only surmise that it might have been misplaced.",,
2,to mull over,/mˈʌl ˈoʊvɚ/,I need to mull over my options before I make a decision.,,
3,to reckon,/ˈɹɛkən/,"After assessing the project requirements, the team tried to reckon the time needed for completion.",,
4,to ruminate,/ˈɹumɪˌneɪt/,She likes to ruminate on philosophical questions before bed.,,
5,to cogitate,/ˈkɑdʒɪˌteɪt/,"During the meeting, she took a moment to cogitate before expressing her opinion.",,
6,to relive,/ɹiˈɫɪv/,The veteran often found himself trying to relive the camaraderie of his military days.,,
7,to retain,"/ɹiˈteɪn/, /ɹɪˈteɪn/","Even after many years, she could still retain vivid memories of her childhood home.",,
8,to spurn,/ˈspɝn/,"Despite his sincere apology, she chose to spurn his attempts at reconciliation.",,
9,to refute,/ɹɪfˈjut/,The scientist refuted the hypothesis with empirical data.,,
10,to rebuff,"/ɹiˈbəf/, /ɹɪˈbəf/",She felt hurt when he rebuffed her offer to help with the project.,,
11,to opine,/oʊˈpaɪn/,Experts in the field of economics often opine that inflation can have far-reaching consequences.,,
12,to conceptualize,/kənˈsɛptʃwəˌɫaɪz/,The artist was able to conceptualize a unique painting by blending various artistic influences.,,
13,to heed,/ˈhid/,It's important to heed the advice of experienced hikers when trekking in unfamiliar terrain.,,
14,to waver,/ˈweɪvɝ/,Sarah could see him waver in his commitment to the project as the challenges grew.,,
15,to resolve,/rɪˈzɑlv/,"After much consideration, she resolved to pursue her dream of starting her own business.",,
16,ambivalent,/æmˈbɪvəɫənt/,She felt ambivalent about the job offer because it required moving to a new city.,,
17,fuzzy,/ˈfəzi/,"After staying up all night studying, her mind felt fuzzy, and she struggled to focus on the exam questions.",,
18,incisive,/ˌɪnˈsaɪsɪv/,"His incisive vision allows him to see beyond the surface, uncovering deeper meanings and unveiling hidden truths.",,
19,irresolute,/ɪɹˈɛzəlˌuːt/,"Faced with multiple options, she felt irresolute and couldn't make a decision.",,
20,unanimous,/juˈnænəməs/,The committee was unanimous in approving the new budget.,,
21,volition,/voʊˈɫɪʃən/,"She chose to pursue a career in art of her own volition, following her passion rather than external pressures.",,
