order,word,phonetic,example,note,definition_en
1,biochemistry,/ˌbaɪoʊˈkɛməstɹi/,"Enzymes, which are proteins that speed up chemical reactions, are a key focus in biochemistry.",,
2,biological,/ˌbaɪəˈɫɑdʒɪkəɫ/,Biological research investigates the genetic makeup of different species.,,
3,artificial,/ˌɑɹtəˈfɪʃəɫ/,Artificial sweeteners are used as sugar substitutes in many food and beverage products.,,
4,bacteria,/bækˈtɪɹiə/,Bacteria play a crucial role in the decomposition of organic matter in the ecosystem.,,
5,being,/ˈbiɪŋ/,"Every being plays a role in its ecosystem, contributing to the balance of nature.",,
6,cycle,/ˈsaɪkəɫ/,The water cycle describes how water moves through the environment in different forms.,,
7,DNA,/dˌiːˌɛnˈeɪ/,"DNA, or deoxyribonucleic acid, contains the genetic instructions for living organisms.",,
8,genetics,/dʒəˈnɛtɪks/,Understanding genetics helps scientists explore how diseases are passed through families.,,
9,to evolve,"/iˈvɑɫv/, /ɪˈvɑɫv/","Over millions of years, horses have evolved from small, multi-toed ancestors to the single-toed, large-bodied animals we see today.",,
10,compound,"/ˈkɑmpaʊnd/, /kəmˈpaʊnd/",Water is a compound made of hydrogen and oxygen atoms.,,
11,element,/ˈɛɫəmənt/,Oxygen is an essential element for human respiration.,,
12,matter,/ˈmætɚ/,"All objects, whether solid, liquid, or gas, are made of matter.",,
13,mineral,"/ˈmɪnɝəɫ/, /ˈmɪnɹəɫ/",Quartz is a common mineral found in many types of rocks.,,
14,molecule,/ˈmɑɫəkˌjuɫ/,Molecules are made up of two or more atoms bonded together.,,
15,solution,/səˈluʃən/,Many cleaning products are solutions that mix different liquids for better effectiveness.,,
16,boiling point,/bˈɔɪlɪŋ pˈɔɪnt/,Water has a boiling point of 100 degrees Celsius at sea level.,,
17,freezing point,/fɹˈiːzɪŋ pˈɔɪnt/,The freezing point of ethanol is lower than that of water.,,
18,radiation,/ˌɹeɪdiˈeɪʃən/,The sun emits radiation that warms the Earth.,,
19,to advance,/ədˈvæns/,The student diligently studied each day to advance their understanding of the subject.,,
20,to absorb,/əbˈzɔɹb/,Plants absorb sunlight to produce energy through photosynthesis.,,
21,to activate,/ˈæktəˌveɪt/,Scientists can activate certain materials to make them radioactive for research purposes.,,
22,to generate,/ˈdʒɛnɝˌeɪt/,The solar panels on the roof generate electricity for the entire house.,,
23,industry,/ˈɪndəstɹi/,The automotive industry is a major contributor to the national economy.,,
24,civil engineering,/sˈɪvəl ˌɛndʒɪnˈɪɹɪŋ/,Civil engineering plays a crucial role in urban development and city planning.,,
25,sensor,/ˈsɛnsɝ/,The temperature sensor measures the heat in the environment to adjust the heating system.,,
26,circuit,/ˈsɝkət/,The electrical circuit is designed to power the light bulb when the switch is turned on.,,
27,field,/fild/,The gravitational field of Earth pulls objects toward its center.,,
28,wire,/ˈwaɪr/,The electrician installed new wire to ensure the lights functioned properly.,,
29,live wire,/lˈaɪv wˈaɪɚ/,Be cautious when working near live wires to avoid electrical shocks.,,
30,motion,/ˈmoʊʃən/,The planet's motion around the sun is elliptical.,,
31,to monitor,/ˈmɑnɪtər/,Parents often need to monitor their children's online activities to ensure a safe digital environment.,,
32,motor,/ˈmoʊtɝ/,The electric motor powered the conveyor belt in the factory.,,
33,rate,/ˈɹeɪt/,The crime rate in the city has decreased significantly over the past year.,,
34,weathering,/ˈwɛðɝɪŋ/,"The old building showed signs of weathering, with crumbling bricks and faded paint.",,
35,impervious,/ˌɪmˈpɝviəs/,The impervious seal on the container kept the chemicals inside safe from contamination.,,
