order,word,phonetic,example,note,definition_en
1,electric razor,/ɪlˈɛktɹɪk ɹˈeɪzɚ/,He prefers using an electric razor for its convenience and speed.,,
2,shaver,/ˈʃeɪvɝ/,He decided to use a shaver for a quick and convenient grooming routine.,,
3,sunscreen,"/ˈsənskɹin/, /sənsˈkɹin/",She applies sunscreen every morning before heading outside.,,
4,shampoo,/ʃæmˈpu/,She chose a sulfate-free shampoo to keep her color-treated hair vibrant.,,
5,conditioner,/kənˈdɪʃənɝ/,She applied conditioner to her hair to keep it soft and smooth.,,
6,balm,"/bɑːm/, /bɑːlm/",She applied a cooling balm to her sunburned skin to soothe the pain.,,
7,lotion,/ˈɫoʊʃən/,She applied lotion after her shower to keep her skin soft and hydrated.,,
8,cosmetics,/kɑzˈmɛtɪks/,She has a wide collection of cosmetics for different makeup looks.,,
9,gel,/ˈdʒɛɫ/,She applied a pea-sized amount of hair gel to tame her unruly curls.,,
10,hairspray,/hˈɛɹ spɹˈeɪ/,She sprayed hairspray on her hair to keep her curls intact all day.,,
11,eyeliner,/ˈaɪˌɫaɪnɝ/,She used a black eyeliner to create a bold cat-eye look.,,
12,eyeshadow,/ˈaɪˈʃædoʊ/,She chose a shimmering gold eyeshadow for a festive look.,,
13,blush,/ˈbɫəʃ/,She applied a soft pink blush to brighten her complexion.,,
14,concealer,/kənsˈiːlɚ/,She dabbed a bit of concealer under her eyes to hide the dark circles after a sleepless night.,,
15,face powder,/fˈeɪs pˈaʊdɚ/,She dusted face powder over her T-zone to reduce oiliness and set her makeup.,,
16,foundation,/faʊnˈdeɪʃən/,She applied a lightweight liquid foundation to achieve a natural-looking base for her makeup.,,
17,lip gloss,/lˈɪp ɡlˈɔs/,She applied a coat of pink lip gloss to add shine and moisture to her lips.,,
18,lipstick,/ˈɫɪpˌstɪk/,She chose a bold red lipstick for a night out.,,
19,mascara,/mæˈskɛɹə/,She applied mascara to make her eyes stand out during the event.,,
20,nail polish,/nˈeɪl pˈɑːlɪʃ/,She chose a bright red nail polish for a bold look.,,
21,face mask,/fˈeɪs mˈæsk/,She applied a clay face mask to draw out impurities and reduce oiliness from her skin.,,
22,dye,/ˈdaɪ/,"Natural dyes can be made from plants, fruits, and vegetables.",,
23,tweezers,/ˈtwizɝz/,She used tweezers to pluck stray eyebrow hairs and shape her brows.,,
24,cologne,/kəˈɫoʊn/,He applied cologne before going out for the evening.,,
25,deodorant,/diˈoʊdɝənt/,She applies deodorant every morning before going to work.,,
26,mouthwash,/ˈmaʊθˌwɑʃ/,"After brushing and flossing, she swirled mouthwash around her mouth for thirty seconds to ensure fresh breath.",,
27,dental floss,/dˈɛntəl flˈɔs/,She uses dental floss daily to keep her teeth clean.,,
28,nail file,/nˈeɪlfaɪl/,She used a nail file to shape her nails before applying polish.,,
29,cotton swab,/kˈɑːʔn̩ swˈɑːb/,She used a cotton swab to apply ointment to her cut.,,
30,makeup,/ˈmeɪˌkəp/,She applied her makeup carefully before the big event.,,
31,nail clippers,/neɪl klɪpɚz/,"She used a nail clipper to trim her fingernails to a neat, uniform length.",,
32,tampon,/ˈtæmpɑn/,She always carries tampons in her bag for emergencies.,,
