order,word,phonetic,example,note,definition_en
1,loudmouth,/ˈlaʊdˌmaʊθ/,The bar had to kick out that loudmouth who was shouting over everyone else's conversations.,,
2,cynical,/ˈsɪnɪkəl/,"After experiencing multiple disappointments, she became cynical about the concept of true love.",,
3,loony,/ˈluːni/,She came up with a loony idea to build a roller coaster in her backyard.,,
4,naive,/naɪˈiːv/,"She was naive to the ways of the world, trusting everyone she met without question.",,
5,flawed,/flɑd/,"Despite its flawed design, the vintage car still held sentimental value for its owner.",,
6,hostile,/ˈhɑstəl/,He's so hostile; he always responds with anger or aggression in disagreements.,,
7,noble,/ˈnoʊbəl/,"She was known for her noble character, always putting others' needs before her own.",,
8,obsessive,/əbˈsɛsɪv/,His obsessive attention to detail often slowed down the team's progress on projects.,,
9,persistent,/pɚˈsɪstənt/,"Despite the setbacks, she remained persistent, never giving up on her goals.",,
10,pushy,/ˈpʊʃi/,The pushy salesperson wouldn't take no for an answer and kept trying to make a sale.,,
11,malicious,/məˈlɪʃəs/,His malicious prank caused damage to property and upset many people.,,
12,rebellious,/rɪˈbɛljəs/,The rebellious teenager frequently clashed with their parents over curfews and household rules.,,
13,resentful,/rɪˈzɛntfəl/,She was resentful towards her colleague who took credit for her ideas.,,
14,secretive,/ˈsiːkrɪtɪv/,"Despite being close friends, she remained secretive about her personal life, rarely disclosing details about her relationships.",,
15,self-centered,/ˈsɛlfˈsɛntɚd/,She's so self-centered; she only talks about herself and never asks how others are doing.,,
16,superficial,/ˌsuːpɚˈfɪʃəl/,Her superficial knowledge of politics made it difficult for her to engage in meaningful discussions.,,
17,suspicious,/səˈspɪʃəs/,The manager became suspicious when he noticed discrepancies in the financial reports.,,
18,timid,/ˈtɪmɪd/,"She was too timid to speak up during meetings, fearing she would say something wrong.",,
19,vain,/veɪn/,"Despite his lack of talent, he was vain enough to believe he was the best singer in the group.",,
20,villainous,/ˈvɪlənəs/,The villainous character plotted to overthrow the kingdom and seize power.,,
21,knowledgeable,/ˈnɑlɪʤəbəl/,The librarian was knowledgeable about a wide range of literary genres and authors.,,
22,open-minded,/ˈoʊpənˈmaɪndɪd/,The open-minded teacher encouraged her students to explore different viewpoints and challenge their own beliefs.,,
23,mature,/məˈʧʊr/,The mature teenager handled the disagreement with his friends calmly and respectfully.,,
24,plain,/pleɪn/,"She appreciated his plain advice, even though it was difficult to hear.",,
25,principled,/ˈprɪnsəpəld/,"She is known for her principled stance on environmental issues, always advocating for sustainable practices.",,
26,prominent,/ˈprɑmɪnənt/,"The prominent landmark could be seen from miles away, guiding travelers to their destination.",,
27,rational,/ˈræʃənəl/,"She remained rational during the crisis, calmly evaluating the best course of action.",,
28,relatable,/rɪˈleɪtəbəl/,Her stories about growing up in a small town were so relatable that everyone in the audience nodded in agreement.,,
29,renowned,/rɪˈnaʊnd/,The renowned scientist was honored with a Nobel Prize for his groundbreaking research.,,
30,dedicated,/ˈdɛdɪkeɪtɪd/,"She was dedicated to her job, often staying late to ensure projects were completed.",,
31,humble,/ˈhʌmbəl/,"He's a humble person, never boasting about his achievements and always treating others with kindness.",,
32,self-motivated,/ˈsɛlfˈmoʊtɪveɪtɪd/,She is a self-motivated individual who doesn't need external encouragement to pursue her goals.,,
33,straightforward,/ˌstreɪtˈfɔrwɚd/,He appreciated her straightforward approach to discussing difficult topics.,,
34,tactful,/ˈtæktfəl/,It's important to be tactful when giving feedback to avoid hurting someone's feelings.,,
35,thoughtful,/ˈθɑtfəl/,She spent a thoughtful afternoon journaling about her goals and dreams.,,
36,tolerant,/ˈtɑlərənt/,"The tolerant teacher encouraged open discussions in the classroom, fostering an environment where students felt free to express diverse viewpoints without fear of judgment.",,
37,trustworthy,/ˈtrʌstwɝði/,"He's trustworthy, always keeping his promises and maintaining confidentiality.",,
38,truthful,/ˈtruθfəl/,She was a truthful friend who never hid the facts.,,
39,vicious,/ˈvɪʃəs/,"He faced a vicious opponent in the boxing ring, known for his ruthless tactics.",,
40,foolhardy,/ˈfulˌhɑrdi/,His foolhardy attempt to climb the mountain without proper equipment put his life at risk.,,
41,withdrawn,/wɪðˈdrɔn/,"Since starting at the new school, he became increasingly withdrawn, preferring to spend time alone.",,
42,rat,/ræt/,The criminal gang was furious when they discovered there was a rat in their midst.,,
43,poker face,/ˈpoʊkɚ ˌfeɪs/,"Despite the pressure, he maintained a poker face during the negotiation, never revealing his excitement or desperation.",,
