order,word,phonetic,example,note,definition_en
1,bachelor party,/bˈætʃəlɚ pˈɑːɹɾi/,"After the bachelor party, the groom and his friends had great stories and memories to share as they prepared for the upcoming wedding.",,
2,bachelorette party,/bˌɑːkɪloːɹˈɛt pˈɑːɹɾi/,The bridesmaids organized a fun-filled bachelorette party with a spa day followed by a night out on the town.,,
3,best man,/bˈɛst mˈæn/,"In the days leading up to the wedding, the best man helps coordinate the groom’s schedule, ensuring that he is on time for all pre-wedding events.",,
4,bridesmaid,/ˈbɹaɪdzˌmeɪd/,The bridesmaids assisted the bride with selecting her wedding dress and coordinating their own outfits to match the wedding theme.,,
5,fiance,"/ˌfiˌɑnˈseɪ/, /fiˈɑnˌseɪ/",The fiancé helped plan the wedding details and was actively involved in choosing the venue and decorations.,,
6,fiancee,/fiˈænsi/,"After their engagement, the fiancée and her partner celebrated with a party to share the news with friends and family.",,
7,flower girl,/flˈaʊɚ ɡˈɜːl/,The flower girl looked adorable in her white dress and floral crown as she walked down the aisle.,,
8,maid of honor,/mˈeɪd ʌv ˈɑːnɚ/,"The maid of honor gave a heartfelt toast at the wedding reception, celebrating the bride and groom.",,
9,bouquet,/buˈkeɪ/,"The bride held a bouquet of white roses and lilies as she walked down the aisle, complementing her wedding dress.",,
10,reception,/rɪˈsɛpʃən/,"After the ceremony, the couple hosted a reception where guests enjoyed a variety of appetizers and a formal meal.",,
11,speech,/ˈspitʃ/,The politician delivered an inspiring speech at the campaign rally.,,
12,toast,/toʊst/,The best man gave a touching toast to the newlyweds at the wedding reception.,,
13,engagement ring,/ɛnɡˈeɪdʒmənt ɹˈɪŋ/,"He proposed to her with a sparkling diamond engagement ring, which she accepted with tears of joy.",,
14,wedding ring,/wˈɛdɪŋ ɹˈɪŋ/,She lost her wedding ring at the beach.,,
15,wedding gown,/wˈɛdɪŋ ɡˈaʊn/,The bride walked down the aisle in a stunning wedding gown with intricate lace details and a flowing train.,,
16,veil,/ˈveɪɫ/,"The bride wore a long, flowing veil that cascaded down her back during the wedding ceremony.",,
17,tuxedo,/ˌtəkˈsidoʊ/,The groom and his groomsmen wore classic black tuxedos with white dress shirts and black bow ties for the wedding.,,
18,aisle,"/ˈaɪəɫ/, /ˈaɪɫ/","The bride walked gracefully down the aisle, her dress trailing behind her.",,
19,confetti,/kənˈfɛti/,"After the couple said their vows, guests threw confetti over them as they exited the ceremony, creating a colorful shower.",,
20,to elope,/ɪˈɫoʊp/,"Despite their families' objections, the young couple decided to elope and get married.",,
21,to exchange,/ɪksˈʧeɪnʤ/,They decided to exchange gifts during the holiday celebration.,,
22,vow,/vaʊ/,"The couple exchanged vows during the wedding ceremony, pledging to love and support each other for the rest of their lives.",,
23,bell,/bel/,"The church bell rang out across the village, signaling the start of the wedding ceremony.",,
24,dance floor,/dˈæns flˈoːɹ/,The newlyweds shared their first dance on the beautifully decorated dance floor.,,
25,honeymoon,/ˈhəniˌmun/,They planned a luxurious honeymoon to an exotic island resort in the Caribbean.,,
26,newlywed,/ˈnuɫiˌwɛd/,The newlyweds spent their first week of marriage on a romantic honeymoon in Paris.,,
27,pregnant,/ˈpɹɛɡnənt/,The pregnant cat nested in a quiet corner of the house as she prepared to give birth to her litter of kittens.,,
