order,word,phonetic,example,note,definition_en
1,bumper,/ˈbəmpɝ/,This year's bumper harvest of wheat ensured there would be plenty of grain for the entire region.,,
2,superabundant,/sˌuːpɚɹɐbˈʌndənt/,Researchers were surprised to find a superabundant population of a rare butterfly species in the remote meadow.,,
3,luxuriant,/ɫəɡˈʒɝiənt/,"The garden displayed luxuriant blooms in a riot of colors, attracting butterflies and bees.",,
4,skimpy,/ˈskɪmpi/,The restaurant offered a skimpy portion of fries with the meal.,,
5,measly,/ˈmizɫi/,"The employee received a measly bonus at the end of the year, much less than expected.",,
6,astronomical,/ˌæstɹəˈnɑmɪkəɫ/,"The cost of the new space mission was astronomical, reaching billions of dollars.",,
7,meager,/ˈmiɡɝ/,"The family survived on a meager income, struggling to make ends meet.",,
8,exiguous,/ɛɡzˈɪɡjuːəs/,The explorer had an exiguous supply of food for the long journey through the wilderness.,,
9,copious,/ˈkoʊpiəs/,"The book is copious in its exploration of the historical context, providing readers with a comprehensive understanding.",,
10,myriad,/ˈmɪɹiəd/,"In the vast desert, there are myriad stars visible in the night sky.",,
11,to decrement,/dˈɛkɹɪmənt/,The team decided to decrement the budget for the upcoming project.,,
12,to deduct,/dɪˈdəkt/,The teacher instructed the students to deduct points for incorrect answers on the quiz.,,
13,to curtail,/kɝˈteɪɫ/,Rising costs have led many companies to curtail benefits and perks for employees in recent years.,,
14,to tail off,/tˈeɪl ˈɔf/,The excitement of the event began to tail off towards the end.,,
15,to dwindle,/ˈdwɪndəɫ/,The water level in the reservoir began to dwindle during the dry season.,,
16,to soar,/sɔr/,The price of Bitcoin soared to an all-time high last week.,,
17,to snowball,/ˈsnoʊˌbɔɫ/,"The social media campaign began to snowball, gaining widespread attention and support.",,
18,upswing,"/ˈəpˌswɪŋ/, /əpˈswɪŋ/",The company experienced an upswing in sales after launching their new product line.,,
19,abatement,/əˈbeɪtmənt/,The city implemented noise abatement measures to reduce the impact of traffic sounds in residential areas.,,
20,cornucopia,/ˌkɔɹnəˈkoʊpiə/,The library provides a cornucopia of resources for students.,,
21,augmentation,/ˌɑɡmɛnˈteɪʃən/,The recent augmentation of staff has significantly improved the efficiency of the department.,,
22,proliferation,/ˌpɹoʊɫɪfɝˈeɪʃən/,The proliferation of smartphones has revolutionized how we communicate.,,
23,upsurge,/ˈəpˌsɝdʒ/,There was an unexpected upsurge in stock prices following the positive earnings report.,,
