order,word,phonetic,example,note,definition_en
1,branch,/bræntʃ/,"The children climbed the sturdy branch of the oak tree, enjoying the view from high up.",,
2,root,/ˈɹut/,"She carefully planted the new tree, ensuring that its roots were well spread out in the hole to encourage healthy growth.",,
3,trunk,/trʌŋk/,The children climbed on the sturdy trunk of the old oak tree in the backyard.,,
4,twig,/ˈtwɪɡ/,The bird built its nest using twigs and leaves from the nearby trees.,,
5,bush,/ˈbʊʃ/,"The garden was neatly arranged with colorful bushes, adding structure and vibrancy to the outdoor space.",,
6,ash,/ˈæʃ/,"The ash tree's timber is valued for its strength and flexibility, making it ideal for furniture and sports equipment.",,
7,bamboo,/bæmˈbu/,The garden featured a bamboo fence that provided a natural and eco-friendly boundary.,,
8,eucalyptus,/ˌjukəˈɫɪptəs/,"The air was filled with the fresh, medicinal scent of eucalyptus as they walked through the grove.",,
9,evergreen,/ˈɛvɝˌɡɹin/,"They admired the row of evergreens lining the driveway, adding year-round beauty and privacy.",,
10,fir,/ˈfɝ/,"The family chose a tall, full fir tree for their Christmas celebrations, decorating it with ornaments and lights.",,
11,ivy,/ˈaɪvi/,"Ivy climbed up the walls of the old stone cottage, giving it a charming, rustic appearance.",,
12,oak,/ˈoʊk/,The ancient oak tree stood majestically in the middle of the forest.,,
13,palm,"/pɑːm/ , /pɑlm/",The palm trees swayed gently in the ocean breeze along the tropical coastline.,,
14,pine,/ˈpaɪn/,"The pine forest was filled with the fresh, crisp scent of pine needles, creating a serene atmosphere.",,
15,vine,/ˈvaɪn/,The gardener trimmed the vine to encourage healthier growth and prevent it from overtaking other plants.,,
16,willow,/ˈwɪˌɫoʊ/,"The willow tree in the park had long, slender branches that swayed gently in the breeze.",,
17,weeping willow,/wˈiːpɪŋ wˈɪloʊ/,"She loved sitting under the weeping willow, enjoying the serene ambiance and the gentle rustling of its leaves.",,
18,to bloom,/ˈbɫum/,The rose bushes bloomed beautifully in the garden this summer.,,
19,to blossom,/ˈblɑsəm/,The cherry trees in the park blossomed with delicate pink flowers in the spring.,,
20,bud,/ˈbəd/,"The tree branches were covered in tiny buds, promising new leaves and flowers in the coming spring.",,
21,leaf,/ˈɫif/,He carefully examined the underside of the leaf to check for signs of pests or diseases.,,
22,stem,/ˈstem/,The scientist examined the stem under a microscope to study its structure and how it conducts nutrients.,,
23,thorn,/ˈθɔɹn/,"The rose bush had long thorns along its stems, which required careful handling to avoid getting pricked.",,
24,daffodil,/ˈdæfəˌdɪɫ/,"The garden was brightened by the daffodils, their sunny yellow blooms standing out against the green foliage.",,
25,daisy,/ˈdeɪzi/,"The field was dotted with daisies, their white petals and bright yellow centers creating a charming and carefree scene.",,
26,lotus,/ˈɫoʊtəs/,"In the temple garden, a serene pond was filled with lotus blossoms, symbolizing purity and enlightenment.",,
27,tulip,/ˈtuɫəp/,"The garden was adorned with a variety of tulips, creating a vibrant display of red, yellow, and pink flowers.",,
28,violet,"/ˈvaɪəɫɪt/, /ˈvaɪɫɪt/","The garden was filled with vibrant violets, their delicate purple flowers adding a splash of color.",,
29,lavender,/ˈɫævəndɝ/,She planted lavender in her garden to enjoy its pleasant aroma and vibrant color.,,
30,weed,/ˈwid/,"After a few weeks of neglect, the garden was overrun with weeds, so she spent the afternoon pulling them out.",,
