order,word,phonetic,example,note,definition_en
1,Father,/ˈfɑːðɚ/,"In his prayers, he often referred to God as Father, seeking guidance and comfort.",,
2,Christ,/kraɪst/,Christians believe that Christ died for the sins of humanity and rose from the dead.,,
3,Jesus,/ˈdʒizəs/,Jesus taught his followers to love their neighbors as themselves.,,
4,Saint,/seɪnt/,Saint Francis of Assisi is known for his love of animals and nature.,,
5,Pope,/poʊp/,The Pope addressed the crowd from the balcony of St. Peter's Basilica.,,
6,bishop,/ˈbɪʃəp/,The bishop presided over the ordination ceremony for the new priests in the diocese.,,
7,pastor,/ˈpæstər/,The pastor delivered a powerful sermon that resonated with the entire congregation.,,
8,brother,/ˈbrʌðɚ/,Brother Thomas spends his days in prayer and service at the monastery.,,
9,missionary,/ˈmɪʃəˌnɛri/,"The missionary spent years in remote villages, sharing the teachings of Christianity with the local people.",,
10,monk,/mʌŋk/,The monk spent his days in prayer and contemplation within the monastery walls.,,
11,nun,/nʌn/,The nun devoted her life to prayer and service within the convent.,,
12,Catholic,/ˈkæθlɪk/,She attends Mass every Sunday at her local Catholic church.,,
13,Protestant,/ˈprɑtəstənt/,The Protestant church down the street hosts weekly services on Sundays.,,
14,congregation,/ˌkɑŋɡrəˈɡeɪʃən/,The congregation gathered every Sunday for worship and fellowship.,,
15,parish,/ˈpærɪʃ/,The parish is known for its strong sense of community and active involvement in local charities.,,
16,convert,/ˈkɑnvərt/,He was raised in a different faith but became a devout convert to Christianity in his adult years.,,
17,follower,/ˈfɑloʊər/,"He was a devoted follower of Buddha, practicing meditation daily.",,
18,pilgrim,/ˈpɪlɡrɪm/,"Every year, thousands of pilgrims travel to Mecca for the Hajj pilgrimage.",,
19,christening,/ˈkrɪsənɪŋ/,"The christening ceremony was held in the local church, with family and friends in attendance.",,
20,blessing,/ˈblɛsɪŋ/,The priest offered a heartfelt blessing for peace and prosperity in the community.,,
21,Buddhist,/ˈbudɪst/,She became a Buddhist after studying the teachings of Siddhartha Gautama.,,
22,funeral,/ˈfjunərəl/,The funeral was held at the church where she had been an active member for many years.,,
23,cult,/kʌlt/,The authorities investigated allegations of abuse within the cult.,,
24,fate,/feɪt/,"She believed in the power of fate to guide her life's journey, trusting that everything happens for a reason.",,
25,Islam,/ɪsˈlɑm/,"Islam is one of the world's major religions, with millions of followers around the globe.",,
26,Muhammad,/moʊˈhɑməd/,Muhammad is considered the founder of Islam and the last prophet in the religion.,,
27,monastery,/ˈmɑnəˌstɛri/,The monastery nestled in the mountains provided a serene environment for meditation and prayer.,,
28,shrine,/ʃraɪn/,Pilgrims from around the world visit the shrine to pay their respects and seek blessings.,,
29,ritual,/ˈrɪtʃuəl/,The priest performed the ritual of sprinkling holy water during the baptism.,,
30,divine,/dɪˈvaɪn/,The ancient Greeks believed in divine beings residing on Mount Olympus.,,
31,sacred,/ˈseɪkrɪd/,The river is considered sacred in many indigenous cultures.,,
32,secular,/ˈsɛkjələr/,"The school is secular, meaning it does not promote any specific religious beliefs.",,
33,to preach,/priːʧ/,"Every Sunday, the pastor preaches sermons to the congregation, sharing biblical wisdom.",,
34,to sacrifice,/ˈsækrəˌfaɪs/,The ancient Mayans would sacrifice animals to their gods during important rituals.,,
35,to sin,/sɪn/,They believed it was wrong to sin against their neighbors by spreading false rumors.,,
36,to worship,/ˈwɜrʃɪp/,"During the festival, devotees gather at the temple to worship the deity with offerings of flowers, incense, and fruits.",,
37,archbishop,/ˈɑrtʃˈbɪʃəp/,"The archbishop presided over the diocese, which encompassed several cities and towns.",,
38,God-fearing,/ˈɡɑd ˌfɪrɪŋ/,She was raised in a God-fearing household where attending church every Sunday was a priority.,,
39,godless,/ˈɡɑdləs/,The godless society depicted in the novel had abandoned all forms of religious belief.,,
40,to fear,/fɪr/,They were taught to fear God and follow His teachings.,,
