order,word,phonetic,example,note,definition_en
1,to backpack,,,,
2,bed and breakfast,,,,
3,holiday,,,,
4,booking,,,,
5,brochure,,,,
6,affordable,,,,
7,to camp,,,,
8,campfire,,,,
9,outdoors,,,,
10,keycard,,,,
11,check-in,,,,
12,reception desk,,,,
13,desk clerk,,,,
14,day trip,,,,
15,doorman,,,,
16,double,,,,
17,family room,,,,
18,exchange,,,,
19,to explore,,,,
20,front desk,,,,
21,tour guide,,,,
22,hostel,,,,
23,minibar,,,,
24,luggage,,,,
25,visitor,,,,
26,to sunbathe,,,,
27,stay,,,,
28,seaside,,,,
29,safari,,,,
30,single,,,,
31,sight,,,,
32,to tour,,,,
33,cottage,,,,
