order,word,phonetic,example,note,definition_en
1,farm,/fɑrm/,"A small stream runs through the farm, providing water for the crops.",,
2,farming,/ˈfɑrmɪŋ/,"Farming involves many tasks, from planting seeds to harvesting crops.",,
3,to pick,/pɪk/,"As a child, I used to pick wild raspberries in the forest behind our house.",,
4,to plant,/plænt/,"Each spring, the community comes together to plant flowers in the town square.",,
5,to water,/ˈwɑːtɚ/,"After planting the seeds, be sure to water them regularly.",,
6,to grow,/ɡroʊ/,She grows beautiful roses in her garden.,,
7,to produce,/prəˈdus/,All our meat is locally produced.,,
8,to feed,/fiːd/,"During our camping trip, we were warned not to feed the wild animals.",,
9,strawberry,/ˈstrɔˌbɛri/,I enjoy picking strawberries at the local farm during strawberry season.,,
10,blueberry,/ˈbluˌbɛri/,I like adding frozen blueberries to my pancakes for an extra touch of sweetness.,,
11,watermelon,/ˈwɑtɚˌmɛlən/,I bought a delicious watermelon from the grocery store.,,
12,pear,/pɛr/,A juicy pear is a refreshing treat on a hot summer day.,,
13,pineapple,/ˈpaɪˌnæpəl/,Drinking pineapple juice is a tasty way to boost your immune system.,,
14,mango,/ˈmæŋˌɡoʊ/,Creating a homemade face mask using mango can be a cost-effective option for skincare.,,
15,kiwi,/ˈkiːˌwiː/,"He's allergic to kiwi, so we have to find a different fruit for the dessert.",,
16,avocado,/ˌævəˈkɑdoʊ/,An avocado turns brown quickly once cut due to oxidation.,,
17,grapefruit,/ˈɡreɪpˌfruːt/,"During my beach vacations, I always pack a juicy grapefruit in my backpack.",,
18,rose,/roʊz/,Be careful when picking a rose because of its sharp thorns.,,
19,lily,/ˈlɪli/,I received a bouquet of pink lilies for my birthday.,,
20,orchid,/ˈɔrˌkɪd/,A wild orchid garden is a major attraction at the nature reserve.,,
21,sunflower,/ˈsʌnˌflaʊɚ/,He bought a sunflower plant to brighten up his balcony.,,
22,cactus,/ˈkæktəs/,A cactus can live for many years with proper care.,,
23,nut,/nʌt/,Almonds are a type of nut that's high in healthy fats and protein.,,
24,peanut,/ˈpiːˌnʌt/,I couldn't resist buying a bag of freshly roasted peanuts from the street vendor.,,
25,walnut,/ˈwɔlˌnʌt/,He bought a bag of shelled walnuts for a more convenient snack.,,
26,hazelnut,/ˈheɪzəlˌnʌt/,My aunt makes a homemade hazelnut liqueur that's really tasty.,,
27,almond,/ˈɑːlˌmənd/,The monkey skillfully plucked the almonds from the tree.,,
28,pecan,/pɪˈkæn/,He gathered a handful of pecans from the ground.,,
29,hard,/hɑrd/,She prefers hard cheese like cheddar over soft cheese.,,
30,soft,/sɑft/,He wore a soft woolen scarf around his neck to stay warm.,,
31,to smell,/smɛl/,The flowers in the garden smell especially fragrant in the morning.,,
