order,word,phonetic,example,note,definition_en
1,monsoon,/mɑnˈsun/,Farmers eagerly anticipate the monsoon season as it brings much-needed rainfall to replenish parched fields and ensure a successful harvest.,,
2,precipitation,/pɹɪˌsɪpɪˈteɪʃən/,The weather forecast predicts heavy precipitation tomorrow.,,
3,dew,/ˈdu/,"The morning dew glistened on the grass, sparkling like diamonds in the early sunlight.",,
4,isobar,/ˈaɪsəbˌɑːɹ/,The meteorologist drew isobars to predict wind patterns.,,
5,beaufort scale,/bˈoʊfɔːɹt skˈeɪl/,"Sailors on the ship estimated the wind strength using the Beaufort Scale, observing the sea conditions and movement of waves.",,
6,sleet,/ˈsɫit/,The weather forecast predicts a mix of rain and sleet tomorrow morning.,,
7,whiteout,/wˈaɪɾaʊt/,"During the whiteout, it was nearly impossible to distinguish the road from the surrounding fields.",,
8,chinook,"/ˌtʃɪˈnʊk/, /ʃɪˈnʊk/","The temperature soared unexpectedly as a chinook wind swept through the region, melting the snow rapidly.",,
9,gust,/ˈɡəst/,"A sudden gust of wind rattled the windows, causing the curtains to billow into the room.",,
10,slush,/ˈsɫəʃ/,The streets turned into slush after the snow started to melt in the warmer weather.,,
11,squall,/ˈskwɔɫ/,"The sailors encountered a squall while navigating the open sea, testing their seamanship skills.",,
12,flash flood,/flˈæʃ flˈʌd/,"The desert experienced a flash flood after a torrential downpour, transforming dry riverbeds into rushing streams.",,
13,sunburst,/ˈsʌnbɝːst/,"The morning mist cleared, revealing a spectacular sunburst that illuminated the landscape.",,
14,anticyclone,/ˌæntiˈsaɪˌkɫoʊn/,"The anticyclone settled over the region, bringing clear skies and warm temperatures for the weekend.",,
15,bluster,/ˈbɫəstɝ/,"The weather report warned of a bluster expected to sweep through the region, bringing strong winds and unsettled conditions.",,
16,balmy,/ˈbɑmi/,"The balmy breeze rustled the leaves, bringing a sense of tranquility to the garden.",,
17,sweltering,/ˈswɛɫtɝɪŋ/,The sweltering heat made it feel like an oven outside.,,
18,torrid,/ˈtɔɹəd/,"The desert experienced torrid temperatures, reaching well above 100 degrees Fahrenheit.",,
19,sizzling,"/ˈsɪzəɫɪŋ/, /ˈsɪzɫɪŋ/",The sizzling bacon in the pan filled the kitchen with a tempting aroma.,,
20,parching,/pˈɑːɹtʃɪŋ/,"The parching desert sun quickly dried out any moisture, leaving the landscape cracked and barren.",,
21,flaming,/ˈfɫeɪmɪŋ/,"The firefighters battled the flaming inferno, working tirelessly to contain the blaze and protect nearby homes.",,
22,lukewarm,/ˈɫuˈkwɔɹm/,"She took a sip of the lukewarm tea, finding it just right for her taste.",,
23,muggy,/ˈməɡi/,"The city experienced a muggy afternoon with high humidity levels, prompting residents to seek relief indoors.",,
24,nippy,/ˈnɪpi/,"The morning air was nippy, signaling the arrival of fall.",,
25,arctic,"/ˈɑɹktɪk/, /ˈɑɹtɪk/","The arctic winds howled outside, rattling the windows and chilling the room to bone-chilling temperatures.",,
26,glacial,/ˈɡɫeɪʃəɫ/,"Walking outside without a coat, he immediately regretted his decision as the glacial air bit at his skin.",,
27,algid,/ˈældʒɪd/,"The algid wind swept through the mountain pass, causing an immediate drop in temperature.",,
