order,word,phonetic,example,note,definition_en
1,deed,/ˈdid/,His heroic deed saved several lives during the disaster.,,
2,attempted,/əˈtɛmptɪd/,The police investigated an attempted robbery at the bank.,,
3,big,/bɪɡ/,Starting a new business is a big endeavor that often takes years to become profitable.,,
4,desperate,"/ˈdɛspɝɪt/, /ˈdɛspɹɪt/",Her eyes looked desperate after hearing the bad news.,,
5,failed,/ˈfeɪɫd/,The failed attempt to rescue the hostages led to further complications.,,
6,fatal,/ˈfeɪtəl/,Ignoring basic safety protocols can have fatal consequences in hazardous work environments.,,
7,problematic,/ˌpɹɑbɫəˈmætɪk/,The weather conditions were problematic for the hikers trying to reach the summit.,,
8,unambitious,/ʌnæmbˈɪʃəs/,She felt unambitious compared to her driven peers.,,
9,badly,/ˈbædli/,He performed badly on the exam.,,
10,hopeless,/ˈhoʊpɫəs/,"After losing everything in the fire, they felt hopeless about rebuilding their lives.",,
11,loser,/ˈluːzɚ/,He still lives with his parents at thirty – what a loser.,,
12,to address,"/ˈædˌrɛs/, /əˈdrɛs/",The company needs to address the issue of employee turnover.,,
13,to battle,/ˈbætl/,She battled through the challenges to achieve her career goals.,,
14,to bear,/bɛr/,She had to bear the presence of her annoying coworker throughout the project.,,
15,to comfort,/ˈkəmfɝt/,Friends gathered to comfort her after the loss of a loved one.,,
16,to confront,/kənˈfɹənt/,The manager decided to confront the team's productivity issues and implement new strategies.,,
17,loss,/ˈɫɔs/,The loss of her keys caused her to be late.,,
18,to fulfill,/fʊɫˈfɪɫ/,She fulfilled her childhood dream of traveling to exotic places by becoming a travel blogger.,,
19,to gain,/ˈɡeɪn/,He gained the knowledge necessary to excel in his field through extensive research.,,
20,to handle,/ˈhændəɫ/,The experienced manager handles challenging projects with ease.,,
21,to obtain,/əbˈteɪn/,She obtains a new book from the library every week.,,
22,to overcome,/ˌoʊvɚˈkʌm/,She overcame her rivals in the final match to win the tournament.,,
23,to ruin,"/ˈɹuən/, /ˈɹuɪn/",The flood had the power to ruin the foundation of the house.,,
24,optimism,/ˈɑptəˌmɪzəm/,"Despite the challenges, her optimism helped her stay focused and driven toward her goals.",,
25,optimist,/ˈɑptəmɪst/,The optimist always believes that everything will work out in the end.,,
26,pessimism,/ˈpɛsəˌmɪzəm/,His pessimism about the project affected the team's morale.,,
27,pessimist,/ˈpɛsəməst/,The pessimist always believes things will go wrong.,,
28,to reach,/riːʧ/,In the end we reached a compromise.,,
29,to resolve,/rɪˈzɑlv/,The couple attended counseling to resolve their marital conflicts.,,
30,struggle,/ˈstɹəɡəɫ/,The prisoner's struggle to break free from his chains showed his determination to escape.,,
31,to struggle,/ˈstɹəɡəɫ/,"He struggled to lift the heavy box onto the shelf, but with determination, he eventually succeeded.",,
32,to let down,/lˈɛt dˈaʊn/,"The speaker's uninspiring presentation let down the audience, who had gathered with anticipation for an engaging and informative event.",,
33,to [go|get] nowhere,/ɡɛt nˈoʊwɛɹ/,All nothing but futile attempts that went nowhere.,,
34,presentation,/ˌpɹɛzənˈteɪʃən/,The presentation of the award took place at the annual gala.,,
35,chance,/ˈtʃæns/,She had a chance to meet the author at the book signing.,,
36,fault,/fɑlt/,The company accepted fault for the data breach and promised to enhance their security measures.,,
37,duty,"/ˈdjuti/, /ˈduti/",It is her duty to ensure the safety of all the employees.,,
38,target,/ˈtɑrɡɪt/,She set a target to save a certain amount of money by the end of the year.,,
39,determination,/dɪˌtɝməˈneɪʃən/,Her determination helped her complete the marathon despite the challenges.,,
40,to disappoint,/ˌdɪsəˈpɔɪnt/,The movie's ending disappointed many viewers.,,
41,to give up on,/ɡˈɪv ˌʌp ˈɑːn/,She felt like her friends had given up on her during her difficult times.,,
42,rewarding,"/ɹiˈwɔɹdɪŋ/, /ɹɪˈwɔɹdɪŋ/","Teaching can be a rewarding profession, as educators witness the growth of their students.",,
43,weakness,/ˈwiknəs/,The team's weakness was exposed during the final match.,,
