order,word,phonetic,example,note,definition_en
1,armada,/ɑɹˈmɑdə/,The Spanish armada sailed in 1588 to invade England.,,
2,armistice,/ˈɑɹməstəs/,The warring nations signed an armistice agreeing to a one-month ceasefire to allow humanitarian aid delivery and prisoner exchanges.,,
3,mercenary,/ˈmɝsəˌnɛɹi/,The army hired mercenaries to bolster its forces during the conflict in the region.,,
4,barricade,"/ˈbæɹəˌkeɪd/, /ˈbɛɹəˌkeɪd/",Soldiers hastily constructed barricades using sandbags to fortify their positions against advancing enemy troops.,,
5,battalion,/bəˈtæɫjən/,The battalion coordinated with other units for the large-scale exercise.,,
6,platoon,/pɫəˈtun/,The battalion consists of several platoons.,,
7,espionage,/ˈɛspiənɑdʒ/,The spy engaged in espionage activities to uncover sensitive military plans of the opposing nation.,,
8,coup d'etat,/kˈuːp dˈɛɾæt/,The coup d'état led to the ousting of the country's president and the establishment of military rule.,,
9,onslaught,/ˈɔnˌsɫɔt/,"The army launched a relentless onslaught against enemy positions, pushing them back and gaining ground.",,
10,armament,/ˈɑɹməmənt/,"The country invested heavily in modernizing its armament, acquiring advanced missile defense systems and fighter jets.",,
11,arsenal,/ˈɑɹsənəɫ/,The naval arsenal was attacked during the war.,,
12,deterrent,/dɪˈtɝɹənt/,Nuclear weapons serve as a deterrent against potential nuclear attacks.,,
13,ammunition,/ˌæmjəˈnɪʃən/,Soldiers checked their ammunition before the battle.,,
14,catapult,/ˈkætəˌpəɫt/,Medieval siege engineers designed ever larger catapults capable of hurling massive projectiles to bring down fortification towers.,,
15,bazooka,/bəˈzukə/,The infantry squad carried a bazooka to counter potential armored threats on the battlefield.,,
16,shrapnel,/ˈʃɹæpnəɫ/,"The blast sent shrapnel flying in all directions, causing injuries to nearby civilians.",,
17,musket,/ˈməskət/,The musket was a standard infantry weapon during the American Revolutionary War.,,
18,mortar,/ˈmɔɹtɝ/,The soldiers set up a mortar to provide fire support for advancing infantry units.,,
19,air raid,/ˈɛɹ ɹˈeɪd/,The air raid sirens wailed as citizens rushed to seek shelter during the bombing.,,
20,bridgehead,/ˈbrɪdʒˌhed/,The army established a bridgehead on the far side of the river.,,
21,evacuee,"/iˈvækjui/, /ɪˈvækjui/",The evacuees were transported to temporary shelters after their homes were destroyed by the hurricane.,,
22,garrison,/ˈɡæɹɪsən/,The castle served as a garrison for the king's soldiers.,,
23,to blitz,/ˈbɫɪts/,"The military commanders decided to blitz the enemy's positions, hoping to catch them off guard.",,
24,to pillage,/ˈpɪɫɪdʒ/,"The invading army was condemned for its actions as it began to pillage villages, leaving destruction in its wake.",,
25,to lance,/ˈɫæns/,The knight skillfully lanced his opponent during the jousting competition.,,
26,to plunder,/ˈpɫəndɝ/,"During the invasion, the army decided to plunder the enemy's resources.",,
27,to strafe,/ˈstɹeɪf/,"As the ground forces advanced, air support was called in to strafe the opposing troops, disrupting their formation.",,
28,to outflank,/ˈaʊtˌfɫæŋk/,"The general devised a plan to outflank the enemy, sending a contingent of troops to attack from the rear.",,
29,to vanquish,/ˈvæŋkwɪʃ/,The mighty army sought to vanquish the opposing forces and secure dominance over the region.,,
30,siege,/ˈsidʒ/,"The city endured a prolonged siege as enemy forces surrounded it, cutting off all supply routes.",,
31,to retaliate,"/ɹiˈtæɫiˌeɪt/, /ɹɪˈtæɫiˌeɪt/","When betrayed by a close friend, she resisted the urge to retaliate the injury.",,
