order,word,phonetic,example,note,definition_en
1,to be,/biː/,Is there a solution to this complex problem?,,
2,to wake up,/ˈweɪk ˈʌp/,I remind her to wake up early for her flight tomorrow.,,
3,to sleep,/sliːp/,"After a long day of work, I like to relax and sleep to recharge my energy.",,
4,to work,/wɝːk/,Both of my siblings work full-time jobs.,,
5,to drive,/draɪv/,You should drive with both hands on the steering wheel.,,
6,to buy,/baɪ/,I need to buy groceries for dinner tonight.,,
7,to sell,/sɛl/,Are you planning to sell your house in the near future?,,
8,to read,/riːd/,I can read this book easily.,,
9,to write,/raɪt/,Can you write your address on this form?,,
10,to play,/pleɪ/,A group of kids were playing tag in the park.,,
11,to pay,/peɪ/,She paid the repairman to fix her broken dishwasher.,,
12,to rest,/rɛst/,"After a long day at work, I like to rest on the couch and watch TV.",,
13,to wash,"/wɑːʃ/ , /wɒʃ/",I always wash my hands before eating.,,
14,to drink,/drɪŋk/,"He prefers to drink hot chocolate in the winter, not in the summer.",,
15,to cook,/kʊk/,I love to cook scrambled eggs with cheese for breakfast.,,
16,to eat,/iːt/,They enjoy eating pizza on Friday nights.,,
17,to have,/hæv/,Let's have breakfast together before we start our day.,,
18,to make,/meɪk/,The students will make a model of the solar system for the science fair.,,
19,to wear,/wɛr/,She decided to wear a beautiful dress to the party.,,
20,to clean,/kliːn/,I need to clean my glasses; they are dirty.,,
21,to think,/θɪŋk/,He thinks that the restaurant serves the best pizza in town.,,
22,to take,/teɪk/,He took the cup of coffee from the table and sipped it slowly.,,
23,to stand,/stænd/,He likes to stand on the balcony to feel the breeze.,,
24,to speak,/spiːk/,He spoke about his experiences during the meeting.,,
25,to spell,/spɛl/,"He struggles to spell the word ""restaurant"" correctly.",,
26,to dislike,/dɪsˈlaɪk/,He dislikes cold weather; he prefers warmer climates.,,
27,to add,/æd/,An extra paragraph was added to the report for additional information.,,
28,to call,/kɔːl/,Do you know anyone called Emily?,,
29,to create,/kriˈeɪt/,Many entrepreneurs aspire to create successful businesses.,,
30,to cut,/kʌt/,I cut the paper with scissors to make a snowflake.,,
