order,word,phonetic,example,note,definition_en
1,to hear,/hɪr/,I heard footsteps behind me and quickly turned around.,,
2,to listen,/ˈlɪsən/,"Listen closely, and you can hear the birds singing in the trees.",,
3,to see,/siː/,Did you see that shooting star just now?,,
4,to look,/lʊk/,He looked at his watch to check the time.,,
5,to watch,/wɑːtʃ/,He sat on the park bench and watched the sunset.,,
6,to touch,/tʌtʃ/,Please don't touch the fragile glass display.,,
7,to feel,/fiːl/,"After watching the emotional movie, he felt sad for hours.",,
8,to talk,/tɑːk/,He talked to his friend about his recent breakup.,,
9,to call,/kɔːl/,Can you call me back in ten minutes?,,
10,to like,/laɪk/,He doesn't like the feeling of being rushed.,,
11,to love,/lʌv/,"He loves his dog, Max, and takes him for long walks every day.",,
12,to hate,/heɪt/,Can you please stop making that noise? I hate it.,,
13,to know,/noʊ/,Do you know where the nearest gas station is?,,
14,to learn,/lɝːn/,He learned valuable negotiation skills by watching experienced negotiators in action,,
15,to ask,/æsk/,Can you ask him if he'll be at the meeting tomorrow?,,
16,to study,/ˈstʌdi/,She spends hours every day to study for her upcoming exams.,,
17,to teach,/tiːtʃ/,She teaches yoga to promote health and well-being.,,
18,to need,/niːd/,Do you need any help with your project?,,
19,to want,/wɑːnt/,He wants to go to the beach.,,
20,to share,/ʃɛr/,The couple plans to share a bank account after marriage.,,
21,to put,/pʊt/,Did she put the flowers in the vase?,,
22,to prepare,/prɪˈpɛr/,He prepares his outfit the night before to save time in the morning.,,
23,to plan,/plæn/,They planned the trip months in advance to ensure everything was in place.,,
24,to explain,/ɪkˈspleɪn/,He explained the plot of the movie to his friend who hadn't seen it.,,
25,to fill,/fɪl/,He filled the bucket with sand to build a sandcastle.,,
26,to fly,/flaɪ/,Birds can fly freely in the sky.,,
27,to get,/ɡɛt/,She got ready for the interview by researching the company.,,
28,to become,/bɪˈkʌm/,He's training to become a pilot at a flight school.,,
