order,word,phonetic,example,note,definition_en
1,measurement,,,,
2,to measure,,,,
3,quality,,,,
4,quantity,,,,
5,to increase,,,,
6,to decrease,,,,
7,unit,,,,
8,degree,,,,
9,meter,,,,
10,centimeter,,,,
11,millimeter,,,,
12,kilometer,,,,
13,gram,,,,
14,metric ton,,,,
15,milligram,,,,
16,liter,,,,
17,milliliter,,,,
18,foot,,,,
19,mile,,,,
20,pound,,,,
21,width,,,,
22,depth,,,,
23,length,,,,
24,height,,,,
25,weight,,,,
26,size,,,,
27,large,,,,
28,medium,,,,
29,long,,,,
30,thin,,,,
31,wide,,,,
32,narrow,,,,
33,thick,,,,
34,yard,,,,
35,amount,,,,
36,close,,,,
37,average,,,,
