order,word,phonetic,example,note,definition_en
1,to figure,/ˈfɪgər/,"I figure she'll arrive around 6 PM, given the usual traffic.",,
2,to justify,/ˈdʒəstəˌfaɪ/,"She had to justify her choice to pursue a career in the arts to her parents, emphasizing her passion and long-term goals.",,
3,in the first place,/ɪnðə fˈɜːstplˌeɪs/,"I don't want to go in the first place, I'm tired, and secondly, I can't afford it.",,
4,to object,"/ˈɑbdʒɛkt/, /əbˈdʒɛkt/",She objected that the new rule would unfairly penalize part-time employees.,,
5,objective,/əbˈdʒɛktɪv/,"The journalist strived to provide an objective report, presenting the facts without bias.",,
6,subjective,/səbˈdʒɛktɪv/,"The art critic's review was subjective, reflecting her personal taste rather than objective analysis.",,
7,to maintain,/meɪnˈteɪn/,She maintains that her interpretation of the data is correct despite the opposition.,,
8,may,/meɪ/,"It may not be perfect, yet it still represents a significant improvement.",,
9,to name,/neɪm/,"During the presentation, she named each member of the project team and their contributions.",,
10,to oppose,/əˈpoʊz/,The local residents opposed the construction of the new factory due to environmental concerns.,,
11,opposed,/əˈpoʊzd/,The community members were opposed to the construction of the new highway through their neighborhood due to concerns about increased traffic and noise pollution.,,
12,to praise,/ˈpɹeɪz/,The teacher praised the student for their outstanding performance on the challenging assignment.,,
13,to reckon,/ˈɹɛkən/,He reckoned that the project would take longer than anticipated.,,
14,to regard,/ɹɪˈɡɑɹd/,She regards her colleagues as valuable contributors to the team.,,
15,to remark,"/ɹiˈmɑɹk/, /ɹɪˈmɑɹk/","After tasting the dish, she couldn't help but remark on the chef's exceptional culinary skills.",,
16,to speculate,/ˈspɛkjəˌɫeɪt/,"Observing the unusual behavior, scientists began to speculate about the potential causes of the phenomenon.",,
17,speculation,/ˌspɛkjəˈɫeɪʃən/,The stock market is often influenced by speculation about future trends.,,
18,stance,/ˈstæns/,The politician clarified her stance on climate policy.,,
19,to stand,/stænd/,He firmly stands against animal cruelty.,,
20,to sum up,/sʌm ʌp/,It's impossible to sum someone up based on one interaction.,,
21,misunderstanding,/ˌmɪsəndɝˈstændɪŋ/,The message was lost due to a simple misunderstanding.,,
22,perception,/pɝˈsɛpʃən/,Her perception of the artwork changed after learning about the artist's background.,,
23,position,/pəˈzɪʃən/,His position contrasted sharply with the majority opinion.,,
24,proof,/ˈpɹuf/,The scientist conducted proof of the new method.,,
25,public opinion,/pˈʌblɪk əpˈɪniən/,Politicians often shape their policies based on public opinion to ensure they align with voters' preferences.,,
26,reason,/ˈrizən/,She used reason to analyze the situation before making a decision.,,
27,remark,"/ɹiˈmɑɹk/, /ɹɪˈmɑɹk/",She made a thoughtful remark about the importance of teamwork.,,
28,reputation,/ˌɹɛpjəˈteɪʃən/,The company worked hard to build a reputation for excellent customer service.,,
29,right,/raɪt/,"""We should start the meeting now."" ""Right, let's get going.""",,
30,side,/saɪd/,Each side presented their arguments during the debate.,,
31,while,/waɪl/,He didn't want to risk his reputation by being associated with the controversial project.,,
32,to sign,/saɪn/,"She signs fluently, allowing her to communicate effectively with the deaf community.",,
33,in opposition to {sb/sth},/ɪn ˌɑːpəzˈɪʃən tʊ ˌɛsbˈiː slˈæʃ ˌɛstˌiːˈeɪtʃ/,They marched in opposition to the new law.,,
34,likewise,/ˈɫaɪˌkwaɪz/,Likewise! It was really entertaining.,,
35,judgment,/ˈdʒədʒmənt/,Her judgment about the project's potential risks was highly valued by the team.,,
