order,word,phonetic,example,note,definition_en
1,alligator,/ˈælɪˌɡeɪtɚ/,"The alligator basked in the sun on the riverbank, its formidable jaws slightly ajar.",,
2,ant,/ænt/,The industrious ant tirelessly carried bits of food back to its nest.,,
3,bat,/bæt/,"At dusk, bats emerged from their roosts to hunt insects in the night sky.",,
4,rat,/ræt/,"The rat scurried along the alley, searching for scraps of food.",,
5,wolf,/wʊlf/,"The gray wolf, known for its distinctive howls, is a symbol of the wild.",,
6,turtle,/ˈtɝtəl/,"The turtle basked lazily on a sun-warmed rock, its shell gleaming in the sunlight.",,
7,goldfish,/ˈɡoʊldˌfɪʃ/,"The goldfish swam gracefully through the crystal-clear water of the aquarium, its scales shimmering in the light.",,
8,bull,/bʊl/,"The bull pawed at the ground, its breath steaming in the cold air, ready to charge.",,
9,chimpanzee,/ˌʧɪmpænˈziː/,"The chimpanzee groomed its companion, carefully picking through its fur with nimble fingers.",,
10,donkey,"/ˈdɑŋki/ , /ˈdɔŋki/",The farmer relied on his sturdy donkey to carry heavy loads from the fields.,,
11,giraffe,/ʤəˈræf/,The giraffe gracefully stretched its long neck to reach the tender leaves at the top of the tree.,,
12,gorilla,/ɡəˈrɪlə/,"The gorilla sat calmly, observing its surroundings with a wise expression in its eyes.",,
13,rooster,/ˈruːstɚ/,"The rooster proudly strutted around the farmyard, its vibrant plumage catching the sunlight.",,
14,kangaroo,/ˌkæŋɡəˈruː/,"The kangaroo bounded effortlessly across the Australian outback, its powerful legs propelling it forward.",,
15,snail,/sneɪl/,"The snail crept slowly along the damp forest floor, leaving a glistening trail behind.",,
16,lizard,/ˈlɪzɚd/,"The lizard basked in the sun, its scales shimmering with iridescence.",,
17,guinea pig,/ˈɡɪni pɪɡ/,He cleaned the guinea pig’s cage every week.,,
18,octopus,/ˈɑktəˌpʊs/,"The octopus gracefully glided through the water, its tentacles trailing behind like delicate ribbons.",,
19,salmon,/ˈsæmən/,"The salmon leaped out of the rushing river, its scales flashing silver in the sunlight.",,
20,lobster,/ˈlɑːbstɚ/,"Fishermen set out traps to catch lobsters, hauling in their bounty from the depths of the ocean.",,
21,swan,/swɑn/,"The swan glided serenely across the calm surface of the lake, its reflection shimmering in the water.",,
22,cobra,/ˈkoʊbrə/,The cobra raised its hood and hissed as a warning to stay away.,,
23,raccoon,"/ræˈkun/ , /rəˈkun/","The raccoon rummaged through the trash cans, searching for scraps of food under the cover of darkness.",,
24,zebra,/ˈzibrə/,"The zebra grazed peacefully on the savanna, its striking stripes blending with the tall grass.",,
25,seal,/siːl/,"The seal lounged lazily on the rocky shore, basking in the warm sunlight.",,
26,porcupine,/ˈpɔrkjuˌpaɪn/,"The porcupine cautiously ventured out of its den, its quills bristling at the slightest hint of danger.",,
27,turkey,/ˈtɝki/,"The turkey strutted proudly around the farmyard, puffing out its feathers to impress the hens.",,
28,goose,/ɡuːs/,"The goose waddled gracefully along the edge of the pond, its honks echoing across the water.",,
29,crow,/kroʊ/,"The crow perched on a tree branch, its glossy black feathers catching the sunlight.",,
30,pigeon,/ˈpɪʤən/,"The pigeon strutted confidently along the sidewalk, pecking at scraps of food left by passersby.",,
31,cricket,/ˈkrɪkɪt/,"The cricket's chirping filled the evening air, signaling the arrival of dusk.",,
32,creature,/ˈkriːʧɚ/,"The forest was teeming with creatures of all shapes and sizes, from tiny insects to large mammals.",,
33,to bite,/baɪt/,The dog warned the intruder by growling before attempting to bite.,,
34,trap,/træp/,The hunter set a trap near the river.,,
35,bull shark,/ˈbʊl ˌʃɑrk/,"The bull shark prowled the murky waters of the river, its powerful body cutting through the current.",,
36,shellfish,/ˈʃɛlˌfɪʃ/,"The fishermen returned with a haul of shellfish, including oysters, mussels, and crabs, from their morning catch.",,
