order,word,phonetic,example,note,definition_en
1,sublease,/ˈsəˌbɫis/,The sublease allowed the tenant to temporarily rent out their apartment to another party while they were away on sabbatical.,,
2,abode,/əˈboʊd/,They invited us to their humble abode for dinner.,,
3,conservatory,/kənˈsɝvətɔɹi/,"The conservatory attached to their home was a tranquil oasis, filled with lush greenery and bathed in sunlight, perfect for enjoying a cup of tea and a good book.",,
4,tenement,/ˈtɛnəmənt/,The family moved into a tenement near downtown.,,
5,deed,/ˈdid/,"The deed to the house was carefully stored in a safe deposit box, serving as evidence of the homeowner's legal ownership.",,
6,quarters,/ˈkwɔɹtɝz/,The soldiers resided in barracks quarters on the base.,,
7,dwelling,/ˈdwɛɫɪŋ/,The old stone dwelling at the edge of the village has stood for over a century.,,
8,homestead,/ˈhoʊmˌstɛd/,The family returned to their homestead after the harvest.,,
9,chateau,/ʃæˈtoʊ/,"The grand chateau stood atop a hill, overlooking sprawling vineyards and offering breathtaking views of the countryside.",,
10,domicile,/dˈɑːmɪsˌaɪl/,They returned to their domicile after a long vacation.,,
11,hearth,/ˈhɑɹθ/,"Logs crackled in the hearth, warming the room.",,
12,haven,/ˈheɪvən/,"The remote island served as a haven for endangered wildlife, providing sanctuary for species at risk of extinction.",,
13,habitation,/ˌhæbəˈteɪʃən/,The settlers built a new habitation near the lake.,,
14,hovel,/ˈhəvəɫ/,"The old man lived in a dilapidated hovel at the edge of the village, barely protected from the elements.",,
15,pied-a-terre,/pˈaɪdɐtˈɛr/,"The couple maintained a small pied-à-terre in the city, using it as a convenient base for weekend getaways.",,
16,lodgings,/ˈɫɑdʒɪŋz/,We found comfortable lodgings for the weekend getaway.,,
17,shanty,/ˈʃænti/,The fisherman lived in a wooden shanty by the riverbank.,,
18,gazebo,/ɡɐzˈiːboʊ/,The couple exchanged their wedding vows under a beautifully decorated gazebo in the garden.,,
19,lean-to,/lˈiːn tuː/,The hikers built a simple lean-to with branches and leaves to protect themselves from the unexpected rain.,,
20,barracks,"/ˈbæɹəks/, /ˈbɛɹəks/","The soldiers were assigned to newly built barracks, which provided much better living conditions than the old ones.",,
21,yurt,/ˈjʊɹt/,"The nomadic family moved their yurt to a new location, following the seasonal migration of their livestock.",,
22,belvedere,"/ˌbɛɫvəˈdɪɹ/, /ˌbɛɫvɪˈdɪɹ/","From the belvedere on the hill, they could see the entire valley spread out below them in breathtaking detail.",,
23,adobe house,/ɐdˈoʊbi hˈaʊs/,"The adobe house, with its thick earthen walls, stayed cool during the hot summer days and warm during the cold nights.",,
24,cabana,/kəˈbænə/,"The resort's cabanas lined the poolside, offering guests a private retreat to relax in the shade.",,
25,ranch house,/ɹˈæntʃ hˈaʊs/,"The ranch house sat nestled among rolling hills, its wide veranda offering sweeping views of the countryside.",,
26,infill,/ˈɪnfɪl/,"The infill strategy aimed to promote denser, more sustainable urban growth.",,
27,gentrification,/ˌdʒɛntɹɪfɪˈkeɪʃən/,Gentrification brought new cafes and shops to our neighborhood.,,
28,slumlord,/slˈʌmlɔːɹd/,"The city cracked down on slumlords who neglected their properties, leaving tenants living in squalor.",,
29,parlour,/ˈpɑɹɫɝ/,"The elegant parlour was adorned with plush furniture and fine artwork, creating a sophisticated atmosphere for hosting guests.",,
