order,word,phonetic,example,note,definition_en
1,melancholy,/ˈmɛɫənˌkɑɫi/,She couldn't shake off the melancholy that lingered after saying goodbye to her childhood home.,,
2,despondency,/dɪˈspɑndənsi/,"In the depths of his despondency, he struggled to find a reason to get out of bed each morning.",,
3,inhibition,"/ˌɪnəˈbɪʃən/, /ˌɪnhəˈbɪʃən/",His fear of public speaking created a strong inhibition that made it challenging for him to address large audiences.,,
4,dejection,/dɪdʒˈɛkʃən/,"The loss in the final match was evident in the players' faces, displaying a collective sense of dejection.",,
5,desperation,"/ˌdɛspɝˈeɪʃən/, /ˌdɛspɝˈeɪʃɪn/","The refugees crossed the border in a state of desperation, seeking safety from the conflict in their homeland.",,
6,composure,/kəmˈpoʊʒɝ/,"Even in the face of adversity, she maintained her composure and approached the situation with a level head.",,
7,awe,"/ˈɑ/, /ˈɔ/",The talented musician's performance left the audience in awe of his skill and artistry.,,
8,exuberance,/ɪɡˈzubɝəns/,The children's exuberance was evident as they played and laughed in the park.,,
9,radiance,"/ˈɹeɪˌdiəns/, /ˈɹeɪdjəns/",Regular exercise and laughter kept her radiance undimmed well into her senior years.,,
10,mirth,/ˈmɝθ/,The children's faces lit up with mirth as they played games and enjoyed the party.,,
11,blissfulness,/blˈɪsfəlnəs/,"The newlyweds basked in the blissfulness of their honeymoon, surrounded by love and happiness.",,
12,enchantment,/ɛnˈtʃæntmənt/,The audience watched in enchantment as the ballet unfolded.,,
13,elation,/ɪˈɫeɪʃən/,She felt a surge of elation after hearing the good news.,,
14,ecstasy,/ˈɛkstəsi/,"The breathtaking sunset over the ocean filled her with a sense of ecstasy, as she marveled at the beauty of nature.",,
15,bliss,/ˈbɫɪs/,"Lounging in a hammock on a sunny beach, he experienced a profound sense of bliss as the waves gently lapped at the shore.",,
16,jubilation,/ˌdʒubəˈɫeɪʃən/,She felt jubilation at passing the final exam.,,
17,exhilaration,/ɪɡˌzɪɫɝˈeɪʃən/,The roller coaster ride provided an exhilaration that left the riders with a rush of adrenaline and laughter.,,
18,euphoria,/juˈfɔɹiə/,The euphoria of winning the championship was overwhelming.,,
19,rapture,/ˈɹæptʃɝ/,"As they exchanged vows, a wave of rapture washed over the couple, realizing the depth of their commitment to each other.",,
20,glee,/ˈɡɫi/,The children's faces lit up with glee as they opened their presents on Christmas morning.,,
21,zeal,/ˈziɫ/,The teacher's zeal for education inspired her students to pursue knowledge and excel in their studies.,,
22,ennui,/ɑnˈwi/,"She sighed with ennui as she stared at the clock, waiting for the workday to end.",,
23,apathy,/ˈæpəθi/,The student's apathy towards his studies was evident in his consistently low grades.,,
24,trepidation,/ˌtɹɛpɪˈdeɪʃən/,"As the deadline approached, she felt a sense of trepidation about the upcoming exam.",,
25,ambivalence,/æmˈbɪvəɫəns/,"The announcement of the policy change was met with ambivalence by the employees, who saw both pros and cons.",,
26,languor,/lˈæŋɡjuːɚ/,The soft melodies of the harp filled the room with a sense of languor that made everyone feel at peace.,,
27,disquietude,/dɪskwˈaɪəɾuːd/,She felt a deep disquietude before giving her speech.,,
28,equanimity,/ˌikwəˈnɪmɪti/,"Through years of meditation practice, she had cultivated great equanimity and could face challenges with a calm and steady mind.",,
29,vexation,/vɛksˈeɪʃən/,Her constant lateness was a source of vexation to the team.,,
30,chagrin,/ʃəˈɡɹɪn/,His chagrin was palpable when he realized he had forgotten his lines during the play.,,
