order,word,phonetic,example,note,definition_en
1,to ask for,/ˈæsk fɔːɹ/,I'll ask for the CEO when I call the corporate office to discuss the partnership proposal.,,
2,to back down,/bˈæk dˈaʊn/,It's crucial to hold your ground and not back down when defending your principles.,,
3,to believe in,/bɪlˈiːv ˈɪn/,We should all believe in the power of kindness to make the world a better place.,,
4,to bring on,/bɹˈɪŋ ˈɑːn/,Lack of sleep can bring on a range of health problems.,,
5,to bring up,/ˈbrɪŋ ˈʌp/,He brought up the topic of technology during the discussion.,,
6,to call off,/kˈɔːl ˈɔf/,We might need to call off the picnic if it keeps raining.,,
7,to catch up,/kˈætʃ ˈʌp/,"The car accelerated, trying to catch up with the speeding motorcycle.",,
8,to cheer up,/tʃˈɪɹ ˈʌp/,"I've been feeling down, but I noticed I tend to cheer up when the sun is shining.",,
9,to clean up,/klˈiːn ˈʌp/,The custodian worked diligently to clean up the spilled coffee in the office breakroom.,,
10,to come across,/kˈʌm əkɹˈɑːs/,"While cleaning out the attic, I came across an old box of photographs from my childhood.",,
11,to come up,/kˈʌm ˈʌp/,I hope my achievements will come up during the performance review.,,
12,to drop by,/dɹˈɑːp bˈaɪ/,Feel free to drop by my office if you have any questions.,,
13,to eat out,/ˈiːt ˈaʊt/,"On special occasions, the family likes to eat out at their favorite restaurant.",,
14,to end up,/ˈɛnd ˈʌp/,"Despite careful planning, we somehow ended up getting lost in the unfamiliar city.",,
15,to fall apart,/fˈɔːl ɐpˈɑːɹt/,"The neglected house, worn down by years of weathering, finally began to fall apart, with sections of the roof and walls collapsing.",,
16,to figure out,/fˈɪɡjɚɹ ˈaʊt/,"After hours of studying, she finally managed to figure out the complex math problem.",,
17,to fill in,/fˈɪl ˈɪn/,Sarah asked me to fill in for her at the reception desk while she attended a conference for the day.,,
18,to get along,/ɡɛt ɐlˈɑːŋ/,"Despite their differences, they manage to get along and work as a team.",,
19,to give away,/ɡˈɪv ɐwˈeɪ/,She decided to give away her old clothes to a local charity.,,
20,to go over,/ɡˌoʊ ˈoʊvɚ/,Please go over your essay for any grammatical errors before submitting it.,,
21,to hang on,/hˈæŋ ˈɑːn/,The doctor asked the patient to hang on while they reviewed the test results.,,
22,to hang out,/hˈæŋ ˈaʊt/,We're going to hang out at the park this afternoon.,,
23,to leave out,/lˈiːv ˈaʊt/,"The author left out a crucial plot point, leaving readers confused and unsatisfied.",,
24,to make out,/mˌeɪk ˈaʊt/,How did you make out the answer to that riddle?,,
25,to pass away,/pˈæs ɐwˈeɪ/,The community mourned when they heard that the beloved teacher had passed away.,,
26,to put off,/pˌʊt ˈɔf/,We had to put off the meeting because of the storm.,,
27,to rule out,/ɹˈuːl ˈaʊt/,They had to rule the risky investment out because it was too uncertain for their financial plan.,,
28,to see to,/sˈiː tuː/,He will see to the safety regulations before the project begins.,,
29,to show up,/ʃˈoʊ ˈʌp/,The musician showed up for the concert well-prepared and enthusiastic.,,
30,to sort out,/sˈɔːɹt ˈaʊt/,"After the move, she spent the weekend sorting out her belongings in the new apartment.",,
31,to throw away,/θɹˈoʊ ɐwˈeɪ/,I will throw away the old magazines cluttering the living room.,,
32,to turn down,/ˈtɝn ˈdaʊn/,She turned the job offer down due to conflicting commitments.,,
33,to put in,/pˌʊt ˈɪn/,"He constantly puts in with jokes, even when the conversation is serious.",,
34,to wipe out,/wˈaɪp ˈaʊt/,They wiped the stain out from the carpet using a cleaning solution.,,
35,to pile up,/pˈaɪl ˈʌp/,She piled up the dirty dishes in the sink.,,
36,to put out,/pˌʊt ˈaʊt/,Please put out the campfire before leaving the site.,,
37,to break away,/bɹˈeɪk ɐwˈeɪ/,She managed to break away from her captor and run to safety.,,
38,to root for,/ɹˈuːt fɔːɹ/,She'll root for her favorite soccer team at the match this weekend.,,
39,to come away,/kˈʌm ɐwˈeɪ/,She came away feeling upset.,,
40,to fly into,/flˈaɪ ˌɪntʊ/,"Upon hearing the tragic news, she flew into a fit of uncontrollable tears.",,
41,to stash away,/stˈæʃ ɐwˈeɪ/,The pirate captain stashed away the treasure on a remote island.,,
42,to capitalize on,/kˈæpɪɾəlˌaɪz ˈɑːn/,She capitalized on her experience to get a better paying job.,,
43,to pick up,/ˈpɪk ˈʌp/,Lisa realized she left her keys at the office and had to go back to pick them up before heading home.,,
