order,word,phonetic,example,note,definition_en
1,to felicitate,/fəˈɫɪsɪˌteɪt/,"The team gathered to felicitate their captain on winning the championship, applauding her outstanding leadership.",,
2,to salute,/səˈɫut/,The community gathered to salute the local hero for their selfless acts of kindness.,,
3,to laud,/ˈɫɔd/,Teachers should laud students for their achievements to boost their confidence.,,
4,to revere,/ɹɪˈvɪɹ/,The community members revere the wise elder for their wealth of knowledge and experience.,,
5,to eulogize,/ˈjuɫəˌdʒaɪz/,The teacher was eulogized by her students for her unwavering dedication and commitment to their education.,,
6,to enshrine,/ɛnʃˈɹaɪn/,The constitution enshrines the fundamental rights and freedoms of citizens.,,
7,to venerate,/ˈvɛnɝˌeɪt/,The community venerated the wise elder for her wisdom and guidance.,,
8,to commend,/kəˈmɛnd/,The doctor commended the new treatment to her patients for its effectiveness in managing chronic pain.,,
9,to extol,/ɪkˈstoʊɫ/,The coach took a moment to extol the team's exceptional performance during the championship game.,,
10,to hallow,/ˈhæɫoʊ/,"During the annual festival, the community gathered to hollow the ceremonial objects used in their religious rituals.",,
11,to adulate,/ˈædʒəˌɫeɪt/,The author was adulated by fans for their groundbreaking work in the literary world.,,
12,to commemorate,/kəˈmɛmɝˌeɪt/,The city holds an annual ceremony to commemorate the sacrifices of war veterans.,,
13,to lionize,/ˈɫaɪəˌnaɪz/,"The media tends to lionize celebrities, often putting them on a pedestal regardless of their actual achievements.",,
14,to deify,/ˈdiəˌfaɪ/,"Ancient cultures often deified natural elements, such as the sun and the moon, attributing divine qualities to them.",,
15,to canonize,/ˈkænəˌnaɪz/,"Fans tend to canonize their favorite celebrities, putting them on pedestals.",,
16,homage,"/ˈɑmədʒ/, /ˈhɑmədʒ/",The artist paid homage to Picasso by including some of his signature styles in the new painting.,,
17,veneration,/ˌvɛnɝˈeɪʃən/,People often show veneration toward religious figures like saints and prophets,,
18,commendable,/kəˈmɛndəbəɫ/,Her dedication to charity work is commendable.,,
19,adulation,/ˌædʒəˈɫeɪʃən/,"Despite the adulation from fans and critics alike, the author remained humble, always attributing her success to hard work and dedication.",,
