order,word,phonetic,example,note,definition_en
1,to sue,/suː/,The dissatisfied customer decided to sue the company for breach of contract.,,
2,to acquit,/əˈkwɪt/,"The company was accused of wrongdoing, but after a thorough investigation, they were acquitted of any illegal activities.",,
3,to bail,/beɪl/,"After being arrested, the accused had the option to bail themselves by paying the required bail.",,
4,to condemn,/kənˈdɛm/,The court condemned the serial killer to life imprisonment without the possibility of parole.,,
5,to convict,/kənˈvɪkt/,The jury deliberated and decided to convict the defendant of murder.,,
6,to detain,/dɪˈteɪn/,The immigration officers have the authority to detain individuals entering the country illegally.,,
7,to enforce,/ɪnˈfɔrs/,The police are tasked with enforcing the laws to maintain public order.,,
8,to legislate,/ˈlɛʤɪˌsleɪt/,They are currently legislating new measures to address environmental concerns.,,
9,to prosecute,/ˈprɑsɪˌkjuːt/,The lawyer was hired to prosecute the case on behalf of the victim’s family.,,
10,to testify,/ˈtɛstɪˌfaɪ/,Witnesses are called to testify about what they saw during the accident.,,
11,advocate,/ˈædvəˌkeɪt/,The advocate presented a compelling argument in defense of his client.,,
12,Federal Bureau of Investigation,/fˈɛdɚɹəl bjˈʊɹɹoʊ ʌv ɪnvˌɛstɪɡˈeɪʃən/,The Federal Bureau of Investigation launched an investigation into the high-profile cybercrime case.,,
13,cop,/kɑp/,The cop patrolled the neighborhood to ensure the safety of residents.,,
14,plain-clothes,/ˈpleɪn ˌkloʊðz/,The detectives dressed in plain-clothes to blend in with the crowd during the undercover operation.,,
15,handcuff,/ˈhændˌkʌf/,The police officer placed the suspect's hands in handcuffs after arresting him.,,
16,patrol,/pəˈtroʊl/,The police officer conducted a patrol of the neighborhood to ensure the safety of residents.,,
17,defendant,/dɪˈfɛndənt/,The defendant pleaded not guilty to the charges of theft and fraud.,,
18,juvenile,/ˈʤuːvəˌnaɪl/,The juvenile was sent to a rehabilitation center after being convicted of vandalism.,,
19,magistrate,/ˈmæʤɪˌstreɪt/,"The magistrate presided over the small claims court, resolving disputes between individuals.",,
20,outlaw,/ˈaʊtˌlɑ/,"During the Wild West era, many outlaws sought refuge in remote hideouts to evade law enforcement.",,
21,bond,/bɑnd/,"The judge set the bail bond at $10,000 for the defendant's release from custody.",,
22,court order,/kɔrt ˈɔrdɚ/,The judge issued a court order requiring the company to cease operations until further notice.,,
23,lawsuit,/ˈlɑˌsut/,She filed a lawsuit against the company for wrongful termination.,,
24,hearing,/ˈhɪrɪŋ/,The judge scheduled a hearing to review the evidence presented by both parties.,,
25,custody,/ˈkʌstədi/,The suspect was placed in custody pending a bail hearing.,,
26,declaration,/ˌdɛkləˈreɪʃən/,The parties signed a declaration of intent to formalize their agreement.,,
27,guilt,/ɡɪlt/,He confessed his guilt to the crime during the interrogation.,,
28,innocence,/ˈɪnəsəns/,He maintained his innocence throughout the investigation and trial.,,
29,legalization,/ˌliɡələˈzeɪʃən/,The legalization of marijuana sparked debates about its potential benefits and drawbacks.,,
30,pro bono,/ˌproʊ ˈboʊnoʊ/,The lawyer took on the case pro bono to help the low-income client access legal representation.,,
31,plea,/pliː/,The defendant entered a plea of not guilty to the charges.,,
32,testimony,/ˈtɛstəˌmoʊni/,The witness provided compelling testimony that corroborated the victim's account.,,
33,verdict,/ˈvɝːdɪkt/,The jury reached an unanimous verdict of guilty after deliberating for several hours.,,
34,warrant,/ˈwɑrənt/,The suspect's criminal history and behavior provided enough grounds to issue a search warrant.,,
35,applicable,/ˈæplɪkəbəl/,Please read the instructions carefully and fill out only the sections applicable to your situation.,,
36,invalid,/ˈɪnvəlɪd/,The judge ruled the contract invalid due to discrepancies in its terms.,,
37,judicial,/ʤuˈdɪʃəl/,The judicial branch of government oversees the interpretation and application of laws through courts and judges.,,
38,liable,/ˈlaɪəbəl/,The company was found liable for the damages caused by its faulty product.,,
39,regulatory,/ˈrɛɡjələˌtɔri/,Compliance with regulatory requirements is essential for businesses operating in the financial sector.,,
40,undercover,/ˌʌndɚˈkʌvɚ/,The undercover agent infiltrated the criminal organization to gather intelligence.,,
41,lethal,/ˈliːθəl/,"The chemical spill released a lethal gas into the atmosphere, posing a serious risk to nearby residents.",,
42,to declare,/dɪˈklɛr/,The country's leaders gathered to declare their independence from colonial rule.,,
43,hearsay,/ˈhɪrˌseɪ/,The judge ruled the testimony inadmissible because it was based on hearsay.,,
44,public prosecutor,/ˈpʌblɪk ˈprɑsɪˌkjuːtɚ/,The public prosecutor presented compelling evidence during the trial.,,
45,to rat out,/ɹˈæt ˈaʊt/,He ratted out a pair of colleagues so he could stay out of jail.,,
46,to pinch,/ˈpɪntʃ/,The police pinched him for shoplifting at the supermarket.,,
47,class action,/klˈæs ˈækʃən/,The law firm filed a class action lawsuit on behalf of consumers affected by the defective product.,,
