order,word,phonetic,example,note,definition_en
1,to advocate,/ˈædvəˌkeɪt/,The environmentalist passionately advocates for sustainable living practices.,,
2,to appraise,/əˈpɹeɪz/,She appraised his artwork and offered constructive feedback on how to improve his technique.,,
3,to assert,/əˈsɝt/,"In an interview last month, the athlete asserted that dedication and hard work will always lead to achieving fitness goals.",,
4,to bias,/ˈbaɪəs/,She biased the hiring process by favoring candidates from her alma mater.,,
5,to calculate,/ˈkælkjəˌleɪt/,He calculated that it would be more cost-effective to rent rather than buy.,,
6,to commit,/kəˈmɪt/,"Upon joining the project, team members committed to meeting deadlines and delivering high-quality results.",,
7,to confer,/kənˈfɝː/,The board members will confer next week to finalize the budget for the upcoming fiscal year.,,
8,to conform,/kənˈfɔrm/,She felt pressured to conform to the fashion trends of her peers.,,
9,to contend,/kənˈtɛnd/,The lawyer contended that her client was innocent based on new evidence presented in court.,,
10,to contradict,/ˌkɑntɹəˈdɪkt/,"The witness's testimony contradicted the forensic evidence presented in court, leading to doubts about the accuracy of the case.",,
11,contradictory,/ˌkɑntɹəˈdɪktɝi/,"The two theories were contradictory, each offering a different explanation for the same phenomenon.",,
12,to convert,/ˈkɑnvərt/,She decided to convert the spare room into a home office for remote work.,,
13,to deduce,/dɪˈdus/,"From the evidence presented, the detective deduced the likely sequence of events.",,
14,to deem,/ˈdim/,The committee deemed the proposal worthy of further consideration.,,
15,to dispute,/dɪˈspjut/,The two colleagues started to dispute the best approach to solving the project's challenges.,,
16,to echo,/ˈɛkoʊ/,"She echoed her colleague's concerns about the new policy, emphasizing the potential risks involved.",,
17,anti,"/ˈænˌtaɪ/, /ˈænˌti/",She joined the protest to show her anti-war stance and demand peace.,,
18,affirmative,/əˈfɝmətɪv/,"In her role as a mentor, Sarah consistently provides affirmative guidance, empowering her mentees to pursue their goals with confidence.",,
19,challenging,/ˈtʃæɫəndʒɪŋ/,His challenging questions made everyone rethink their assumptions.,,
20,credible,/ˈkɹɛdəbəɫ/,"After all the evidence was presented, her alibi seemed more credible than before.",,
21,debatable,/dəˈbeɪtəbəɫ/,"The decision to cut funding for the arts is highly debatable, with strong opinions on both sides.",,
22,pronounced,/pɹəˈnaʊnst/,The patient's symptoms became more pronounced after the medication was discontinued.,,
23,then again,/ðˈɛn ɐɡˈɛn/,"I thought the movie was too long. Then again, the visuals were stunning.",,
24,arguably,/ˈɑɹɡjuəbɫi/,"He is arguably the best player in the league, consistently delivering outstanding performances.",,
25,favorably,"/ˈfeɪvɝəbɫi/, /ˈfeɪvɹəbɫi/","The new policy was received favorably by employees, as it addressed concerns raised in previous feedback.",,
26,as a matter of fact,/æz ɐ mˈæɾɚɹ ʌv fˈækt/,"As a matter of fact, I did see him at the store earlier today.",,
27,at the same time,/æt ðə sˈeɪm tˈaɪm/,She defended her thesis at the same time as managing a lab.,,
28,for that matter,/fɔːɹ ðæt mˈæɾɚ/,"I don't like coffee, and, for that matter, I'm not a fan of tea either.",,
29,(as|so) far as {sth} [is] concerned,/æz ɔːɹ sˈoʊ fˌɑːɹ æz ˌɛstˌiːˈeɪtʃ ɪz kənsˈɜːnd/,"As far as the weather's concerned, I'd stay indoors today, if I were you.",,
30,to fight out,/fˈaɪt ˈaʊt/,The two nations decided to fight out their differences through diplomatic negotiations.,,
31,clash,/ˈkɫæʃ/,The clash between the two political parties escalated into a heated debate over healthcare reform.,,
32,confrontation,/ˌkɑnfɹənˈteɪʃən/,The heated confrontation between the neighbors stemmed from a dispute over property boundaries.,,
33,consistency,/kənˈsɪstənsi/,Successful athletes attribute their achievements to discipline and consistency in training.,,
34,conviction,/kənˈvɪkʃən/,"Despite criticism, she held onto her conviction that renewable energy is the key to a sustainable future.",,
35,critique,"/kɹəˈtik/, /kɹɪˈtik/","The art professor provided a thorough critique of the student's painting, praising its composition while suggesting improvements to the color scheme.",,
36,don't-know,/dˈoʊntnˈoʊ/,"During the market research, the interviewees were divided into three groups: those in favor, those against, and the don't-knows who remained undecided on the new technology.",,
37,cliche,/kɫiˈʃeɪ/,"His speech was filled with clichés about love and happiness, failing to resonate with the audience.",,
38,double-edged,/dˈʌbəlˈɛdʒd/,Her double-edged remark about his promotion could be interpreted as both congratulatory and subtly critical.,,
39,to that effect,/tə ðæt ɪfˈɛkt/,"She made a suggestion to hire more staff, or words to that effect, to improve efficiency.",,
40,okey-dokey,/ˈoʊkiˈdoʊki/,"""Okey-dokey,"" she replied cheerfully when asked if she was ready to start the meeting.",,
41,awesomesauce,/ˈɔːsoʊmsˌɔːs/,"After watching the movie, she exclaimed, ""That film was awesomesauce!""",,
42,for crying out loud,/fɔːɹ kɹˈaɪɪŋ ˈaʊt lˈaʊd/,"For crying out loud, could you please turn down the volume on the TV?",,
43,sob story,/sˈɑːb stˈoːɹi/,"She tried to win the competition with a sob story about her hardships, but the judges saw through it.",,
