order,word,phonetic,example,note,definition_en
1,atomic,/əˈtɑmɪk/,"The atomic structure of an element includes its nucleus, composed of protons and neutrons, surrounded by electrons.",,
2,nucleus,/ˈnukliəs/,"The nucleus of a cell contains genetic material in the form of DNA, which regulates cellular activities.",,
3,bond,/bɑnd/,The covalent bond between the hydrogen and oxygen atoms forms a water molecule.,,
4,charge,/ʧɑrdʒ/,Electric charge is a fundamental property of matter that can be positive or negative.,,
5,density,/ˈdɛnsɪti/,The density of water is approximately 1 gram per cubic centimeter (g/cm³).,,
6,gravity,/ˈɡrævɪti/,Gravity is what keeps the planets in orbit around the Sun and the Moon in orbit around the Earth.,,
7,particle,/ˈpɑrtɪkəl/,Electrons are fundamental particles with a negative electric charge.,,
8,property,/ˈprɑpərti/,The most desirable property of the new smartphone is its long-lasting battery life.,,
9,instinct,/ˈɪnstɪŋkt/,The mother bird followed her instinct to build a nest and protect her eggs.,,
10,metabolism,/məˈtæbəlɪzəm/,Metabolism involves various biochemical reactions that convert nutrients from food into energy.,,
11,evolutionary,/ˌɛvəˈluʃəˌnɛri/,The evolutionary process has led to the diverse array of life forms we see today.,,
12,organic,/ɔrˈɡænɪk/,Organic chemistry focuses on the study of carbon-containing compounds found in living organisms.,,
13,evolution,/ˌɛvəˈluʃən/,Evolution is the process by which species change over time in response to environmental pressures.,,
14,genome,/ˈdʒinoʊm/,"The human genome consists of approximately 3 billion base pairs of DNA, encoding all the information needed for human development and function.",,
15,mutation,/mjuˈteɪʃən/,"The fish exhibited a unique fin shape, which was later identified as a result of a genetic mutation.",,
16,embryo,/ˈɛmbriˌoʊ/,"During the first trimester, the human embryo undergoes rapid cell division and differentiation to form essential organs.",,
17,hybrid,/ˈhaɪbrɪd/,"The farmer proudly displayed his new hybrid, a cross between a Brahman and an Angus, which combined the best traits of both cattle breeds.",,
18,clone,/kloʊn/,The scientists observed the behavior of the bacterial clone to understand how it would respond to different antibiotics.,,
19,to reproduce,/ˌriprəˈdus/,Animals reproduce by giving birth to or laying eggs that hatch into offspring.,,
20,stimulus,/ˈstɪmjələs/,"In a lab experiment, the researchers applied a visual stimulus to study participants to observe and measure their neurological responses.",,
21,synthesis,/ˈsɪnθəsɪs/,The liver plays a crucial role in the synthesis of proteins necessary for blood clotting.,,
22,to accelerate,/əkˈsɛləreɪt/,The physicist designed an experiment to study how magnetic fields can accelerate charged particles to high velocities.,,
23,to dissolve,/dɪˈzɑlv/,Sugar dissolves quickly in hot tea.,,
24,acid,/ˈæsɪd/,"The lemon juice contains citric acid, which gives it a sour taste and a pH of around 2.",,
25,aluminum,/əˈlumɪnəm/,"The new set of aluminum cookware is both lightweight and highly resistant to corrosion, making it perfect for the kitchen.",,
26,copper,/ˈkɑpər/,"Copper is valued for its high electrical conductivity, which makes it ideal for wiring in electrical systems.",,
27,lead,/led/,"Historically, lead was commonly used in plumbing systems due to its malleability and corrosion resistance.",,
28,conductor,/kənˈdʌktɚ/,Copper is widely used as a conductor in electrical wiring because of its excellent conductivity.,,
29,crystal,/ˈkrɪstəl/,Salt forms a cubic crystal when it solidifies.,,
30,gunpowder,/ˈɡʌnpaʊdər/,"Gunpowder, also known as black powder, is a mixture of potassium nitrate, charcoal, and sulfur.",,
31,dynamite,/ˈdaɪnəmaɪt/,"Dynamite is an explosive material consisting of nitroglycerin absorbed in an inert substance, typically sawdust or clay.",,
32,composition,/ˌkɑmpəˈzɪʃən/,"The composition of water molecules consists of two hydrogen atoms and one oxygen atom, chemically bonded together.",,
33,to emit,/ɪˈmɪt/,"The campfire emitted a warm glow, providing light and heat to the surrounding area.",,
34,ray,/reɪ/,A ray of sunlight streamed through the window.,,
35,laser,/ˈleɪzər/,The surgeon used a laser to precisely remove the tumor without damaging surrounding tissues.,,
36,magnet,/ˈmæɡnɪt/,At school we played with magnets and saw how they push and pull metal pieces on a sheet.,,
37,thermal,/ˈθɜrməl/,"As the temperature increased, the metal expanded due to thermal expansion.",,
38,to compress,/kəmˈprɛs/,She compressed her lips together to suppress a smile.,,
39,generator,/ˈdʒɛnəreɪtər/,The hydroelectric generator harnesses the power of flowing water to produce electricity for nearby communities.,,
40,to evaporate,/ɪˈvæpəreɪt/,Water can evaporate when exposed to heat.,,
41,vacuum,/ˈvækjum/,"In physics, a vacuum is defined as a space devoid of any matter particles, including atoms and molecules.",,
42,infinite,/ˈɪnfɪnɪt/,"The universe is believed to be infinite in size, with no discernible boundaries.",,
43,residue,/ˈrɛzɪdu/,The chemist found a residue of chemicals left in the test tube after the experiment was completed.,,
