order,word,phonetic,example,note,definition_en
1,communication,/kəˌmjuːnɪˈkeɪʃən/,Good communication is key to a successful relationship.,,
2,conversation,/ˌkɑːnvɚˈseɪʃən/,"During our conversation, I learned he had lived in Italy for five years.",,
3,opinion,/əˈpɪnjən/,"Despite popular opinion, I really enjoyed the movie.",,
4,talk,/tɑːk/,"After a long talk, they finally resolved their differences.",,
5,call,/kɔːl/,"During the call, he shared the good news.",,
6,cell phone,/ˈsɛl ˌfoʊn/,Can you please mute your cell phone during the movie?,,
7,argument,/ˈɑːrɡjəmənt/,His strong argument convinced the team to change their strategy.,,
8,discussion,/dɪˈskʌʃən/,The book club meeting ended with a lively discussion about the novel.,,
9,fight,/faɪt/,"After the fight about the broken vase, they didn't talk for a week.",,
10,letter,/ˈlɛtɚ/,I received a thank-you letter from the charity I donated to.,,
11,mail,/meɪl/,My sister works for the local mail service.,,
12,envelope,"/ˈɛnvəˌloʊp/ , /ˈɑːnvəˌloʊp/",He wrote the address on the envelope.,,
13,to say,/seɪ/,He was saying that he wanted to quit his job and travel the world.,,
14,to tell,/tɛl/,Did he tell you about the new project?,,
15,to discuss,/dɪˈskʌs/,He wanted to discuss his concerns with the manager before making a formal complaint.,,
16,to visit,/ˈvɪzɪt/,I love to visit my uncle because he tells great stories.,,
17,to reply,/rɪˈplaɪ/,I need to reply to the email from my boss.,,
18,to argue,/ˈɑːrɡjuː/,He argues with everyone at work; it's so annoying!,,
19,to mail,/meɪl/,He mailed his application to the university yesterday.,,
20,together,/təˈɡɛðɚ/,We walked together through the quiet streets.,,
21,calmly,/ˈkɑːmli/,She calmly explained her point despite the heated debate.,,
22,alone,/əˈloʊn/,He likes to eat lunch alone and enjoy some quiet time.,,
23,social,/ˈsoʊʃəl/,He's not very social and prefers to stay at home.,,
24,to send,/sɛnd/,I need to send this important document to the head office by express mail.,,
25,to receive,/rɪˈsiːv/,"Every morning, he receives a newspaper at his doorstep.",,
26,to understand,/ˌʌndɚˈstænd/,Can you help me understand this equation?,,
27,to misunderstand,/ˌmɪsʌndɚˈstænd/,He misunderstood the meeting time and arrived an hour early.,,
28,to agree,/əˈɡriː/,She agreed with the teacher's comment about her essay.,,
29,to disagree,/ˌdɪsəˈɡriː/,He disagreed with the critic's review of the play.,,
30,to accept,/ækˈsɛpt/,He accepted the responsibility of caring for the dog.,,
31,to reject,/rɪˈdʒɛkt/,"He rejected the first draft of the report, asking for major revisions.",,
32,all right,/ˌɔːl ˈraɪt/,"All right, I will help you with your homework.",,
33,statement,/ˈsteɪtmənt/,His statement about the event was very detailed.,,
34,wow,/waʊ/,"I can't believe you finished the race so quickly, wow!",,
35,ah,/ɑː/,"Ah, could you please turn down the music?",,
36,oh,/ˈoʊ/,"Oh, I didn't know you could play the guitar.",,
37,yeah,/jɛ/,"Yeah, I agree with you on that point.",,
38,hey,/heɪ/,"Hey, how's it going?",,
39,note,/noʊt/,I received a thank-you note from my colleague for helping with a project.,,
40,invitation,/ˌɪnvɪˈteɪʃən/,She received an invitation to her friend's birthday party next weekend.,,
41,to communicate,/kəˈmjuːnɪˌkeɪt/,She communicates effectively with her team members.,,
42,to complain,/kəmˈpleɪn/,Emily likes to complain about the long commute to work every morning.,,
43,to invite,/ɪnˈvaɪt/,She invites friends over for dinner every Friday night.,,
44,to pronounce,/prəˈnaʊns/,She pronounces each word with clarity during the language class.,,
