order,word,phonetic,example,note,definition_en
1,to sip,/ˈsɪp/,She likes to sip her tea slowly to savor the flavor.,,
2,to sober up,/sˈoʊbɚɹ ˈʌp/,"After a night of heavy drinking, he needed time to sober up before facing the day.",,
3,thirst,/ˈθɝst/,He satisfied his thirst with a refreshing glass of lemonade after mowing the lawn.,,
4,ice cube,/ˈaɪs kjˈuːb/,She dropped a couple of ice cubes into her glass of lemonade to make it refreshing.,,
5,straw,/ˈstɹɔ/,She used a straw to sip her iced tea without having to lift the glass.,,
6,liquor store,/lˈɪkɚ stˈoːɹ/,They stopped by the liquor store to pick up a bottle of wine for dinner.,,
7,booze,/ˈbuz/,They enjoyed a few glasses of booze at the bar after work.,,
8,Bloody Mary,/blˈʌdi mˈɛɹi/,She ordered a Bloody Mary with extra spice and a celery stick as a garnish.,,
9,Bourbon,/ˈbɝbən/,The cocktail recipe called for a generous pour of Bourbon to create a classic Old Fashioned.,,
10,cider,/ˈsaɪdɝ/,She enjoyed a chilled glass of apple cider on a crisp autumn day.,,
11,gin,/ˈdʒɪn/,She mixed a classic gin and tonic with a slice of lime for refreshment.,,
12,ginger ale,/dʒˈɪndʒɚɹ ˈeɪl/,She enjoyed a cold glass of ginger ale with a slice of lime to refresh herself on a hot day.,,
13,ice tea,/ˈaɪs tˈiː/,He preferred unsweetened iced tea for its crisp and clean taste.,,
14,liquor,/ˈɫɪkɝ/,"The liquor store had a wide selection of spirits, including vodka, rum, and tequila.",,
15,margarita,/ˌmɑɹɡɝˈitə/,She enjoyed a refreshing margarita with friends at the beach bar.,,
16,martini,/mɑɹˈtini/,She ordered a dry martini with a lemon twist at the upscale bar.,,
17,mojito,/moʊhˈiːɾoʊ/,She ordered a mojito with extra mint for a refreshing drink on a hot summer day.,,
18,refill,"/ˈɹifɪɫ/, /ɹiˈfɪɫ/",He requested a refill of his coffee at the diner to keep enjoying his hot drink.,,
19,punch,/pʌntʃ/,"She prepared a large bowl of fruit punch for the party, mixing orange juice, pineapple juice, and ginger ale.",,
20,cappuccino,/ˌkæˌpuˈtʃinoʊ/,She ordered a cappuccino with a sprinkle of cinnamon on top for a flavorful morning pick-me-up.,,
21,herbal tea,/hˈɜːbəl tˈiː/,"The café offered a variety of herbal teas, including peppermint and hibiscus.",,
22,skim milk,/skˈɪm mˈɪlk/,She prefers to use skim milk in her morning coffee to reduce calorie intake.,,
