order,word,phonetic,example,note,definition_en
1,bacon,/ˈbeɪkən/,He cooked crispy bacon to accompany his scrambled eggs for breakfast.,,
2,red meat,/ˌrɛd ˈmiːt/,"He grilled a juicy steak, savoring the flavor of the perfectly cooked red meat.",,
3,white meat,/ˌwaɪt ˈmiːt/,"She cooked a flavorful and aromatic curry, using diced white meat as the main ingredient.",,
4,wing,/wɪŋ/,Friends shared a platter of crispy chicken wings with tangy dipping sauces at the sports bar.,,
5,veal,/viːl/,"He cooked veal chops to perfection on the barbecue, seasoning them with herbs and spices for a mouthwatering grilled dish.",,
6,turkey,/ˈtɝki/,He smoked a whole turkey and served it with a tangy barbecue sauce.,,
7,rib,/rɪb/,She visited a renowned steakhouse and savored a mouthwatering plate of grilled lamb ribs.,,
8,rabbit,/ˈræbɪt/,"She carefully prepared a flavorful rabbit stew, using fresh herbs and vegetables to enhance its natural taste.",,
9,meatball,/ˈmiːtˌbɔl/,"He's known for his grandmother's secret recipe for Swedish meatballs, served with lingonberry sauce.",,
10,seafood,/ˈsiːˌfuːd/,"She's a seafood aficionado, specializing in preparing sushi and sashimi at home.",,
11,shellfish,/ˈʃɛlˌfɪʃ/,She ordered a platter of fresh shellfish at the seafood restaurant.,,
12,lobster,/ˈlɑːbstɚ/,"He savored the succulent lobster tail with melted butter, enjoying every bite.",,
13,hamburger,/ˈhæmˌbɝːɡɚ/,"He enjoys making his own hamburgers from scratch, starting with grinding the beef himself.",,
14,crab,/kræb/,"She prepared a delightful crab salad, combining chunks of sweet crab meat with crisp vegetables.",,
15,oyster,/ˈɔɪstɚ/,"Bake oysters topped with a mixture of breadcrumbs, butter, and herbs for a delightful and easy-to-make appetizer.",,
16,joint,/ʤɔɪnt/,I would like to have sandwiches made with thinly sliced turkey joint for lunch.,,
17,ham,/hæm/,He diced the leftover ham and used it to make a flavorful fried rice.,,
18,flesh,/flɛʃ/,He prepared a mouthwatering dish with the tender and flavorful flesh of the lamb.,,
19,duck,/dʌk/,They marinated the duck in an Asian-inspired sauce and grilled it to perfection.,,
20,cut,/kʌt/,"I was enjoying every single cut of marinated chicken, beef, and pork.",,
21,breast,/brɛst/,"In a vibrant salad bar, guests create their own custom salads by topping fresh greens with grilled chicken breast.",,
22,goose,/ɡuːs/,He roasted a plump goose for his family's Thanksgiving dinner.,,
23,Swiss cheese,/ˈswɪs ˈʧiːz/,"The cheese platter featured a selection of aged Swiss cheeses, served with crusty bread and fruit preserves.",,
24,blue cheese,/ˈbluː ˈʧiːz/,Blue cheese and bacon make an irresistible combination in a creamy spinach salad.,,
25,Cheddar,/ˈʧɛdɚ/,Cheddar cheese is a must-have ingredient for a classic cheeseburger.,,
26,cream cheese,/ˈkriːm ˈʧiːz/,I love spreading cream cheese on my toasted bagel in the morning.,,
27,Gouda,"/ˈɡaʊdə/ , /ˈɡuːdə/",Gouda has a mild and slightly nutty flavor.,,
28,yolk,/joʊk/,She separated the egg white from the yolk to use in different parts of the recipe.,,
29,white,/waɪt/,"The omelette was cooked until the white was just set, with the yolk still slightly runny in the center.",,
