order,word,phonetic,example,note,definition_en
1,black,/blæk/,A black raven is flying across the night sky.,,
2,white,/waɪt/,"His teeth are white and shiny, thanks to regular brushing and flossing.",,
3,blue,/bluː/,My mother has blue eyes and black hair.,,
4,green,/ɡriːn/,"His eyes were a striking green shade, like emeralds.",,
5,yellow,/ˈjɛloʊ/,She drew a yellow sun on the corner of the paper.,,
6,red,/rɛd/,"He got a cut, and red blood came out.",,
7,pink,/pɪŋk/,"She wore a pink dress to the wedding, which complimented her rosy cheeks.",,
8,orange,/ˈɔːrɪndʒ/,He ate an orange carrot for a snack.,,
9,purple,/ˈpɝːpəl/,I carefully peeled the purple eggplant to cook it for dinner.,,
10,gray,/ɡreɪ/,My grandmother's hair is gray.,,
11,brown,/braʊn/,"The table was made of rich, brown wood.",,
12,dark,/dɑrk/,She wore a dark blue dress to the event.,,
13,light,/laɪt/,She prefers to wear light colors in the summer to stay cool.,,
14,color,/ˈkʌlɚ/,The artist mixed different colors to create a masterpiece.,,
