order,word,phonetic,example,note,definition_en
1,all-inclusive,/ˈɔːlɪnklˈuːsɪv/,"They booked an all-inclusive vacation package that covered flights, accommodations, meals, and activities.",,
2,peak season,/pˈiːk sˈiːzən/,Hotel prices are always higher during peak season due to the increased demand.,,
3,off season,/ˈɔfsˈiːzən/,Hotels often offer discounted rates during the off season to attract more guests.,,
4,luxurious,/ɫəɡˈʒɝiəs/,"She indulged in a luxurious spa treatment, complete with massages and facials.",,
5,exquisite,/ˈɛkskwəzət/,The bride wore an exquisite gown adorned with intricate lace and embroidery.,,
6,exotic,/ɪɡˈzɑtɪk/,She loves to collect exotic plants from tropical regions for her greenhouse.,,
7,homestay,/hˈoʊmsteɪ/,"During her trip to Japan, she opted for a homestay with a local family to experience authentic Japanese culture.",,
8,staycation,/steɪkˈeɪʃən/,"They decided to have a staycation this summer, exploring local attractions and relaxing at home.",,
9,outing,/ˈaʊtɪŋ/,The class went on an educational outing to the science museum to learn about space exploration.,,
10,expedition,/ˌɛkspəˈdɪʃən/,The team set out on an expedition to the Arctic.,,
11,itinerary,/aɪˈtɪnɝˌɛɹi/,"The tour company sent us a detailed itinerary, breaking down our day-to-day activities and highlighting the main attractions.",,
12,tourist class,/tˈʊɹɪst klˈæs/,They booked seats in tourist class for their flight to save money on travel expenses.,,
13,to upgrade,/ˈʌpˌɡreɪd/,"Due to overbooking in economy class, the airline upgraded several passengers to business class.",,
14,long-haul,/lˈɑːŋhˈɔːl/,Long-haul flights typically include amenities such as meals and entertainment to keep passengers comfortable during extended travel.,,
15,to embark,"/ɛmˈbɑɹk/, /ɪmˈbɑɹk/","After completing the check-in process, the passengers can embark the train to their destination.",,
16,layover,/ˈɫeɪˌoʊvɝ/,We had a layover in Chicago for two hours before our connecting flight to New York.,,
17,lost and found,/lˈɔst ænd fˈaʊnd/,"I left my glasses in the store, but the lost and found had them.",,
18,camper,/ˈkæmpɝ/,The campers enjoyed hiking and fishing during their weekend getaway in the mountains.,,
19,suite,/ˈswit/,The newlyweds stayed in a luxurious honeymoon suite with a stunning ocean view.,,
20,sunburn,/ˈsənˌbɝn/,"After spending the entire day at the beach without sunscreen, she suffered from a severe sunburn.",,
21,suntan,/ˈsənˌtæn/,She returned from her tropical vacation with a deep suntan that made her glow.,,
22,to tan,/ˈtæn/,She tans easily and always has a golden glow in the summer.,,
23,to resort,"/ɹiˈsɔɹt/, /ɹiˈzɔɹt/, /ɹɪˈzɔɹt/","During the summer months, tourists often resort to the coastal towns for their beautiful beaches and warm weather.",,
24,vacancy,/ˈveɪkənsi/,The hotel had no vacancy during the holiday weekend.,,
25,touristy,/tˈʊɹɪsti/,"The once serene village has become quite touristy, with souvenir shops and crowded streets.",,
26,twin bedroom,/twˈɪn bˈɛdɹuːm/,"They booked a twin bedroom for their stay, ensuring each friend had their own bed.",,
27,upmarket,/ˈəpˌmɑɹkət/,The upmarket boutique featured designer clothing and accessories that attracted affluent customers.,,
28,complimentary,/ˌkɑmpɫəˈmɛntɝi/,The hotel provided complimentary breakfast and Wi-Fi for all its guests.,,
29,memorable,/ˈmɛmɝəbəɫ/,The speech he gave at the graduation was so inspiring that it became the most memorable part of the ceremony.,,
30,Godspeed,/ˈɡɑdspid/,"Godspeed, dear travelers. May your path be smooth and your destination be reached safely.",,
31,motion sickness,/mˈoʊʃən sˈɪknəs/,She took medication before the road trip to prevent motion sickness.,,
