order,word,phonetic,example,note,definition_en
1,to afford,,,,
2,change,,,,
3,to charge,,,,
4,coin,,,,
5,currency,,,,
6,discount,,,,
7,inexpensive,,,,
8,mall,,,,
9,stall,,,,
10,to return,,,,
11,buyer,,,,
12,seller,,,,
13,shopper,,,,
14,product,,,,
15,goods,,,,
16,checkout,,,,
17,account,,,,
18,to owe,,,,
19,credit,,,,
20,debt,,,,
21,to donate,,,,
22,balance,,,,
23,expense,,,,
24,value,,,,
25,sum,,,,
26,total,,,,
27,bargain,,,,
28,tax,,,,
29,possession,,,,
30,to belong,,,,
31,saving,,,,
32,production,,,,
33,worth,,,,
34,cut,,,,
35,luxury,,,,
36,overpriced,,,,
37,penny,,,,
38,check,,,,
39,sale,,,,
