order,word,phonetic,example,note,definition_en
1,money,/ˈmʌni/,I really need to save money to buy a new bicycle.,,
2,job,/dʒɑːb/,He enjoys his job because it allows him to be creative.,,
3,work,/wɝːk/,"During the summer break, she took up work as a tour guide.",,
4,doctor,/ˈdɑːktɚ/,I want to become a doctor so I can take care of people's health.,,
5,dentist,/ˈdɛntɪst/,"I was nervous before my dental appointment, but the dentist made me feel comfortable.",,
6,nurse,/nɝːs/,I appreciate the hard work and dedication of nurses in keeping us healthy and safe.,,
7,teacher,/ˈtiːtʃɚ/,I raised my hand to give an answer when the teacher asked a question.,,
8,engineer,/ˌɛnʤɪˈnɪr/,An engineer's job is to apply scientific principles to solve engineering challenges.,,
9,actor,/ˈæktɚ/,Acting classes help aspiring actors develop their skills and techniques.,,
10,actress,/ˈæktrəs/,I saw a famous actress at the shopping mall today.,,
11,police officer,/pəˈliːs ˈɑːfɪsɚ/,The brave police officer rushed to the scene of the accident to provide assistance.,,
12,waiter,/ˈweɪtɚ/,Our waiter cleared the empty plates from the table.,,
13,waitress,/ˈweɪtrəs/,I asked the waitress for the bill after finishing my meal.,,
14,driver,/ˈdraɪvɚ/,I waved to the bus driver as I got off at my stop.,,
