order,word,phonetic,example,note,definition_en
1,artwork,/ˈɑrtˌwɝːk/,The magazine editor carefully selected artwork to complement the articles in the latest issue.,,
2,background,/ˈbækˌɡraʊnd/,The photographer adjusted the lighting to highlight the background behind the main subject.,,
3,foreground,/ˈfɔɹˌɡɹaʊnd/,He placed an old truck tire in the foreground to add visual interest and texture against the snow-covered field behind it.,,
4,collector,/kəˈɫɛktɝ/,The art collector spent millions on a rare painting at the auction.,,
5,graphic artist,/ɡɹˈæfɪk ˈɑːɹɾɪst/,"As a graphic artist, she enjoys experimenting with different styles and techniques to create visually compelling artwork.",,
6,masterpiece,/ˈmæstɝˌpis/,"The Mona Lisa is often regarded as Leonardo da Vinci's masterpiece, admired by millions worldwide.",,
7,exhibit,/ɪɡˈzɪbɪt/,The museum's latest exhibit features a stunning collection of contemporary art from around the world.,,
8,image,/ˈɪmɪdʒ/,The museum displayed an image of a Roman emperor.,,
9,landscape,/ˈlændˌskeɪp/,"The artist specialized in landscape paintings, capturing the beauty of mountains and rivers.",,
10,self-portrait,/ˌsɛɫfˈpɔɹtɹət/,Vincent van Gogh's self-portrait reveals much about his emotional state and artistic style.,,
11,subject matter,/sˈʌbdʒɛkt mˈæɾɚ/,"The artist's paintings often explore the subject matter of human emotions and relationships, creating poignant and evocative imagery.",,
12,shade,/ʃeɪd/,"She carefully selected the perfect shade of blue for the walls of her bedroom, aiming for a calming and tranquil atmosphere.",,
13,ink,/ˈɪŋk/,The artist used black ink to create intricate line drawings in their sketchbook.,,
14,oil paint,/ˈɔɪl pˈeɪnt/,The artist preferred using oil paint for their portraits due to its versatility and ability to capture subtle nuances of light and shadow.,,
15,watercolor,/ˈwɔtɝˌkəɫɝ/,She studied watercolor in her first year of art school.,,
16,abstract,/ˈæbˌstrækt/,"She is known for her abstract sculptures that explore the interplay of shapes, colors, and textures.",,
17,artistic,/ɑɹˈtɪstɪk/,The artistic expression of the painting captured the beauty of nature.,,
18,original,/ɝˈɪdʒənəɫ/,"The painting was an original work by the artist, not a reproduction.",,
19,realistic,/ˌɹiəˈɫɪstɪk/,"The artist's realistic portrayal of the cityscape captured every detail, from the bustling streets to the towering skyscrapers.",,
20,classic,/ˈklæsɪk/,She wore a classic black dress that looked elegant and timeless.,,
21,modern,/ˈmɑdɚn/,"The modern architecture of the skyscraper featured sleek lines and glass facades, in contrast to the traditional brick buildings of the city center.",,
22,contemporary,/kənˈtɛmpɝˌɛɹi/,We studied the contemporary political landscape to understand today's issues.,,
23,visual,/ˈvɪʒəwəɫ/,The doctor performed a visual examination of the patient's eyes.,,
24,vivid,"/ˈvɪvəd/, /ˈvɪvɪd/",She wore a vivid red dress that stood out in the crowd.,,
25,to depict,/dɪˈpɪkt/,"The painting depicts a serene landscape, with rolling hills and a tranquil river winding through the valley.",,
26,to display,/dɪˈspleɪ/,The museum carefully displayed ancient artifacts in glass cases for visitors to admire.,,
27,to exhibit,/ɪɡˈzɪbɪt/,The art gallery will exhibit a collection of contemporary paintings next month.,,
28,to frame,/freɪm/,She decided to frame the artwork in a sleek black frame to enhance its modern aesthetic.,,
29,to inspire,/ˌɪnˈspaɪɹ/,The movie inspired a new wave of fashion trends.,,
30,to model,/ˈmɑdəl/,He modeled a scale replica of the famous landmark using wood and cardboard.,,
31,to restore,/ɹɪˈstɔɹ/,The museum hired experts to restore the ancient painting to its original beauty.,,
