order,word,phonetic,example,note,definition_en
1,recipe,/ˈɹɛsəpi/,"She followed her grandmother's chocolate cake recipe, which included a secret ingredient.",,
2,ingredient,/ˌɪnˈɡɹidiənt/,Flour is the main ingredient in bread.,,
3,to beat,/biːt/,Beat the eggs until they are fluffy and light in color.,,
4,to chop,/ˈtʃɑp/,She chops vegetables for the stir-fry every evening.,,
5,to garnish,/ˈɡɑɹnɪʃ/,She garnished the salad with cherry tomatoes and fresh herbs.,,
6,to grill,/ˈɡɹɪɫ/,Grill the burgers over medium heat for about 5 minutes on each side.,,
7,to heat,/hit/,The chef is currently heating the sauce on the stove.,,
8,to marinate,/ˈmɛɹəˌneɪt/,"She marinates the chicken in a mixture of lemon juice, garlic, and herbs for several hours before grilling it.",,
9,to peel,/ˈpiɫ/,Peel the banana before eating it.,,
10,to poach,/ˈpoʊtʃ/,She decided to poach the eggs for a healthier breakfast option.,,
11,to roast,/ˈɹoʊst/,Roast the turkey in the oven at 350°F for several hours until it's golden brown and juicy.,,
12,to slice,/slaɪs/,Slice the bread for sandwiches.,,
13,to stir,/ˈstɝ/,"She gently stirred the soup, ensuring all the flavors blended perfectly before serving.",,
14,to toast,/toʊst/,Toast the bread until it's golden brown and crispy.,,
15,counter,/ˈkaʊntər/,The buffet counter held plates and cutlery.,,
16,utensil,/juˈtɛnsəɫ/,"Make sure you have the right utensils, like a spatula and whisk, for this recipe.",,
17,barbecue,/ˈbɑːrbɪˌkjuː/,They set up the barbecue in the backyard to grill burgers and hot dogs.,,
18,blender,/ˈbɫɛndɝ/,"She used the blender to make a fruit smoothie with bananas, strawberries, and yogurt.",,
19,frying pan,/fɹˈaɪɪŋ pˈæn/,She heated oil in the frying pan before adding the vegetables to sauté.,,
20,wok,/ˈwɑk/,She heated oil in the wok before adding the vegetables for a quick stir-fry.,,
21,mixer,/ˈmɪksɝ/,She used a mixer to whip cream until it formed stiff peaks for the dessert.,,
22,lid,/ˈɫɪd/,She placed the lid on the pot to let the soup simmer.,,
23,mixing bowl,/mˈɪksɪŋ bˈoʊl/,"She used a large mixing bowl to combine flour, sugar, and eggs for the cake batter.",,
24,wooden spoon,/wˈʊdən spˈuːn/,She used a wooden spoon to stir the sauce to prevent scratching the pot.,,
25,scale,/skeɪl/,The bathroom scale indicated that she had lost a few pounds after her diet and exercise regimen.,,
26,pinch,/ˈpɪntʃ/,Add a pinch of salt to enhance the flavor of the dish.,,
27,cupful,/kˈʌpfəl/,The recipe called for two cupfuls of flour to make the dough.,,
28,spoonful,/ˈspunˌfʊɫ/,She added a spoonful of honey to her tea for sweetness.,,
