order,word,phonetic,example,note,definition_en
1,pastime,/ˈpæsˌtaɪm/,,,
2,leisure,/ˈliʒɚ/,"Emily finds solace in gardening during her leisure hours, cultivating colorful flowers and fresh vegetables.",,
3,backpacking,/ˈbækˌpækɪŋ/,She went backpacking across Europe for a month.,,
4,birdwatching,/ˈbɝdˌwɑʧɪŋ/,,,
5,blogging,/ˈblɑɡɪŋ/,Many businesses use blogging as a way to attract customers and promote their products.,,
6,cheerleading,/ˈʧɪrˌliːdɪŋ/,"More than just chanting, cheerleading requires athleticism, teamwork, and a positive attitude.",,
7,clubbing,/ˈklʌbɪŋ/,They spent the whole weekend clubbing at the new nightclub in town.,,
8,collecting,/kəˈlɛktɪŋ/,,,
9,to doodle,/ˈduːdəl/,"During the meeting, he doodled on his notepad to pass the time.",,
10,gambling,/ˈɡæmblɪŋ/,"Gambling can be addictive, leading to financial troubles and emotional distress for many individuals.",,
11,hunting,/ˈhʌntɪŋ/,,,
12,journaling,/ˈʤɝːnəlɪŋ/,,,
13,karting,/ˈkɑrtɪŋ/,Karting is a popular sport among young motorsport enthusiasts.,,
14,knitting,/ˈnɪtɪŋ/,,,
15,meditation,/ˌmɛdɪˈteɪʃən/,Daily meditation has helped her maintain a calm and focused mind.,,
16,mountain biking,/ˈmaʊntən ˈbaɪkɪŋ/,Mountain biking is a great way to explore the outdoors.,,
17,origami,/ˌɔrɪˈɡɑːmi/,The origami festival featured displays of large-scale paper sculptures created by renowned artists.,,
18,pottery,/ˈpɑːtəri/,"She enjoys pottery as a creative hobby, making mugs and bowls.",,
19,scuba diving,/ˈskuːbə ˈdaɪvɪŋ/,She went scuba diving in the Great Barrier Reef last summer.,,
20,sketching,/ˈskɛʧɪŋ/,,,
21,skydiving,/ˈskaɪˌdaɪvɪŋ/,Skydiving offers an unparalleled adrenaline rush as participants experience the thrill of jumping out of an aircraft and soaring through the sky.,,
22,traveling,/ˈtrævəlɪŋ/,Traveling by train is a relaxing way to see the countryside.,,
23,window shopping,/ˈwɪndoʊ ˈʃɑpɪŋ/,He went window shopping at the mall before meeting his friends for dinner.,,
24,windsurfing,/ˈwɪndˌsɝːfɪŋ/,"Windsurfing combines elements of surfing and sailing, making it an exciting water sport for enthusiasts.",,
