order,word,phonetic,example,note,definition_en
1,attorney,/əˈtɝni/,The attorney presented a strong case in court on behalf of his client.,,
2,bartender,/ˈbɑrˌˈtendər/,The bartender mixed a perfect martini for the customer sitting at the bar.,,
3,cab driver,/kˈæb dɹˈaɪvɚ/,They were impressed by how quickly the cab driver navigated through the congested streets.,,
4,carpenter,/ˈkɑɹpəntɝ/,He worked with the carpenter to design and install new kitchen cabinets.,,
5,cashier,/kæˈʃɪɹ/,He waited in line until the cashier was available to complete his purchase.,,
6,caterer,/ˈkeɪtɝɝ/,The caterer prepared a delicious array of appetizers for the wedding reception.,,
7,comedian,/kəˈmidiən/,The comedian had the audience laughing non-stop with his clever jokes.,,
8,economist,"/iˈkɑnəmɪst/, /ɪˈkɑnəmɪst/",The economist predicted a downturn in the housing market based on current economic indicators.,,
9,electrician,/ɪɫɛkˈtɹɪʃən/,The electrician fixed the faulty wiring that caused the power outage.,,
10,fisherman,"/ˈfɪʃɝˌmæn/, /ˈfɪʃɝmən/","The fisherman cast his net into the water, hoping for a good catch.",,
11,florist,/ˈflɔrɪst/,The florist prepared a beautiful bouquet for the wedding ceremony.,,
12,health professional,/hˈɛlθ pɹəfˈɛʃənəl/,The health professional recommended a balanced diet and regular exercise to improve overall well-being.,,
13,interpreter,/ˌɪnˈtɝpɹətɝ/,She hired an interpreter to assist with the business meeting in a foreign country.,,
14,investigator,/ˌɪnˈvɛstəˌɡeɪtɝ/,The investigator collected fingerprints at the crime scene.,,
15,librarian,/ɫaɪˈbɹɛˌɹiən/,The librarian assisted her with finding a specific book for her research project.,,
16,plumber,/ˈpɫəmɝ/,"The plumber fixed the leaky faucet in the kitchen, stopping the constant drip.",,
17,psychologist,/saɪˈkɑɫədʒəst/,The psychologist counseled patients struggling with anxiety and depression.,,
18,security guard,/sɪkjˈʊɹɪɾi ɡˈɑːɹd/,The security guard checked IDs and ensured only authorized personnel entered the building.,,
19,sheriff,"/ˈʃɛɹəf/, /ˈʃɛɹɪf/",The sheriff's deputies patrolled the rural county to ensure community safety.,,
20,shopkeeper,/ˈʃɑpˌkipɝ/,The shopkeeper helped her find the perfect gift for her friend’s birthday.,,
21,spy,/spaɪ/,The spy used hidden cameras to gather intelligence on the enemy's activities.,,
22,stylist,/ˈstaɪɫɪst/,The stylist recommended a new haircut that complemented her face shape and personal style.,,
23,real estate agent,/ɹˈiːəl ɪstˈeɪt ˈeɪdʒənt/,She hired a real estate agent to help sell her house quickly and at a good price.,,
24,travel agent,/tɹˈævəl ˈeɪdʒənt/,The travel agent arranged a detailed itinerary for their vacation in Europe.,,
25,freelance,/ˈfɹiˌɫæns/,"They enjoyed the flexibility of freelance work, which allowed them to choose their own hours.",,
26,permanent,/ˈpɝmənənt/,The museum's permanent collection includes timeless masterpieces from around the world.,,
27,self-employed,/sˈɛlfɛmplˈɔɪd/,She is self-employed and runs her own catering business from home.,,
28,temporary,/ˈtɛmpɝˌɛɹi/,He took on a temporary job while he looked for a permanent position.,,
29,voluntary,/ˈvɑɫəntɛɹi/,He participated in a voluntary program to help teach children in underserved communities.,,
30,out of work,/ˌaʊɾəv wˈɜːk/,He's been out of work for six months and is actively searching for a new job.,,
31,wage,/ˈweɪdʒ/,The company increased the minimum wage for its employees to attract and retain talent.,,
32,golden years,/ɡˈoʊldən jˈɪɹz/,Many people save money throughout their careers for their golden years.,,
