order,word,phonetic,example,note,definition_en
1,birth,/bɝθ/,The birth of their first child brought immense joy to the whole family.,,
2,graduation,/ˌɡrædʒuˈeɪʃən/,"Graduation day is a time for students to express gratitude to their professors, mentors, and loved ones who supported them throughout their academic journey.",,
3,engagement,/ɪnˈɡeɪdʒmənt/,They announced their engagement at a family gathering.,,
4,Father's Day,/ˈfɑðɚz ˌdeɪ/,,,
5,New Year's Day,/ˌnuː ˈjɪrz ˌdeɪ/,"On New Year's Day, we traditionally gather with family to enjoy a festive meal and share our resolutions for the year ahead.",,
6,Mother's Day,/ˈmʌðɚz ˌdeɪ/,She bought flowers for her mom on Mother's Day.,,
7,Valentine's Day,/ˈvælənˌtaɪnz ˌdeɪ/,They planned a romantic dinner for Valentine’s Day.,,
8,Halloween,/ˌhæləˈwiːn/,The kids dressed as ghosts and witches for Halloween this year.,,
9,event,/ɪˈvɛnt/,The annual charity event raised thousands of dollars for the local community center.,,
10,occasion,/əˈkeɪʒən/,The graduation ceremony was a momentous occasion for all the students.,,
11,gathering,/ˈɡæðɚɪŋ/,,,
12,to throw,/θroʊ/,She threw a birthday party for her best friend at a local restaurant.,,
13,celebration,/ˌsɛləˈbreɪʃən/,The whole town came together for a grand celebration in honor of their mayor's reelection.,,
14,to entertain,/ˌɛntɚˈteɪn/,The clown entertained the children at the birthday party with magic tricks and balloon animals.,,
15,banner,/ˈbænɚ/,The school hung a banner in the gym to celebrate the championship win.,,
16,to blow out,/bloʊ ˈaʊt/,"With a single breath, the magician managed to blow out all the candles on the table.",,
17,candle,/ˈkændəl/,She lit a scented candle to create a cozy atmosphere in the room.,,
18,present,/ˈprɛzənt/,She received a beautiful bouquet of flowers as a birthday present.,,
19,to wrap,/ræp/,She decided to wrap the birthday gift in colorful wrapping paper and tie it with a ribbon.,,
20,to gather,/ˈɡæðɚ/,"Every Sunday, the family gathers for a meal at Grandma's house.",,
21,to participate,/pɑrˈtɪsɪˌpeɪt/,She decided to participate in the charity run to support a good cause.,,
22,to [take] part,/teɪk ˈpɑrt/,He was excited to take part in the debate competition and showcase his public speaking skills.,,
23,to host,/hoʊst/,Companies often host conferences to bring industry professionals together for networking.,,
