order,word,phonetic,example,note,definition_en
1,entertainment,/ˌɛntɚˈteɪnmənt/,"The festival featured various forms of entertainment, including music, dance, and art.",,
2,recreation,/ˌɹɛkɹiˈeɪʃən/,The community center offers various recreation programs for all ages.,,
3,charades,/ʃɝˈeɪdz/,"She chose a difficult word for charades, but her friends were determined to guess it.",,
4,jigsaw puzzle,/dʒˈɪɡsɔː pˈʌzəl/,She spent the afternoon working on a challenging jigsaw puzzle with her friends.,,
5,playmate,/ˈpɫeɪˌmeɪt/,She invited her playmate over for a fun afternoon of games.,,
6,playing card,/plˈeɪɪŋ kˈɑːɹd/,He shuffled the playing cards before dealing them out to everyone.,,
7,club,/klʌb/,The ace of clubs is often a powerful card in many games.,,
8,diamond,/ˈdaɪmənd/,"He laid down the ace of diamonds, securing his victory in the card game.",,
9,heart,/hɑːrt/,"She held her breath as she flipped over the ace of hearts, revealing a critical card in the hand.",,
10,spade,/ˈspeɪd/,They chose spades as the lead to take control of the round.,,
11,ace,/eɪs/,She played an ace to secure her victory in the game.,,
12,hand,/hænd/,He had a strong hand with three aces and two kings.,,
13,tic-tac-toe,/tˈɪktˈæktˈoʊ/,They played a quick game of tic-tac-toe during their lunch break.,,
14,handball,/ˈhændˌbɔɫ/,Playing handball competitively demands both physical stamina and strategic thinking on the court.,,
15,Barbie doll,/bˈɑːɹbi dˈɑːl/,She dressed her Barbie doll in a sparkly evening gown for the party.,,
16,domino,"/ˈdɑməˌnoʊ/, /ˈdɑmɪˌnoʊ/",Each player drew seven dominoes at the start of the game.,,
17,rag doll,/ɹˈæɡ dˈɑːl/,The little girl hugged her favorite rag doll tightly at bedtime.,,
18,piece,/piːs/,She moved her game piece forward three spaces.,,
19,Lego,/lˈɛɡoʊ/,She enjoyed playing with Lego more than any other toy.,,
20,Monopoly,/məˈnɑpəɫi/,"The Monopoly game lasted for hours, with everyone strategizing their moves.",,
21,Scrabble,/ˈskɹæbəɫ/,"Every weekend, my family gathers to play Scrabble and compete for the highest score.",,
22,scoreboard,/ˈskɔɹˌbɔɹd/,The scoreboard displayed the team's points during the basketball game.,,
23,avatar,/ˈævəˌtɑɹ/,She created a colorful avatar to represent her in the online game.,,
24,joystick,/ˈdʒɔɪˌstɪk/,He used the joystick to navigate his character through the game.,,
