order,word,phonetic,example,note,definition_en
1,figure,/ˈfɪgər/,"She admired her friend's figure, appreciating the graceful curves and proportions that made her look stunning.",,
2,beauty,/ˈbjuːti/,The beauty of the sunset left everyone in awe.,,
3,attractiveness,/əˈtræktɪvnɪs/,His attractiveness was evident as soon as he entered the room.,,
4,stunning,/ˈstʌnɪŋ/,The stunning landscape of the countryside was captured in the artist's painting.,,
5,gorgeous,/ˈɡɔrdʒəs/,She looked absolutely gorgeous in her evening gown.,,
6,ugliness,/ˈʌɡlinɪs/,The ugliness of the cracked pavement and abandoned cars gave the neighborhood a rundown appearance.,,
7,unattractive,/ˌʌnəˈtræktɪv/,The unattractive building stood out among the elegant architecture of the city.,,
8,chubby,/ˈʧʌbi/,"Despite being a little chubby, she was always full of energy and laughter.",,
9,overweight,/ˌoʊvɚˈweɪt/,John is overweight because he eats large portions and rarely exercises.,,
10,obese,/oʊˈbiːs/,"Due to his sedentary lifestyle and poor diet, Tom has become obese.",,
11,underweight,/ˌʌndɚˈweɪt/,The doctor diagnosed her as underweight due to her low body mass index.,,
12,hairstyle,/ˈhɛrˌstaɪl/,"She changed her hairstyle for the wedding, opting for elegant curls.",,
13,thick,/θɪk/,Her thick hair cascaded down her back in lustrous waves.,,
14,to comb,/koʊm/,She combs her hair every morning before leaving for work.,,
15,haircut,/ˈhɛrˌkʌt/,She got a new haircut that made her look more polished.,,
16,to shave,/ʃeɪv/,He shaves his face every morning to keep it smooth.,,
17,hairy,/ˈhɛri/,,,
18,gray-haired,/ˈɡreɪ ˌhɛrd/,The gray-haired man shared stories of his youth with the children.,,
19,fair,/fɛr/,She had fair skin that was sensitive to the sun.,,
20,ginger,/ˈʤɪndʒɚ/,She has ginger hair that shines in the sunlight.,,
21,red,/rɛd/,"Her red hair shone brightly in the sunlight, making her stand out in the crowd.",,
22,shiny,/ˈʃaɪni/,The newly waxed floors were shiny and smooth to the touch.,,
23,expression,/ɪkˈsprɛʃən/,"Her eyes widened in surprise, an expression that conveyed her shock better than words ever could.",,
24,pale,/peɪl/,"The patient appeared pale and weak after the long surgery, prompting the doctor to take further tests.",,
25,frown,/fraʊn/,"She couldn't hide her disapproval, her eyebrows furrowing into a deep frown.",,
26,grin,/ɡrɪn/,He greeted us with a wide grin on his face.,,
27,spot,/spɑt/,He had a spot on his cheek before the party.,,
28,freckle,/ˈfrɛkəl/,"Her face was sprinkled with freckles, evidence of her time spent outdoors in the sun.",,
29,well-dressed,/ˌwɛlˈdrɛst/,"He always looks well-dressed, whether in casual wear or a formal suit.",,
30,race,/reɪs/,"While race can be a source of identity and pride for some, it has also been a source of division and oppression throughout history.",,
31,little,/ˈlɪtəl/,"Despite being little in stature, the gymnast displayed incredible flexibility and skill.",,
