order,word,phonetic,example,note,definition_en
1,war,/wɑr/,"The soldiers marched off to battle, prepared to defend their country in war.",,
2,peace,/piːs/,"After years of conflict, the region finally experienced a period of lasting peace and stability.",,
3,army,/ˈɑrmi/,The army conducted exercises to improve its combat readiness.,,
4,military,/ˈmɪlɪˌtɛri/,The military conducted a series of training exercises near the border.,,
5,force,/fɔrs/,The police force worked tirelessly to maintain law and order during the city-wide protests.,,
6,to obey,/oʊˈbeɪ/,Children are expected to obey their parents' instructions.,,
7,to order,/ˈɔrdɚ/,The general ordered the troops to advance to the front lines.,,
8,order,/ˈɔrdɚ/,The general issued a strict order to advance the troops.,,
9,commander,/kəˈmændɚ/,The commander briefed his team on the mission objectives and the strategic plan for the operation.,,
10,officer,/ˈɑfɪsɚ/,,,
11,conflict,/ˈkɑnflɪkt/,The soldiers engaged in a brief conflict at the border.,,
12,battle,/ˈbætl/,The decisive battle changed the course of the war.,,
13,to defeat,/dɪˈfiːt/,The army worked together to defeat the enemy in a decisive battle.,,
14,defeat,/dɪˈfiːt/,,,
15,attack,/əˈtæk/,The military launched a surprise attack on the enemy's base under the cover of darkness.,,
16,to attack,/əˈtæk/,The military decided to attack the enemy stronghold under the cover of darkness.,,
17,to defend,/dɪˈfɛnd/,The brave soldier defended the country during the battle.,,
18,defense,/dɪˈfɛns/,The nation increased its defense spending in response to regional tensions.,,
19,victory,/ˈvɪktəri/,,,
20,to guard,/ɡɑrd/,A dog is trained to guard the property and alert the owners to potential threats.,,
21,weapon,/ˈwepən/,The soldier carried a rifle as his primary weapon during combat.,,
22,gun,/ɡʌn/,The sound of a gun firing echoed across the shooting range.,,
23,bullet,/ˈbʊlɪt/,"The soldier loaded the bullet into his rifle, preparing for battle.",,
24,bomb,/bɑːm/,"The bomb exploded in the crowded market, causing widespread panic and chaos.",,
25,to fire,/ˈfaɪɚ/,The police officer is firing rounds to disperse the crowd.,,
26,to explode,/ɪkˈsploʊd/,"The fireworks exploded in the sky, lighting up the night.",,
27,to shoot,/ʃuːt/,The police officer had to shoot to defend against the armed suspect.,,
28,explosion,/ɪkˈsploʊʒən/,The explosion at the factory was caused by a malfunction in the chemical storage tanks.,,
29,enemy,/ˈɛnəmi/,"The enemy's stronghold was well-defended, presenting a daunting obstacle for the invading army to overcome.",,
30,to damage,/ˈdæmɪdʒ/,The storm's strong winds and hailstones damaged the roof of the house.,,
31,damage,/ˈdæmɪdʒ/,The hailstorm caused significant damage to the car's roof and windshield.,,
32,to bomb,/bɑːm/,"The government accused the other country of bombing our embassy, leading to a diplomatic crisis.",,
33,peaceful,/ˈpiːsfəl/,"The small village lived in peaceful isolation, untouched by the wars raging in surrounding lands.",,
34,bloody,/ˈblʌdi/,The historical battle was a bloody conflict that left a significant impact on the region.,,
35,dogfighter,/ˈdɑɡˌfaɪtɚ/,,,
36,to target,/ˈtɑrɡɪt/,The sniper carefully targeted the enemy officer from a concealed position.,,
37,destruction,/dɪˈstrʌkʃən/,The hurricane's destruction of the coastal town left many homes in ruins.,,
38,combat,"/ˈkɑmbæt/, /kəmˈbæt/",The soldiers were trained for combat in harsh environments.,,
39,missile,/ˈmɪsəl/,,,
40,shotgun,/ˈʃɑtˌɡʌn/,,,
41,gunshot,/ˈɡʌnˌʃɑt/,"During the training session, the recruits practiced the proper technique for a controlled and accurate gunshot.",,
42,gunfire,/ˈɡʌnˌfaɪɝ/,The soldiers took cover as the gunfire intensified from the opposing forces.,,
43,to question,/ˈkwɛsʧən/,"During the job interview, the employer questioned the candidate about their relevant experience.",,
