order,word,phonetic,example,note,definition_en
1,to admit,,,,
2,to advise,,,,
3,to aim,,,,
4,to announce,,,,
5,to apologize,,,,
6,to assist,,,,
7,to attach,,,,
8,to award,,,,
9,to bake,,,,
10,to bend,,,,
11,to benefit,,,,
12,to block,,,,
13,to bother,,,,
14,to bury,,,,
15,to center,,,,
16,to claim,,,,
17,to clear,,,,
18,to combine,,,,
19,to compliment,,,,
20,to concentrate,,,,
21,to conclude,,,,
22,to confirm,,,,
23,to confuse,,,,
24,to consist,,,,
25,to contact,,,,
26,to contrast,,,,
27,to convince,,,,
28,to define,,,,
29,to deliver,,,,
30,to determine,,,,
31,to divide,,,,
32,to doubt,,,,
33,to encourage,,,,
34,to belong,,,,
35,to expand,,,,
