order,word,phonetic,example,note,definition_en
1,apron,/ˈeɪprən/,"The baker wore a flour-dusted apron while kneading dough, ensuring her clothes stayed clean.",,
2,badge,/bæʤ/,She proudly pinned her volunteer badge to her jacket as she entered the community center.,,
3,bathrobe,/ˈbæθˌroʊb/,She wrapped herself in a plush bathrobe after a relaxing bubble bath.,,
4,bikini,/bɪˈkiːni/,"Before heading to the beach, she carefully selected a flattering bikini from her collection.",,
5,cardigan,/ˈkɑrdɪɡən/,She layered her floral dress with a chunky knit cardigan for warmth.,,
6,helmet,/ˈhɛlmɪt/,The construction worker wore a bright yellow safety helmet before entering the site.,,
7,mask,/mæsk/,She wore a mask to the masquerade ball.,,
8,masquerade,/ˌmæskəˈreɪd/,She wore a stunning red gown and a feathered mask to the masquerade ball.,,
9,miniskirt,/ˈmɪniˌskɝːt/,She paired her favorite miniskirt with a cropped top for a casual yet trendy look.,,
10,jersey,/ˈʤɝːzi/,He pulled on his favorite gray jersey for a casual day at the office.,,
11,sandal,/ˈsændəl/,She slipped on her comfortable leather sandals for a beach stroll.,,
12,vest,/vɛst/,He wore a crisp white shirt and a charcoal gray vest under his suit jacket for the wedding.,,
13,fabric,/ˈfæbrɪk/,The dress was made from a luxurious silk fabric that shimmered in the light.,,
14,denim,/ˈdɛnɪm/,She slipped into her favorite pair of denim jeans before heading out for a casual evening with friends.,,
15,lace,/leɪs/,"She adorned her wedding gown with beautiful lace, giving it a timeless and elegant look.",,
16,lining,/ˈlaɪnɪŋ/,"The lining of her winter coat was made of soft, quilted material to keep her warm.",,
17,silk,/sɪlk/,"She draped a silk scarf around her neck, enjoying the cool, smooth texture against her skin.",,
18,hood,/hʊd/,She pulled up the hood of her sweatshirt to shield herself from the unexpected rain.,,
19,zipper,/ˈzɪpɚ/,"She struggled to pull up the zipper on her new dress, realizing it was slightly too tight.",,
20,collection,/kəˈlɛkʃən/,"The designer unveiled her latest collection at Paris Fashion Week, stunning the audience with her innovative designs.",,
21,costume,"/ˈkɑstuːm/ , /ˈkɑstjum/",The museum exhibit showcased traditional costumes from various regions of the world.,,
22,designer,/dɪˈzaɪnɚ/,He aspired to become a famous designer and enrolled in a prestigious fashion school.,,
23,modeling,/ˈmɑdlɪŋ/,"She started her modeling career at a young age, walking the runway for major fashion brands.",,
24,outfit,/ˈaʊtˌfɪt/,"She carefully selected her outfit for the interview, wanting to make a good impression.",,
25,wardrobe,/ˈwɔrdˌroʊb/,"She decided to organize her wardrobe, sorting her clothes by season and color.",,
26,to dress up,/drɛs ʌp/,"They decided to dress up for the elegant gala, donning evening gowns and tuxedos.",,
27,to match,/mætʃ/,"She bought shoes that perfectly matched her handbag, completing her outfit.",,
28,casual,/ˈkæʒuəl/,"She prefers casual attire for her weekends, often opting for jeans and t-shirts.",,
29,glamorous,/ˈɡlæmərəs/,She looked absolutely glamorous in her evening gown and sparkling jewelry.,,
30,matching,/ˈmæʧɪŋ/,"The couple wore matching outfits for their anniversary dinner, both dressed in shades of blue.",,
31,plain,/pleɪn/,She preferred plain dresses with minimal embellishments.,,
32,sporty,/ˈspɔrti/,She opted for a sporty look with a fitted tracksuit and sleek running shoes.,,
33,striped,/straɪpt/,She wore a striped shirt with alternating lines of blue and white.,,
34,stylish,/ˈstaɪlɪʃ/,The boutique specializes in offering stylish clothing and accessories for fashion-forward individuals.,,
35,undressed,/ʌnˈdrɛst/,The baby giggled happily as she ran around undressed in the backyard.,,
36,wooly,/ˈwʊli/,She knitted a wooly scarf for her friend as a birthday gift.,,
