order,word,phonetic,example,note,definition_en
1,unwieldy,/ənˈwiɫdi/,She struggled to control the unwieldy shopping cart as it veered in different directions.,,
2,hefty,/ˈhɛfti/,"After the workout, she lifted a hefty dumbbell to strengthen her arm muscles.",,
3,cumbersome,/ˈkəmbɝsəm/,Carrying the cumbersome boxes up the stairs was exhausting.,,
4,unyielding,/ənˈjiɫdɪŋ/,"The unyielding steel structure of the bridge withstood the powerful forces of the storm, remaining intact.",,
5,wobbly,/ˈwɑbəɫi/,"The newborn giraffe took its first wobbly steps, getting used to the long legs that would soon carry it with grace.",,
6,tenuous,/ˈtɛnjəwəs/,The spider's web was so tenuous that even the slightest breeze could break it.,,
7,rugged,/ˈɹəɡəd/,"The backpacker invested in a rugged tent, ensuring it could withstand the unpredictable weather conditions during the wilderness expedition.",,
8,steadfast,/ˈstɛdˌfæst/,"Despite the strong winds, the tree remained steadfast, firmly rooted in the ground.",,
9,ponderous,/ˈpɑndɝəs/,The ponderous sofa wouldn't fit through the narrow hallway.,,
10,unfaltering,/ʌnfˈɑːltɚɹɪŋ/,"Despite facing criticism, she remained unfaltering in her pursuit of her dreams.",,
11,unwavering,/ənˈweɪvɝɪŋ/,"Despite the storm's fury, his unwavering resolve kept him moving forward.",,
12,tensile,/ˈtɛnsəɫ/,"The silk thread is highly tensile, allowing it to stretch without snapping.",,
13,indestructible,/ˌɪndəˈstɹəktɪbəɫ/,The superhero's indestructible shield deflected all attacks.,,
