order,word,phonetic,example,note,definition_en
1,period,,,,
2,term,,,,
3,while,,,,
4,daytime,,,,
5,nighttime,,,,
6,daylight,,,,
7,midday,,,,
8,at times,,,,
9,continuous,,,,
10,continuously,,,,
11,ahead of time,,,,
12,late,,,,
13,to last,,,,
14,to take,,,,
15,punctual,,,,
16,throughout,,,,
17,sudden,,,,
18,regularly,,,,
19,regular,,,,
20,immediate,,,,
21,eventually,,,,
22,afterward,,,,
23,ago,,,,
24,all the time,,,,
25,far,,,,
26,hourly,,,,
27,instantly,,,,
28,present,,,,
29,past,,,,
30,future,,,,
31,already,,,,
32,currently,,,,
33,ever,,,,
34,forever,,,,
35,just,,,,
36,meanwhile,,,,
37,previously,,,,
38,away,,,,
39,near,,,,
40,irregular,,,,
