order,word,phonetic,example,note,definition_en
1,accessible,/əkˈsɛsəbəl/,The wheelchair ramp made the building more accessible to people with mobility impairments.,,
2,analog,/ˈænəˌlɑɡ/,The record player uses analog technology to reproduce sound from vinyl records.,,
3,antivirus,/ˌæntiˈvaɪrəs/,The new antivirus software boasts advanced features for protecting systems from malicious viruses and malware.,,
4,compatible,/kəmˈpætəbəl/,"The new printer is compatible with both Windows and Mac operating systems, ensuring flexibility for users.",,
5,down,/daʊn/,"The company's website was down for maintenance, causing inconvenience for online shoppers.",,
6,interactive,/ˌɪntɚˈæktɪv/,The educational software offers interactive lessons that engage students in active learning.,,
7,Bluetooth,/ˈbluːˌtuθ/,The Bluetooth technology in my car allows me to connect my phone and stream music wirelessly while driving.,,
8,Blu-ray,/ˈbluːˌreɪ/,We watched the latest blockbuster movie on Blu-ray for the best audio and video quality.,,
9,USB,/ˌjuːɛsˈbiː/,I transferred the files from my USB drive to my computer to back them up.,,
10,byte,/baɪt/,"The text file is 1 megabyte in size, which is equivalent to 8 million bytes.",,
11,kilobyte,/ˈkɪləˌbaɪt/,"The text document is only a few kilobytes in size, making it easy to send via email.",,
12,megabyte,/ˈmɛɡəˌbaɪt/,"The high-resolution image file is 5 megabytes in size, containing thousands of kilobytes of data.",,
13,gigabyte,/ˈɡɪɡəˌbaɪt/,"The hard drive has a storage capacity of 1 terabyte, equivalent to 1024 gigabytes of data.",,
14,terabyte,/ˈtɛrəˌbaɪt/,"The external hard drive can store up to 4 terabytes of data, providing ample space for backups and archives.",,
15,backup,/ˈbækˌʌp/,It's important to create regular backups of your files to prevent data loss in case of a computer crash.,,
16,storage,/ˈstɔrɪʤ/,Cloud storage services allow users to access their files from anywhere with an internet connection.,,
17,flash drive,/ˈflæʃ ˌdraɪv/,I transferred the presentation to a flash drive so that I could easily share it with my colleagues.,,
18,hard disk drive,/ˈhɑrd ˈdɪsk ˌdraɪv/,The computer's hard disk drive is running out of space due to the large amount of data stored on it.,,
19,cyberspace,/ˈsaɪbɚˌspeɪs/,"With the rise of social media platforms, interactions in cyberspace have become increasingly common.",,
20,data processing,/ˈdeɪtə ˈprɑsɛsɪŋ/,The company invested in advanced data processing software to streamline its operations and improve efficiency.,,
21,default,/dɪˈfɑlt/,"The email client automatically sends messages to the ""Spam"" folder by default unless the user specifies otherwise.",,
22,cursor,/ˈkɝsɚ/,Move the cursor to the desired location and click to select.,,
23,display,/dɪˈspleɪ/,"The store had a wide selection of displays, ranging from high-definition monitors to large-screen televisions.",,
24,drop-down menu,/ˈdrɑp ˌdaʊn ˈmɛnjuː/,"To select your preferred language, click on the drop-down menu at the top right corner of the screen.",,
25,hacker,/ˈhækɚ/,The hacker gained unauthorized access to the company's database and stole sensitive information.,,
26,help desk,/ˈhɛlp ˌdɛsk/,The help desk provides technical assistance to employees experiencing computer-related issues.,,
27,interface,/ˈɪntɚˌfeɪs/,"The interface of the new software is user-friendly and intuitive, making it easy for beginners to navigate.",,
28,microprocessor,/ˈmaɪkroʊˌprɑsɛsɚ/,The Intel Core i7 is a powerful microprocessor commonly found in high-end desktop computers.,,
29,multimedia,/ˌmʌltiˈmiːdiə/,"Multimedia presentations engage audiences by incorporating various elements like images, animations, and sound effects.",,
30,personal computer,/pˈɜːsənəl kəmpjˈuːɾɚ/,The PC on his desk is equipped with a high-performance processor and ample storage for his work tasks.,,
31,workstation,/ˈwɝkˌsteɪʃən/,The graphic designer's workstation is equipped with a high-resolution monitor and powerful graphics card for handling complex design projects.,,
32,spreadsheet,/ˈsprɛdˌʃiːt/,"The accountant used a spreadsheet to track expenses, revenue, and profits for the fiscal year.",,
33,to computerize,/kəmˈpjuːtəˌraɪz/,The company decided to computerize its inventory management system to improve efficiency.,,
34,to encode,/ɛnˈkoʊd/,Computer programmers encode sensitive information to protect it from unauthorized access.,,
35,to format,/ˈfɔrˌmæt/,I need to format my external hard drive before transferring files to it.,,
36,to load,/loʊd/,The software engineer needs to load the updated application into the server for testing.,,
37,to retrieve,/rɪˈtriːv/,The IT specialist was able to retrieve the lost files from the backup server.,,
38,to upgrade,/ˈʌpˌɡreɪd/,The company upgrades its software regularly to enhance performance.,,
39,to game,/ɡeɪm/,"Every Friday night, we gather at Tom's house to game together.",,
40,random-access memory,/ɹˈændəmˈæksɛs mˈɛmɚɹi/,The new gaming laptop boasts 16GB of RAM for smooth multitasking and faster loading times.,,
41,solid-state drive,/sˈɑːlɪdstˈeɪt dɹˈaɪv/,Upgrading to an SSD drastically improved the computer's boot time and application loading speed.,,
42,Domain Name System,/doʊˈmeɪn neɪm ˈsɪstəm/,"The Domain Name System (DNS) translates domain names into IP addresses, allowing users to access websites by typing in human-readable URLs.",,
