order,word,phonetic,example,note,definition_en
1,to hold,/hoʊld/,They held candles during the power outage.,,
2,to identify,/aɪˈdɛntəˌfaɪ/,The detective easily identifies the suspect from the security footage.,,
3,to involve,/ɪnˈvɑlv/,It’s crazy to make these changes without involving the students.,,
4,to joke,/dʒoʊk/,He joked about the funny incident that happened earlier.,,
5,to knock,/nɑk/,She had to knock on the door to announce her arrival.,,
6,to lead,/liːd/,The tour guide led us through the museum.,,
7,to lift,/lɪft/,"Every morning, she lifts weights at the gym for strength training.",,
8,to light,/laɪt/,She lit the candles on the birthday cake with a match.,,
9,to link,/lɪŋk/,"The bridge links the island to the mainland, providing a route for vehicles and pedestrians.",,
10,to lock,/lɑk/,"Before leaving, he had to lock the front door to ensure the security of the house.",,
11,to mark,/mɑrk/,Please use a pencil to mark the location where the measurements should be taken.,,
12,to matter,/ˈmætɚ/,It doesn't matter what time you arrive; the event will still start at 7 PM.,,
13,to mention,/ˈmɛnʃən/,"During the meeting, please mention any concerns or suggestions you may have.",,
14,to mind,/maɪnd/,"I don't mind if you borrow my book, just please return it when you're done.",,
15,to number,/ˈnʌmbɚ/,The teacher numbered the pages of the exam to ensure they were in the correct order.,,
16,to organize,/ˈɔrɡəˌnaɪz/,I organize the annual charity event for our community.,,
17,to own,/oʊn/,She currently owns a small business in the downtown area.,,
18,to pack,/pæk/,"Before the trip, she had to pack her suitcase with essentials.",,
19,to photograph,/ˈfoʊtəˌɡræf/,He photographs street scenes in urban areas.,,
20,to predict,/prɪˈdɪkt/,The meteorologist predicted rain for the weekend based on weather patterns.,,
21,to present,/prɪˈzɛnt/,He decided to present his sister with a beautiful necklace for her birthday.,,
22,to prevent,/prɪˈvɛnt/,The security guard prevented the unauthorized person from entering the building.,,
23,to print,/prɪnt/,I printed the document on a piece of paper so I could review it later.,,
24,to promise,/ˈprɑmɪs/,He promised to help her with the project last week.,,
25,to race,/reɪs/,The children race each other to the tree.,,
26,to shut,/ʃʌt/,"Before going to bed, she had to shut all the windows to keep the cold air out.",,
27,to guide,/ɡaɪd/,The map will guide you to the destination.,,
28,to kill,/kɪl/,The hunter aimed carefully to kill the deer for food.,,
29,to set,/sɛt/,She set the computer to mute.,,
30,to park,/pɑrk/,"After circling the block for several minutes, she finally found a spot to park her car.",,
