order,word,phonetic,example,note,definition_en
1,communication,,,,
2,conversation,,,,
3,opinion,,,,
4,talk,,,,
5,call,,,,
6,cell phone,,,,
7,argument,,,,
8,discussion,,,,
9,fight,,,,
10,letter,,,,
11,mail,,,,
12,envelope,,,,
13,to say,,,,
14,to tell,,,,
15,to discuss,,,,
16,to visit,,,,
17,to reply,,,,
18,to argue,,,,
19,to mail,,,,
20,together,,,,
21,calmly,,,,
22,alone,,,,
23,social,,,,
24,to send,,,,
25,to receive,,,,
26,to understand,,,,
27,to misunderstand,,,,
28,to agree,,,,
29,to disagree,,,,
30,to accept,,,,
31,to reject,,,,
32,all right,,,,
33,statement,,,,
34,wow,,,,
35,ah,,,,
36,oh,,,,
37,yeah,,,,
38,hey,,,,
39,note,,,,
40,invitation,,,,
41,to communicate,,,,
42,to complain,,,,
43,to invite,,,,
44,to pronounce,,,,
