order,word,phonetic,example,note,definition_en
1,to accelerate,/əkˈsɛləreɪt/,"As technological advancements continue, the demand for skilled programmers is expected to accelerate.",,
2,to accumulate,/əkˈjumjəˌɫeɪt/,"Over the years, he has accumulated a vast collection of rare stamps from all over the world.",,
3,to appreciate,/əˈpriːʃiˌeɪt/,The value of their home has appreciated significantly over the past decade.,,
4,to bring about,/bɹˈɪŋ ɐbˈaʊt/,The negotiations brought about a resolution to the conflict.,,
5,to convert,/ˈkɑnvərt/,The liquid converts into a gas when exposed to high temperatures.,,
6,to deteriorate,/dɪˈtɪɹiɝˌeɪt/,"If left untreated, metal exposed to harsh weather can deteriorate over time.",,
7,to ensue,/ɪnˈsu/,A heated argument ensued after the controversial decision was announced.,,
8,to grow,/ɡroʊ/,The company's profits continue to grow steadily.,,
9,to induce,/ˌɪnˈdus/,The medication can induce drowsiness in patients.,,
10,to plunge,/ˈpɫəndʒ/,"As winter set in, the temperature plunged overnight, bringing an unexpected frost.",,
11,to provoke,/prəˈvoʊk/,"The unexpected news had the power to provoke a range of emotions, from surprise to disbelief.",,
12,to rally,/ˈɹæɫi/,"After a steep drop, the stock market began to rally, giving investors hope for a recovery.",,
13,to rocket,/ˈɹɑkət/,The price of crude oil rocketed after the announcement of the supply cut.,,
14,to sink,/sɪŋk/,"After the economic downturn, the value of the currency began to sink.",,
15,to stem from,/stˈɛm fɹʌm/,The economic downturn stems from global market fluctuations.,,
16,to surge,/ˈsɝdʒ/,"After a positive earnings report, the company's stock surged by 20% in a single day.",,
17,to underlie,/ˌəndɝˈɫaɪ/,Cultural traditions underlie many of the festivals and celebrations we see around the world.,,
18,to shoot up,/ʃˈuːt ˈʌp/,"After the release of their new product, the company's stock prices shot up.",,
19,to swap,/ˈswɑp/,They decided to swap books to diversify their reading choices.,,
20,adverse,"/ˈædˌvɝs/, /ædˈvɝs/, /ədˈvɝs/",The adverse effects of smoking on health are well-documented.,,
21,causal,/ˈkɔzəɫ/,The experiment aims to determine whether there is a causal connection between diet and heart disease.,,
22,causative,"/ˈkɑzətɪv/, /ˈkɔzətɪv/",The doctor explained that smoking is a causative factor in many respiratory diseases.,,
23,consequent,/ˈkɑnsəkwənt/,The heavy rainfall and consequent flooding caused severe damage to the town.,,
24,influential,/ˌɪnfɫuˈɛnʃəɫ/,Her influential speeches inspired many people to take action for social change.,,
25,irreversible,/ˌɪɹɪˈvɝsəbəɫ/,Smoking can cause irreversible damage to the lungs over many years.,,
26,marginal,/ˈmɑɹdʒənəɫ/,The impact of the proposed changes on productivity was marginal.,,
27,substantial,/səbˈstænʃəɫ/,The company made a substantial investment in upgrading its infrastructure.,,
28,thereby,/ˈðɛɹˈbaɪ/,"She followed a healthy diet, thereby improving her overall well-being.",,
29,aftermath,/ˈæf.tɚ.mæθ/,The aftermath of the earthquake left the city in ruins and thousands of people homeless.,,
30,contributor,/kənˈtrɪbjətɚ/,Regular exercise is a significant contributor to overall health and well-being.,,
31,downturn,/ˈdaʊnˌtɝn/,"The global pandemic caused a severe economic downturn, affecting businesses worldwide.",,
32,leap,/ˈɫip/,The announcement of the new product caused a significant leap in the company's stock price.,,
33,recovery,/rɪˈkʌvɚi/,The economy is showing signs of recovery after the recession.,,
34,side effect,/sˈaɪd ɪfˈɛkt/,"The new policy aimed to boost economic growth, but an unintended side effect was increased inflation.",,
35,to weather,/ˈwɛðɚ/,"The wooden fence weathered over time, developing a rustic grey patina.",verb,
36,to weather,/ˈwɛðɚ/,"The constant exposure to sunlight weathered the wooden deck, turning it a silvery gray.",verb,
37,meaningful,/ˈminɪŋfəɫ/,She gave her grandmother a meaningful gift that brought tears to her eyes.,,
38,to rehash,/ˌriˈhæʃ/,We don't need to rehash that old argument again.,,
