order,word,phonetic,example,note,definition_en
1,driving school,/dɹˈaɪvɪŋ skˈuːl/,She enrolled in a driving school to prepare for her driving test and get her license.,,
2,license number,/lˈaɪsəns nˈʌmbɚ/,He wrote down the license number of the car that was parked in front of his driveway.,,
3,motor vehicle,/mˈoʊɾɚ vˈiəkəl/,"He drove his motor vehicle to work every day, using it for his daily commute.",,
4,bumper,/ˈbəmpɝ/,She noticed a small dent on the rear bumper from a previous accident.,,
5,emergency brake,/ɪmˈɜːdʒənsi bɹˈeɪk/,He pulled the emergency brake to stop the car from rolling down the hill.,,
6,hood,/hʊd/,He popped the hood of the car to check the engine after it started making strange noises.,,
7,plate,/pleɪt/,She customized her car's plate with a personalized message for a unique touch.,,
8,safety belt,/sˈeɪfti bˈɛlt/,She fastened her safety belt before starting the car to ensure she was protected in case of an accident.,,
9,tailpipe,/ˈteɪɫˌpaɪp/,The mechanic examined the tailpipe for signs of exhaust leaks or corrosion.,,
10,tank,/ˈtæŋk/,He filled up the tank with gasoline before starting his road trip across the country.,,
11,tire,/ˈtaɪɝ/,She noticed the tread on her tires was worn down and decided it was time for a replacement.,,
12,trunk,/trʌŋk/,They packed their suitcases in the trunk of the car before heading to the airport.,,
13,turn signal,/ˈtɝn sˈɪɡnəl/,"Before merging into the next lane, she activated her turn signal to alert other drivers.",,
14,windshield,/ˈwɪndˌʃiɫd/,The windshield was cracked after the stone hit it during the drive.,,
15,windshield wiper,/wˈɪndʃiːld wˈaɪpɚ/,She turned on the windshield wiper to clear the heavy rain from the windshield during the storm.,,
16,crash,/ˈkɹæʃ/,The crash on the highway caused a major traffic delay and required emergency response.,,
17,bend,/bɛnd/,Be cautious when cycling around the blind bend ahead.,,
18,crossing,/ˈkɹɔsɪŋ/,"The traffic light turned green, allowing vehicles to proceed through the busy crossing.",,
19,intersection,/ˌɪntɝˈsɛkʃən/,"The traffic light at the intersection changed to red, stopping cars from all directions.",,
20,U-turn,/ˈjuˌtɝn/,He made a U-turn in the intersection after realizing he had missed his destination.,,
21,global positioning system,/ɡlˈoʊbəl pəzˈɪʃənɪŋ sˈɪstəm/,She used her GPS to find the quickest route to her destination during the road trip.,,
22,rush hour,/ɹˈʌʃ ˈaɪʊɹ/,She left the house early to avoid the rush hour traffic on her way to the office.,,
23,speeding,/ˈspidɪŋ/,He was fined for speeding on the highway.,,
24,to brake,/ˈbɹeɪk/,The cyclist had to quickly brake to avoid colliding with the pedestrian crossing the street.,,
25,to exit,"/ˈɛɡzɪt/, /ˈɛksət/","After the movie ended, the audience began to exit the theater.",,
26,to pull up,/pˈʊl ˈʌp/,"The limousine pulled up, and a famous celebrity stepped out.",,
27,to navigate,/ˈnævɪˌɡeɪt/,She helped the driver navigate by providing turn-by-turn directions.,,
28,to rush,/rʌʃ/,"When the fire alarm sounded, the students had to rush out of the building in an orderly manner.",,
29,to slow,/sloʊ/,The driver slowed the car as they approached the intersection.,,
30,to fuel,/ˈfjuːəl/,He fueled the car by adding gasoline at the gas station.,,
31,progress,"/ˈprɑːɡrɛs/ , /ˈproʊɡrɛs/",The GPS showed their progress as they traveled along the highway.,,
32,steering wheel,/stˈɪɹɪŋ wˈiːl/,She adjusted the steering wheel to a comfortable position before starting her drive.,,
33,handlebar,/ˈhændəɫˌbɑɹ/,He adjusted the handlebar height to make his bike more comfortable to ride.,,
34,zebra crossing,/zˈiːbɹə kɹˈɔsɪŋ/,"She waited at the zebra crossing until the traffic stopped, allowing her to cross the street safely.",,
35,gearshift,/ɡˈɪɹʃɪft/,She shifted the gearshift into first gear as she started driving up the steep hill.,,
36,stoplight,/ˈstɑˌpɫaɪt/,"The driver in front of her tapped the brakes, causing the stoplights to flash brightly.",,
37,road rage,/ɹˈoʊd ɹˈeɪdʒ/,He experienced road rage when another driver cut him off and responded with angry gestures.,,
