order,word,phonetic,example,note,definition_en
1,pilot,/ˈpaɪlət/,A good pilot always ensures the safety of their passengers.,,
2,boss,/bɔs/,I'll have to check with my boss before I can confirm.,,
3,business,/ˈbɪznɪs/,I am interested in the business of filmmaking.,,
4,businessman,/ˈbɪznɪsˌmæn/,Being a businessman requires a certain level of risk-taking.,,
5,businesswoman,/ˈbɪznɪsˌwʊmən/,"Being a business woman and a mother is not easy, but she handles it with grace.",,
6,expert,/ˈɛkspɝt/,She is an expert in photography and takes stunning pictures.,,
7,manager,/ˈmænɪdʒɚ/,"As the manager, she conducts weekly meetings with her team.",,
8,assistant,/əˈsɪstənt/,He is the assistant manager at the local grocery store.,,
9,receptionist,/rɪˈsɛpʃənɪst/,I left a message with the receptionist.,,
10,detective,/dɪˈtɛktɪv/,He is a private detective hired to find the missing jewelry.,,
11,model,/ˈmɑdəl/,James works as a part-time model while studying at the university.,,
12,cook,/kʊk/,"As a cook, he knows many delicious recipes.",,
13,pharmacist,/ˈfɑrməsɪst/,"After graduating from college, she became a licensed pharmacist.",,
14,journalist,/ˈdʒɝnəlɪst/,A journalist must always verify the facts before writing a story.,,
15,writer,/ˈraɪtɚ/,He's a writer who focuses on science fiction.,,
16,singer,/ˈsɪŋɚ/,He's a famous singer known for his rock music.,,
17,professor,/prəˈfɛsɚ/,He is a professor of physics at a renowned university.,,
18,researcher,/ˈriˌsɝʧɚ/,A researcher must be thorough and patient in their work.,,
19,hairdresser,/ˈhɛrˌdrɛsɚ/,I trust my hairdresser to choose the best look for me.,,
20,designer,/dɪˈzaɪnɚ/,"As a graphic designer, he creates logos for businesses.",,
21,cleaner,/ˈklinɚ/,"As a cleaner, he has to arrive at the office early in the morning.",,
22,painter,/ˈpeɪntɚ/,"As a painter, he must have different brushes for different surfaces.",,
23,instructor,/ɪnˈstrʌktɚ/,I took my driving test after ten lessons with my instructor.,,
24,employment,/ɪmˈplɔɪmənt/,"After a long period of unemployment, he finally found steady employment.",,
25,department,/dɪˈpɑrtmənt/,He's applying for a job in the legal department of that firm.,,
26,payment,/ˈpeɪmənt/,His monthly payment for the loan is $200.,,
27,shift,/ʃɪft/,"After a long night shift, she was tired and went straight to bed.",,
28,bonus,/ˈboʊnəs/,Our bonus is calculated based on our performance ratings.,,
29,to employ,/ɪmˈplɔɪ/,Are you planning to employ any interns this summer?,,
30,to retire,/rɪˈtaɪɚ/,"After working for 30 years, she finally retired.",,
31,successful,/səkˈsɛsfəl/,"After years of practice, he became a successful musician.",,
32,employer,/ɪmˈplɔɪɚ/,She found a new job with a reputable employer who offered competitive benefits and opportunities for advancement.,,
33,company,/ˈkʌmpəni/,He invested his savings in a small startup company.,,
34,factory,/ˈfæktɚi/,The automobile factory produces thousands of cars each month.,,
