order,word,phonetic,example,note,definition_en
1,fishing,/ˈfɪʃɪŋ/,Fishing in the early morning is often more successful.,,
2,to fish,/fɪʃ/,I love to fish on sunny days at the lake.,,
3,walk,/wɑːk/,A morning walk is a good way to start the day.,,
4,yoga,/ˈjoʊɡə/,Doing yoga by the beach is very peaceful.,,
5,ball game,/ˈbaːl ˌɡeɪm/,He never misses a ball game on TV.,,
6,card game,/ˈkɑːrd ˌɡeɪm/,"During the holidays, we have a family tradition of playing a card game.",,
7,table tennis,/ˈteɪbəl ˌtɛnɪs/,"During our office break, we often play table tennis.",,
8,barbecue,/ˈbɑːrbɪˌkjuː/,"During summer, we often enjoy a family barbecue at the park.",,
9,camp,/kæmp/,We set up camp near the lake for our weekend getaway.,,
10,camping,/ˈkæmpɪŋ/,Camping in the wilderness can be a great adventure.,,
11,campsite,/ˈkæmpˌsaɪt/,It's important to keep the campsite clean.,,
12,club,/klʌb/,"He likes to dance, so he often visits the club near his apartment.",,
13,party,/ˈpɑrti/,Everyone brought a dish to the potluck party.,,
14,picnic,/ˈpɪkˌnɪk/,Don't forget to clean up after your picnic to keep the area tidy.,,
15,tent,/tɛnt/,"At the end of the trip, we folded the tent and put it back in its bag.",,
16,shower,/ˈʃaʊɚ/,"Every morning, I start my day with a hot shower.",,
17,bath,/bæθ/,"After a hard day, a warm bath can be soothing.",,
18,laundry,/ˈlɑːndri/,Don't forget to check your pockets before putting clothes in the laundry.,,
19,bored,/bɔːrd/,He's bored because he has nothing to do at home.,,
20,surprising,/sɚˈpraɪzɪŋ/,His sudden decision to quit his job was quite surprising.,,
21,enjoyable,/ɪnˈdʒɔɪəbəl/,Cooking can be an enjoyable activity if you take your time.,,
22,delightful,/dɪˈlaɪtfəl/,I found the book to be a delightful read.,,
23,pleased,/pliːzd/,He was pleased by the warm welcome he received.,,
24,cooking,/ˈkʊkɪŋ/,He found cooking to be a great stress-reliever.,,
25,fun,/fʌn/,Our trip to the zoo was full of fun and excitement.,,
26,cleaning,/ˈkliːnɪŋ/,"After the party, the kitchen needed a deep cleaning.",,
27,to begin,/bɪˈɡɪn/,Let's begin the cooking process by chopping the vegetables.,,
28,to end,/ɛnd/,Let's end this meeting now and reconvene next week.,,
29,to relax,/rɪˈlæks/,"After a long day at work, I like to relax with a good book.",,
30,to smoke,/smoʊk/,"Despite the warnings, he continues to smoke.",,
31,dance,/dæns/,Learning a new dance can be challenging but fun.,,
32,water park,/ˈwɑːtɚ ˌpɑːrk/,"After a long day at the water park, we were all tired but happy.",,
33,to celebrate,/ˈsɛləˌbreɪt/,"Every year, they celebrate their anniversary by going out for a romantic dinner.",,
34,toy,/tɔɪ/,He had a collection of toys and loved pretending they were alive.,,
