order,word,phonetic,example,note,definition_en
1,amber,/ˈæmbɚ/,The sky turned an amber hue as the sun began to set.,,
2,emerald,/ˈɛmərəld/,"She wore a stunning emerald dress to the gala, catching everyone's eye.",,
3,ruby,/ˈruːbi/,Her lips were painted a vibrant ruby shade for the special occasion.,,
4,turquoise,/ˈtɝːkwɔɪz/,She wore a stunning turquoise dress that matched the color of the ocean.,,
5,beige,/beɪʒ/,She painted the walls of her living room a soothing beige color to create a warm and inviting atmosphere.,,
6,bronze,/brɑnz/,The sunset painted the sky with a soft bronze glow.,,
7,burgundy,/ˈbɝːɡəndi/,She wore a stunning burgundy gown to the gala event.,,
8,chestnut,/ˈʧɛstˌnʌt/,Her chestnut hair cascaded down her shoulders in loose waves.,,
9,creamy,/ˈkriːmi/,The creamy walls of the living room gave it a warm and inviting feel.,,
10,ebony,/ˈɛbəni/,The night sky was studded with stars against the ebony backdrop.,,
11,hazel,/ˈheɪzəl/,"The autumn leaves had a hazel tint, creating a warm and inviting atmosphere.",,
12,khaki,/ˈkæki/,The soldiers wore khaki uniforms to blend in with the desert landscape.,,
13,olive,/ˈɑlɪv/,She painted her bedroom walls in a calming olive shade to create a peaceful atmosphere.,,
14,scarlet,/ˈskɑrˌlɪt/,"With a scarlet dress, she captivated the gala attendees as she gracefully entered the room.",,
15,sea-green,/ˈsiːˌɡriːn/,"The sea-green dress she wore complemented her eyes, shimmering like the ocean under the moonlight.",,
16,sky-blue,/ˈskaɪˌbluː/,"The sky-blue curtains billowed gently in the breeze, casting a soft glow across the room.",,
17,coal-black,/ˈkoʊlˌblæk/,"The cat's fur was coal-black, blending seamlessly into the shadows of the night.",,
18,snow-white,/ˈsnoʊˌwaɪt/,"The snow-white clouds floated lazily across the azure sky, creating a picturesque scene.",,
19,subtle,/ˈsʌtəl/,The artist used subtle brushstrokes to create a sense of depth and movement in the painting.,,
20,transparent,/trænsˈpɛrənt/,"The glass was so transparent that it was almost invisible, allowing a clear view of the garden beyond.",,
21,vibrant,/ˈvaɪbrənt/,"The vibrant colors of the sunset painted the sky in hues of orange, pink, and purple.",,
22,dull,/dʌl/,"His artwork used a palette of dull earth tones, evoking a sense of nostalgia.",,
23,contrast,/ˈkɑnˌtræst/,The painting used a stark contrast between light and shadow to create a dramatic effect.,,
24,arch,/ɑrtʃ/,The old stone bridge featured a beautiful arch that spanned the river.,,
25,circular,/ˈsɝːkjəlɚ/,"The table had a circular top, allowing for easy conversation among the dinner guests.",,
26,cone,/koʊn/,The traffic cones were placed along the road to redirect vehicles during the construction work.,,
27,curl,/kɝːl/,"She had a perfect curl in her hair, framing her face beautifully.",,
28,cylinder,/ˈsɪləndɚ/,"The glass on the table was in the shape of a tall, slender cylinder.",,
29,dimension,/daɪˈmɛnʃən/,The architect carefully considered every dimension of the building to ensure it fit seamlessly into the surrounding landscape.,,
30,right angle,/ˈraɪt ˈæŋɡəl/,"To construct a square, each corner must form a perfect right angle.",,
31,fragile,/ˈfræʤəl/,"The butterfly's wings were fragile, thin and translucent in the sunlight.",,
32,immense,/ɪˈmɛns/,The Grand Canyon's immense size and breathtaking beauty attract millions of visitors each year.,,
33,intact,/ɪnˈtækt/,"The ancient artifact was discovered buried in the ground, remarkably intact after centuries.",,
34,invisible,/ɪnˈvɪzəbəl/,The invisible ink on the paper only became visible when exposed to heat.,,
35,linear,/ˈlɪniɚ/,"During the hike, the trail cut straight through the forest in a clean, linear path toward the peak in the distance.",,
36,spiral,/ˈspaɪrəl/,The staircase in the old mansion featured an elegant spiral that ascended to the upper floors.,,
37,minute,/ˈmɪnɪt/,"The scientist discovered a new species of insect with minute wings, barely visible to the naked eye.",,
38,rear,/rɪr/,The rear entrance of the building provided discreet access for employees.,,
