order,word,phonetic,example,note,definition_en
1,ailment,/ˈeɪlmənt/,She visited the doctor to discuss her persistent stomach ailment.,,
2,agony,/ˈæɡəni/,The patient endured the agony of chronic migraines for years.,,
3,syndrome,/ˈsɪndroʊm/,Down syndrome is a genetic disorder characterized by intellectual disability and distinctive facial features.,,
4,acute,/əˈkjut/,"The patient experienced acute pain in their chest, prompting an immediate visit to the emergency room.",,
5,chronic,/ˈkrɑnɪk/,Mary's chronic asthma requires daily medication to control her symptoms.,,
6,contagious,/kənˈteɪdʒəs/,"COVID-19 is highly contagious, spreading easily among individuals in crowded places.",,
7,breathless,/ˈbrɛθləs/,The asthma attack left him feeling breathless and struggling for air.,,
8,dizzy,/ˈdɪzi/,She felt dizzy and lightheaded after standing up too quickly.,,
9,fatal,/ˈfeɪtəl/,"The car accident caused fatal injuries to the driver, resulting in their death at the scene.",,
10,feverish,/ˈfivərɪʃ/,She felt feverish and had chills after coming down with the flu.,,
11,swollen,/ˈswoʊlən/,"After twisting her ankle, Sarah's foot became swollen and painful.",,
12,asthma,/ˈæzmə/,Asthma is a chronic lung disease characterized by inflammation and narrowing of the airways.,,
13,bird flu,/ˈbɜrd flu/,"Bird flu, also known as avian influenza, is a viral infection that primarily affects birds.",,
14,Covid-19,/ˈkoʊvɪd naɪnˈtin/,"COVID-19, caused by the novel coronavirus SARS-CoV-2, emerged as a global pandemic in early 2020.",,
15,diarrhea,/ˌdaɪəˈriə/,"Diarrhea is characterized by loose, watery stools occurring frequently throughout the day.",,
16,hay fever,/ˈheɪ ˌfivər/,"Hay fever, also known as allergic rhinitis, is an allergic reaction to pollen or other airborne allergens.",,
17,HIV,/ˌeɪtʃ aɪ ˈvi/,HIV attacks the immune system and weakens the body's ability to fight infections.,,
18,measles,/ˈmizəlz/,Measles is a highly contagious viral infection that primarily affects children.,,
19,plague,/pleɪɡ/,"The plague, also known as the Black Death, is a deadly infectious disease caused by the bacterium Yersinia pestis.",,
20,stroke,/stroʊk/,A stroke occurs when a blood vessel in the brain either becomes blocked (ischemic stroke) or bursts (hemorrhagic stroke).,,
21,blister,/ˈblɪstər/,"A blister is a small pocket of fluid that forms on the skin, typically caused by friction, burns, or other injuries.",,
22,lump,/lʌmp/,A lump is a localized swelling or protuberance that can be felt under the skin or within the body.,,
23,rash,/ræʃ/,"A rash is a change in the skin's appearance, often characterized by redness, bumps, or blisters.",,
24,scar,/skɑr/,A scar is a permanent mark on the skin that remains after a wound or injury has healed.,,
25,swelling,/ˈswɛlɪŋ/,"Swelling often occurs as a response to injury, infection, or inflammation, causing the affected area to become larger and tender.",,
26,collapse,/kəˈlæps/,"A collapse refers to a sudden loss of consciousness or falling down due to exhaustion, illness, or another medical condition.",,
27,fatigue,/fəˈtiɡ/,Fatigue is a state of extreme tiredness and exhaustion that can result from physical or mental exertion.,,
28,fracture,/ˈfræktʃər/,A fracture is a medical term used to describe a crack or break in a bone or hard substance.,,
29,to bounce back,/baʊns bæk/,"The athlete bounced back after a long injury, surprising everyone.",,
30,to complain of,/kəmˈpleɪn əv/,She came to the doctor's office to complain of persistent headaches that had been troubling her for weeks.,,
31,to faint,/feɪnt/,"Witnessing the accident made her faint, and she collapsed on the spot.",,
32,to infect,/ɪnˈfɛkt/,Contaminated water sources can infect individuals with waterborne diseases.,,
33,addict,/ˈædɪkt/,The rehab center provides support and treatment for addicts struggling with substance abuse.,,
34,carrier,/ˈkæriər/,"Although he showed no symptoms, he was identified as a carrier of the virus, spreading it unknowingly to others.",,
35,epidemic,/ˌɛpɪˈdɛmɪk/,The epidemic caused a surge in hospital admissions.,,
36,pandemic,/pænˈdɛmɪk/,The COVID-19 pandemic has impacted nearly every person on the planet.,,
37,outbreak,/ˈaʊtbreɪk/,The sudden outbreak of the flu caused widespread panic in the city.,,
38,parasite,/ˈpærəsaɪt/,"The mosquito is a well-known parasite that feeds on the blood of its host, often transmitting diseases in the process.",,
39,shiver,/ˈʃɪvər/,"Despite the heavy blanket, she couldn't stop the uncontrollable shiver that ran through her body due to the high fever.",,
40,worn out,/wɔrn aʊt/,"After working a double shift at the hospital, she felt completely worn out and could barely keep her eyes open.",,
41,stuffy,/ˈstʌfi/,"During the flu season, many people experience having a stuffy nose, making it challenging to breathe comfortably.",,
42,to chafe,/tʃeɪf/,"After the long hike, the straps of his backpack caused his shoulders to chafe, leaving red marks.",,
